idx,Longitude,Latitude
0,-92.125,1.625
0,-91.875,0.125
0,-90.875,0.125
0,-89.875,0.625
0,-88.125,16.375
0,-83.125,8.125
0,-82.125,12.125
0,-93.375,8.375
0,-92.875,10.125
0,-92.625,4.125
0,-92.875,9.125
0,-91.875,9.625
0,-91.875,3.875
0,-91.375,9.625
0,-91.375,4.125
0,-91.125,11.125
0,-90.375,10.625
0,-90.625,3.875
0,-90.375,0.125
0,-90.125,2.625
0,-89.625,8.875
0,-89.375,13.375
0,-89.875,3.875
0,-89.375,5.125
0,-89.625,2.625
0,-89.375,8.875
0,-88.125,8.625
0,-87.625,15.875
0,-87.625,8.375
0,-87.625,13.125
0,-86.375,10.125
0,-86.375,7.125
0,-86.125,9.625
0,-85.625,16.125
0,-86.125,7.125
0,-85.625,9.375
0,-85.375,8.125
0,-84.625,7.625
0,-84.875,3.375
0,-84.625,2.875
0,-84.375,7.375
0,-83.625,0.875
0,-83.625,4.125
0,-83.625,0.375
0,-83.125,3.875
0,-82.625,7.125
0,-82.625,0.625
0,-82.125,12.625
0,-82.375,7.875
0,-81.875,14.875
0,-82.125,9.375
0,-81.875,7.125
0,-82.125,0.875
0,-81.125,17.375
0,-81.375,1.375
0,-81.125,0.125
0,-80.875,2.125
0,-80.375,9.625
0,-80.375,15.375
0,-80.375,3.375
0,-79.875,11.875
0,-80.125,1.125
0,-80.125,1.875
0,-79.625,16.875
0,-79.625,9.875
0,-79.625,10.875
0,-79.625,6.125
0,-79.875,2.625
0,-79.375,13.375
0,-79.375,14.875
0,-79.875,6.625
0,-79.125,11.625
0,-79.375,7.875
0,-79.375,7.625
0,-79.625,1.375
0,-78.875,16.375
0,-78.875,10.625
0,-78.875,10.375
0,-78.375,14.375
0,-78.125,16.375
0,-78.375,10.375
0,-77.625,17.625
0,-77.625,14.125
0,-76.875,16.125
0,-76.875,17.625
0,-77.625,4.125
0,-76.875,14.125
0,-77.125,8.625
0,-76.375,9.625
0,-76.375,16.375
0,-76.375,17.625
0,-76.125,15.375
0,-76.125,13.875
0,-75.875,12.125
0,-76.375,9.875
0,-76.125,9.375
0,-75.625,13.125
0,-75.625,15.375
0,-75.625,12.125
0,-92.875,12.625
0,-93.125,11.125
0,-93.375,8.125
0,-92.625,12.625
0,-92.875,8.875
0,-92.625,10.875
0,-92.875,7.875
0,-91.625,12.625
0,-91.625,9.375
0,-91.375,13.625
0,-91.375,11.875
0,-91.375,12.625
0,-91.375,9.125
0,-90.625,13.625
0,-90.375,11.625
0,-90.125,13.625
0,-89.625,11.125
0,-89.875,13.125
0,-90.125,0.125
0,-89.625,8.875
0,-89.625,7.875
0,-89.125,10.625
0,-89.125,13.125
0,-89.375,4.875
0,-88.875,9.125
0,-88.875,7.375
0,-88.625,12.875
0,-88.375,9.875
0,-88.625,10.375
0,-87.875,17.375
0,-88.125,8.625
0,-88.375,7.375
