,geometry
0,POINT (-93.375 0.125)
1,POINT (-93.375 0.375)
2,POINT (-93.375 0.625)
3,POINT (-93.375 0.875)
4,POINT (-93.375 1.125)
5,POINT (-93.375 1.375)
6,POINT (-93.375 1.625)
7,POINT (-93.375 1.875)
8,POINT (-93.375 2.125)
9,POINT (-93.375 2.375)
10,POINT (-93.375 2.625)
11,POINT (-93.375 2.875)
12,POINT (-93.375 3.125)
13,POINT (-93.375 3.375)
14,POINT (-93.375 3.625)
15,POINT (-93.375 3.875)
16,POINT (-93.375 4.125)
17,POINT (-93.375 4.375)
18,POINT (-93.375 4.625)
19,POINT (-93.375 4.875)
20,POINT (-93.375 5.125)
21,POINT (-93.375 5.375)
22,POINT (-93.375 5.625)
23,POINT (-93.375 5.875)
24,POINT (-93.375 6.125)
25,POINT (-93.375 6.375)
26,POINT (-93.375 6.625)
27,POINT (-93.375 6.875)
28,POINT (-93.375 7.125)
29,POINT (-93.375 7.375)
30,POINT (-93.375 7.625)
31,POINT (-93.375 7.875)
32,POINT (-93.375 8.125)
33,POINT (-93.375 8.375)
34,POINT (-93.375 8.625)
35,POINT (-93.375 8.875)
36,POINT (-93.375 9.125)
37,POINT (-93.375 9.375)
38,POINT (-93.375 9.625)
39,POINT (-93.375 9.875)
40,POINT (-93.375 10.125)
41,POINT (-93.375 10.375)
42,POINT (-93.375 10.625)
43,POINT (-93.375 10.875)
44,POINT (-93.375 11.125)
45,POINT (-93.375 11.375)
46,POINT (-93.375 11.625)
47,POINT (-93.375 11.875)
48,POINT (-93.375 12.125)
49,POINT (-93.375 12.375)
50,POINT (-93.375 12.625)
51,POINT (-93.375 12.875)
52,POINT (-93.375 13.125)
53,POINT (-93.375 13.375)
54,POINT (-93.375 13.625)
55,POINT (-93.375 13.875)
56,POINT (-93.375 14.125)
57,POINT (-93.375 14.375)
58,POINT (-93.375 14.625)
59,POINT (-93.375 14.875)
60,POINT (-93.375 15.125)
61,POINT (-93.375 15.375)
62,POINT (-93.375 15.625)
63,POINT (-93.375 15.875)
64,POINT (-93.375 16.125)
65,POINT (-93.375 16.375)
66,POINT (-93.375 16.625)
67,POINT (-93.375 16.875)
68,POINT (-93.375 17.125)
69,POINT (-93.375 17.375)
70,POINT (-93.375 17.625)
71,POINT (-93.375 17.875)
72,POINT (-93.125 0.125)
73,POINT (-93.125 0.375)
74,POINT (-93.125 0.625)
75,POINT (-93.125 0.875)
76,POINT (-93.125 1.125)
77,POINT (-93.125 1.375)
78,POINT (-93.125 1.625)
79,POINT (-93.125 1.875)
80,POINT (-93.125 2.125)
81,POINT (-93.125 2.375)
82,POINT (-93.125 2.625)
83,POINT (-93.125 2.875)
84,POINT (-93.125 3.125)
85,POINT (-93.125 3.375)
86,POINT (-93.125 3.625)
87,POINT (-93.125 3.875)
88,POINT (-93.125 4.125)
89,POINT (-93.125 4.375)
90,POINT (-93.125 4.625)
91,POINT (-93.125 4.875)
92,POINT (-93.125 5.125)
93,POINT (-93.125 5.375)
94,POINT (-93.125 5.625)
95,POINT (-93.125 5.875)
96,POINT (-93.125 6.125)
97,POINT (-93.125 6.375)
98,POINT (-93.125 6.625)
99,POINT (-93.125 6.875)
100,POINT (-93.125 7.125)
101,POINT (-93.125 7.375)
102,POINT (-93.125 7.625)
103,POINT (-93.125 7.875)
104,POINT (-93.125 8.125)
105,POINT (-93.125 8.375)
106,POINT (-93.125 8.625)
107,POINT (-93.125 8.875)
108,POINT (-93.125 9.125)
109,POINT (-93.125 9.375)
110,POINT (-93.125 9.625)
111,POINT (-93.125 9.875)
112,POINT (-93.125 10.125)
113,POINT (-93.125 10.375)
114,POINT (-93.125 10.625)
115,POINT (-93.125 10.875)
116,POINT (-93.125 11.125)
117,POINT (-93.125 11.375)
118,POINT (-93.125 11.625)
119,POINT (-93.125 11.875)
120,POINT (-93.125 12.125)
121,POINT (-93.125 12.375)
122,POINT (-93.125 12.625)
123,POINT (-93.125 12.875)
124,POINT (-93.125 13.125)
125,POINT (-93.125 13.375)
126,POINT (-93.125 13.625)
127,POINT (-93.125 13.875)
128,POINT (-93.125 14.125)
129,POINT (-93.125 14.375)
130,POINT (-93.125 14.625)
131,POINT (-93.125 14.875)
132,POINT (-93.125 15.125)
133,POINT (-93.125 15.375)
134,POINT (-93.125 15.625)
135,POINT (-93.125 15.875)
136,POINT (-93.125 16.125)
137,POINT (-93.125 16.375)
138,POINT (-93.125 16.625)
139,POINT (-93.125 16.875)
140,POINT (-93.125 17.125)
141,POINT (-93.125 17.375)
142,POINT (-93.125 17.625)
143,POINT (-93.125 17.875)
144,POINT (-92.875 0.125)
145,POINT (-92.875 0.375)
146,POINT (-92.875 0.625)
147,POINT (-92.875 0.875)
148,POINT (-92.875 1.125)
149,POINT (-92.875 1.375)
150,POINT (-92.875 1.625)
151,POINT (-92.875 1.875)
152,POINT (-92.875 2.125)
153,POINT (-92.875 2.375)
154,POINT (-92.875 2.625)
155,POINT (-92.875 2.875)
156,POINT (-92.875 3.125)
157,POINT (-92.875 3.375)
158,POINT (-92.875 3.625)
159,POINT (-92.875 3.875)
160,POINT (-92.875 4.125)
161,POINT (-92.875 4.375)
162,POINT (-92.875 4.625)
163,POINT (-92.875 4.875)
164,POINT (-92.875 5.125)
165,POINT (-92.875 5.375)
166,POINT (-92.875 5.625)
167,POINT (-92.875 5.875)
168,POINT (-92.875 6.125)
169,POINT (-92.875 6.375)
170,POINT (-92.875 6.625)
171,POINT (-92.875 6.875)
172,POINT (-92.875 7.125)
173,POINT (-92.875 7.375)
174,POINT (-92.875 7.625)
175,POINT (-92.875 7.875)
176,POINT (-92.875 8.125)
177,POINT (-92.875 8.375)
178,POINT (-92.875 8.625)
179,POINT (-92.875 8.875)
180,POINT (-92.875 9.125)
181,POINT (-92.875 9.375)
182,POINT (-92.875 9.625)
183,POINT (-92.875 9.875)
184,POINT (-92.875 10.125)
185,POINT (-92.875 10.375)
186,POINT (-92.875 10.625)
187,POINT (-92.875 10.875)
188,POINT (-92.875 11.125)
189,POINT (-92.875 11.375)
190,POINT (-92.875 11.625)
191,POINT (-92.875 11.875)
192,POINT (-92.875 12.125)
193,POINT (-92.875 12.375)
194,POINT (-92.875 12.625)
195,POINT (-92.875 12.875)
196,POINT (-92.875 13.125)
197,POINT (-92.875 13.375)
198,POINT (-92.875 13.625)
199,POINT (-92.875 13.875)
200,POINT (-92.875 14.125)
201,POINT (-92.875 14.375)
202,POINT (-92.875 14.625)
203,POINT (-92.875 14.875)
204,POINT (-92.875 15.125)
205,POINT (-92.875 15.375)
206,POINT (-92.875 15.625)
207,POINT (-92.875 15.875)
208,POINT (-92.875 16.125)
209,POINT (-92.875 16.375)
210,POINT (-92.875 16.625)
211,POINT (-92.875 16.875)
212,POINT (-92.875 17.125)
213,POINT (-92.875 17.375)
214,POINT (-92.875 17.625)
215,POINT (-92.875 17.875)
216,POINT (-92.625 0.125)
217,POINT (-92.625 0.375)
218,POINT (-92.625 0.625)
219,POINT (-92.625 0.875)
220,POINT (-92.625 1.125)
