,Lon,Lat,grid_coords
0,-93.375,0.125,"(0, 0)"
1,-93.375,0.375,"(1, 0)"
2,-93.375,0.625,"(2, 0)"
3,-93.375,0.875,"(3, 0)"
4,-93.375,1.125,"(4, 0)"
5,-93.375,1.375,"(5, 0)"
6,-93.375,1.625,"(6, 0)"
7,-93.375,1.875,"(7, 0)"
8,-93.375,2.125,"(8, 0)"
9,-93.375,2.375,"(9, 0)"
10,-93.375,2.625,"(10, 0)"
11,-93.375,2.875,"(11, 0)"
12,-93.375,3.125,"(12, 0)"
13,-93.375,3.375,"(13, 0)"
14,-93.375,3.625,"(14, 0)"
15,-93.375,3.875,"(15, 0)"
16,-93.375,4.125,"(16, 0)"
17,-93.375,4.375,"(17, 0)"
18,-93.375,4.625,"(18, 0)"
19,-93.375,4.875,"(19, 0)"
20,-93.375,5.125,"(20, 0)"
21,-93.375,5.375,"(21, 0)"
22,-93.375,5.625,"(22, 0)"
23,-93.375,5.875,"(23, 0)"
24,-93.375,6.125,"(24, 0)"
25,-93.375,6.375,"(25, 0)"
26,-93.375,6.625,"(26, 0)"
27,-93.375,6.875,"(27, 0)"
28,-93.375,7.125,"(28, 0)"
29,-93.375,7.375,"(29, 0)"
30,-93.375,7.625,"(30, 0)"
31,-93.375,7.875,"(31, 0)"
32,-93.375,8.125,"(32, 0)"
33,-93.375,8.375,"(33, 0)"
34,-93.375,8.625,"(34, 0)"
35,-93.375,8.875,"(35, 0)"
36,-93.375,9.125,"(36, 0)"
37,-93.375,9.375,"(37, 0)"
38,-93.375,9.625,"(38, 0)"
39,-93.375,9.875,"(39, 0)"
40,-93.375,10.125,"(40, 0)"
41,-93.375,10.375,"(41, 0)"
42,-93.375,10.625,"(42, 0)"
43,-93.375,10.875,"(43, 0)"
44,-93.375,11.125,"(44, 0)"
45,-93.375,11.375,"(45, 0)"
46,-93.375,11.625,"(46, 0)"
47,-93.375,11.875,"(47, 0)"
48,-93.375,12.125,"(48, 0)"
49,-93.375,12.375,"(49, 0)"
50,-93.375,12.625,"(50, 0)"
51,-93.375,12.875,"(51, 0)"
52,-93.375,13.125,"(52, 0)"
53,-93.375,13.375,"(53, 0)"
54,-93.375,13.625,"(54, 0)"
55,-93.375,13.875,"(55, 0)"
56,-93.375,14.125,"(56, 0)"
57,-93.375,14.375,"(57, 0)"
58,-93.375,14.625,"(58, 0)"
59,-93.375,14.875,"(59, 0)"
60,-93.375,15.125,"(60, 0)"
61,-93.375,15.375,"(61, 0)"
62,-93.375,15.625,"(62, 0)"
63,-93.375,15.875,"(63, 0)"
64,-93.375,16.125,"(64, 0)"
65,-93.375,16.375,"(65, 0)"
66,-93.375,16.625,"(66, 0)"
67,-93.375,16.875,"(67, 0)"
68,-93.375,17.125,"(68, 0)"
69,-93.375,17.375,"(69, 0)"
70,-93.375,17.625,"(70, 0)"
71,-93.375,17.875,"(71, 0)"
72,-93.125,0.125,"(0, 1)"
73,-93.125,0.375,"(1, 1)"
74,-93.125,0.625,"(2, 1)"
75,-93.125,0.875,"(3, 1)"
76,-93.125,1.125,"(4, 1)"
77,-93.125,1.375,"(5, 1)"
78,-93.125,1.625,"(6, 1)"
79,-93.125,1.875,"(7, 1)"
80,-93.125,2.125,"(8, 1)"
81,-93.125,2.375,"(9, 1)"
82,-93.125,2.625,"(10, 1)"
83,-93.125,2.875,"(11, 1)"
84,-93.125,3.125,"(12, 1)"
85,-93.125,3.375,"(13, 1)"
86,-93.125,3.625,"(14, 1)"
87,-93.125,3.875,"(15, 1)"
88,-93.125,4.125,"(16, 1)"
89,-93.125,4.375,"(17, 1)"
90,-93.125,4.625,"(18, 1)"
91,-93.125,4.875,"(19, 1)"
92,-93.125,5.125,"(20, 1)"
93,-93.125,5.375,"(21, 1)"
94,-93.125,5.625,"(22, 1)"
95,-93.125,5.875,"(23, 1)"
96,-93.125,6.125,"(24, 1)"
97,-93.125,6.375,"(25, 1)"
98,-93.125,6.625,"(26, 1)"
99,-93.125,6.875,"(27, 1)"
100,-93.125,7.125,"(28, 1)"
101,-93.125,7.375,"(29, 1)"
102,-93.125,7.625,"(30, 1)"
103,-93.125,7.875,"(31, 1)"
104,-93.125,8.125,"(32, 1)"
105,-93.125,8.375,"(33, 1)"
106,-93.125,8.625,"(34, 1)"
107,-93.125,8.875,"(35, 1)"
108,-93.125,9.125,"(36, 1)"
109,-93.125,9.375,"(37, 1)"
110,-93.125,9.625,"(38, 1)"
111,-93.125,9.875,"(39, 1)"
112,-93.125,10.125,"(40, 1)"
113,-93.125,10.375,"(41, 1)"
114,-93.125,10.625,"(42, 1)"
115,-93.125,10.875,"(43, 1)"
116,-93.125,11.125,"(44, 1)"
117,-93.125,11.375,"(45, 1)"
118,-93.125,11.625,"(46, 1)"
119,-93.125,11.875,"(47, 1)"
120,-93.125,12.125,"(48, 1)"
121,-93.125,12.375,"(49, 1)"
122,-93.125,12.625,"(50, 1)"
123,-93.125,12.875,"(51, 1)"
124,-93.125,13.125,"(52, 1)"
125,-93.125,13.375,"(53, 1)"
126,-93.125,13.625,"(54, 1)"
127,-93.125,13.875,"(55, 1)"
128,-93.125,14.125,"(56, 1)"
129,-93.125,14.375,"(57, 1)"
130,-93.125,14.625,"(58, 1)"
131,-93.125,14.875,"(59, 1)"
132,-93.125,15.125,"(60, 1)"
133,-93.125,15.375,"(61, 1)"
134,-93.125,15.625,"(62, 1)"
135,-93.125,15.875,"(63, 1)"
136,-93.125,16.125,"(64, 1)"
137,-93.125,16.375,"(65, 1)"
138,-93.125,16.625,"(66, 1)"
139,-93.125,16.875,"(67, 1)"
140,-93.125,17.125,"(68, 1)"
141,-93.125,17.375,"(69, 1)"
142,-93.125,17.625,"(70, 1)"
143,-93.125,17.875,"(71, 1)"
144,-92.875,0.125,"(0, 2)"
145,-92.875,0.375,"(1, 2)"
146,-92.875,0.625,"(2, 2)"
147,-92.875,0.875,"(3, 2)"
148,-92.875,1.125,"(4, 2)"
149,-92.875,1.375,"(5, 2)"
150,-92.875,1.625,"(6, 2)"
151,-92.875,1.875,"(7, 2)"
152,-92.875,2.125,"(8, 2)"
153,-92.875,2.375,"(9, 2)"
154,-92.875,2.625,"(10, 2)"
155,-92.875,2.875,"(11, 2)"
156,-92.875,3.125,"(12, 2)"
157,-92.875,3.375,"(13, 2)"
158,-92.875,3.625,"(14, 2)"
159,-92.875,3.875,"(15, 2)"
160,-92.875,4.125,"(16, 2)"
161,-92.875,4.375,"(17, 2)"
162,-92.875,4.625,"(18, 2)"
163,-92.875,4.875,"(19, 2)"
164,-92.875,5.125,"(20, 2)"
165,-92.875,5.375,"(21, 2)"
166,-92.875,5.625,"(22, 2)"
167,-92.875,5.875,"(23, 2)"
168,-92.875,6.125,"(24, 2)"
169,-92.875,6.375,"(25, 2)"
170,-92.875,6.625,"(26, 2)"
