Longitude,Latitude,Type
-132.1965817,27.43053819,Cargo Vessel
-132.1607517,23.60822834,Cargo Vessel
-131.7837471,26.87661787,Cargo Vessel
-131.9792454,20.33143949,Cargo Vessel
-131.5978612,23.59775941,Cargo Vessel
-131.1282536,26.89250059,Cargo Vessel
-130.2978075,27.28661302,Cargo Vessel
-130.1189059,23.72159651,Cargo Vessel
-129.7705494,27.22680522,Cargo Vessel
-129.5565262,23.6545979,Cargo Vessel
-128.5140476,14.41596803,Cargo Vessel
-128.2480565,28.27471862,Cargo Vessel
-127.9512286,14.39758565,Cargo Vessel
-127.6505739,28.198461,Cargo Vessel
-127.5079891,24.50838783,Cargo Vessel
-126.94479,24.53205672,Cargo Vessel
-125.9356629,27.17700401,Cargo Vessel
-126.0639098,12.98606748,Cargo Vessel
-125.6864029,8.036335235,Cargo Vessel
-125.4345398,28.11878353,Cargo Vessel
-125.4006928,24.99316681,Cargo Vessel
-125.1922029,31.57309621,Cargo Vessel
-125.1924478,27.00357171,Cargo Vessel
-125.5382794,12.74615743,Cargo Vessel
-124.843672,23.41707525,Cargo Vessel
-125.0886042,7.995058741,Cargo Vessel
-124.9034952,28.47796364,Cargo Vessel
-124.8430102,24.78813893,Cargo Vessel
-124.4198371,31.3806898,Cargo Vessel
-124.7422912,26.84816621,Cargo Vessel
-124.2459808,23.36389605,Cargo Vessel
-123.6812927,31.33935208,Cargo Vessel
-123.2776609,17.59988962,Cargo Vessel
-122.7518965,17.3748025,Cargo Vessel
-122.3158875,30.57903762,Cargo Vessel
-122.2764182,19.37240609,Cargo Vessel
-122.1659523,23.80879451,Cargo Vessel
-122.3844334,-0.3668424274,Cargo Vessel
-121.7912879,26.33154523,Cargo Vessel
-121.5044686,30.38186517,Cargo Vessel
-121.7150824,19.18989956,Cargo Vessel
-121.2704579,29.45395821,Cargo Vessel
-121.4510037,23.38136678,Cargo Vessel
-121.018228,26.21594203,Cargo Vessel
-120.9776493,30.70610557,Cargo Vessel
-120.718446,28.2397317,Cargo Vessel
-120.7965874,24.78446864,Cargo Vessel
-120.4991538,29.66320165,Cargo Vessel
-120.8010375,22.99422297,Cargo Vessel
-120.3642979,22.43570988,Cargo Vessel
-120.3503562,26.1414657,Cargo Vessel
-120.1213673,28.11878353,Cargo Vessel
-120.0818572,24.70367903,Cargo Vessel
-120.019906,29.6120287,Cargo Vessel
-120.293632,1.270112489,Cargo Vessel
-119.6134422,30.59192192,Cargo Vessel
-119.8911442,22.44564533,Cargo Vessel
-119.7568402,10.05225408,Cargo Vessel
-119.8155574,3.555007291,Cargo Vessel
-119.5110531,13.88835012,Cargo Vessel
-119.2509884,27.09131379,Cargo Vessel
-118.8171025,30.77609698,Cargo Vessel
-118.8401957,25.82475692,Cargo Vessel
-119.2297826,9.970258091,Cargo Vessel
-119.2534225,3.460920797,Cargo Vessel
-118.7378135,13.79263404,Cargo Vessel
-118.6897256,26.90073411,Cargo Vessel
-118.4374324,31.4567364,Cargo Vessel
-118.3685646,24.28185248,Cargo Vessel
-118.2576127,20.20630431,Cargo Vessel
-118.0720604,29.44709737,Cargo Vessel
-118.0694743,25.45039942,Cargo Vessel
-118.1048713,13.74658115,Cargo Vessel
-117.7008847,27.30094341,Cargo Vessel
-117.5639412,23.76534764,Cargo Vessel
-118.0141658,4.315895759,Cargo Vessel
-117.554852,20.09888864,Cargo Vessel
-117.437831,29.71035117,Cargo Vessel
-117.456951,28.98519646,Cargo Vessel
-117.2968039,25.29169514,Cargo Vessel
-117.1918353,13.54575452,Cargo Vessel
-116.9364201,27.09946976,Cargo Vessel
-116.8820441,23.94497678,Cargo Vessel
-116.710116,28.5134817,Cargo Vessel
-116.6292406,13.50254947,Cargo Vessel
-116.1671428,26.99792198,Cargo Vessel
-116.0406218,24.12601775,Cargo Vessel
-115.9313701,28.42805353,Cargo Vessel
-115.5145687,27.82637696,Cargo Vessel
-115.7006686,26.70136512,Cargo Vessel
-115.3235765,25.59923112,Cargo Vessel
-115.3034605,23.93162315,Cargo Vessel
-115.2920028,21.30595147,Cargo Vessel
-114.6239303,25.14718306,Cargo Vessel
-114.8349051,21.26967965,Cargo Vessel
-114.0509846,26.24934362,Cargo Vessel
-113.7931822,24.74038584,Cargo Vessel
-113.6342217,25.64340869,Cargo Vessel
-113.3434016,22.78202151,Cargo Vessel
-113.3811229,14.7145283,Cargo Vessel
-113.2304225,21.65625207,Cargo Vessel
-113.1098367,24.7789969,Cargo Vessel
-113.0240778,23.59379579,Cargo Vessel
-112.8982233,24.02251126,Cargo Vessel
-112.606634,22.54407029,Cargo Vessel
-112.7838717,14.61266879,Cargo Vessel
-112.6461672,21.50688582,Cargo Vessel
-112.484591,24.36800255,Cargo Vessel
-112.2312111,23.59334471,Cargo Vessel
-112.2706803,12.99633368,Cargo Vessel
-111.927359,23.08247641,Cargo Vessel
-111.7965885,9.278370316,Cargo Vessel
-111.7083038,12.92898021,Cargo Vessel
-111.5015804,23.14970196,Cargo Vessel
-111.5698644,8.780209567,Cargo Vessel
-111.0983397,18.12735086,Cargo Vessel
-110.9966912,21.58807288,Cargo Vessel
-110.6822521,22.63803995,Cargo Vessel
-110.5996012,21.20127455,Cargo Vessel
-110.4624148,14.51784449,Cargo Vessel
-110.3257466,17.9601003,Cargo Vessel
-110.0553277,16.73476385,Cargo Vessel
-109.9602167,22.06776259,Cargo Vessel
-110.1604897,-2.688774837,Cargo Vessel
-109.8739498,21.23077808,Cargo Vessel
-110.1037363,7.484682431,Cargo Vessel
-109.7631141,17.92107672,Cargo Vessel
-109.2857187,16.23731322,Cargo Vessel
-109.3194385,12.50610565,Cargo Vessel
-109.2941932,21.5291916,Cargo Vessel
-109.178376,20.32810938,Cargo Vessel
-109.56293,-2.756493557,Cargo Vessel
-108.5084818,20.86676191,Cargo Vessel
-108.6886883,16.11101253,Cargo Vessel
-108.7217677,12.45067406,Cargo Vessel
-108.5112818,8.487054643,Cargo Vessel
-108.0759951,17.71786298,Cargo Vessel
-107.7878744,20.67614397,Cargo Vessel
-107.6891087,13.80599428,Cargo Vessel
-107.9848311,8.337911915,Cargo Vessel
-107.4783131,17.66367342,Cargo Vessel
-107.3278625,14.84396841,Cargo Vessel
-107.1136464,20.74878514,Cargo Vessel
-106.9150192,21.59133421,Cargo Vessel
-107.0456293,13.81348896,Cargo Vessel
-106.87311,14.54820299,Cargo Vessel
-106.4102106,19.43677294,Cargo Vessel
-106.3161524,20.88955003,Cargo Vessel
-106.1249232,20.44071092,Cargo Vessel
-105.7565018,18.82158475,Cargo Vessel
-105.6882775,19.50408542,Cargo Vessel
-105.8369942,0.7120013774,Cargo Vessel
-105.5527072,12.4022375,Cargo Vessel
-105.6923467,20.61122361,Cargo Vessel
-105.2826866,13.52882716,Cargo Vessel
-105.1556122,18.09584692,Cargo Vessel
-105.2378661,9.383535646,Cargo Vessel
-105.2695806,-6.584997842,Cargo Vessel
-105.0505171,18.95292362,Cargo Vessel
-105.0944713,-2.782622601,Cargo Vessel
-104.8801518,12.43759241,Cargo Vessel
-104.7277632,14.43376229,Cargo Vessel
-104.4499668,18.14731615,Cargo Vessel
-104.8108718,9.131039284,Cargo Vessel
-104.7078679,-6.725807972,Cargo Vessel
-104.5656318,-2.667447802,Cargo Vessel
-104.0391415,12.76182443,Cargo Vessel
-103.98536,18.71291603,Cargo Vessel
-104.2016303,14.24945486,Cargo Vessel
-104.1296325,-5.038319293,Cargo Vessel
-103.8811375,6.884431552,Cargo Vessel
-103.576535,17.87754785,Cargo Vessel
-103.5829743,12.62259797,Cargo Vessel
-103.2060235,11.50482782,Cargo Vessel
-103.5341269,-5.333335192,Cargo Vessel
-103.32014,6.664486961,Cargo Vessel
-102.797749,17.74664684,Cargo Vessel
-102.7397453,8.590909369,Cargo Vessel
-102.7031676,-2.935690341,Cargo Vessel
-102.5469421,3.968477828,Cargo Vessel
-102.6433456,11.47083147,Cargo Vessel
-102.1081587,16.18187762,Cargo Vessel
-101.9932291,17.60803474,Cargo Vessel
-101.8844993,10.30158506,Cargo Vessel
-102.1433277,8.396807651,Cargo Vessel
-102.1421238,-3.150511596,Cargo Vessel
-101.850882,3.984842677,Cargo Vessel
-101.6074199,1.507093166,Cargo Vessel
-101.2752462,16.01457125,Cargo Vessel
-101.3963192,17.07905955,Cargo Vessel
-101.1681664,11.17683507,Cargo Vessel
-101.3183721,10.13011929,Cargo Vessel
-101.2669304,4.141781526,Cargo Vessel
-100.5623848,15.9123953,Cargo Vessel
-100.6776263,-4.626468112,Cargo Vessel
-100.5700466,11.17108431,Cargo Vessel
-99.78538095,16.23320958,Cargo Vessel
-99.79178556,15.52451849,Cargo Vessel
-99.90703369,-5.015079288,Cargo Vessel
-99.45413646,10.70681152,Cargo Vessel
-99.36995358,10.02858179,Cargo Vessel
-99.06451147,15.73358083,Cargo Vessel
-99.137521,-5.523190597,Cargo Vessel
-98.75144126,15.39413916,Cargo Vessel
-98.76776693,10.73241144,Cargo Vessel
-98.40030038,14.67264839,Cargo Vessel
-98.63551196,-4.483380162,Cargo Vessel
-98.56023125,10.33585624,Cargo Vessel
-98.13622419,15.72285648,Cargo Vessel
-98.03307276,13.65936738,Cargo Vessel
-97.69205794,14.90459981,Cargo Vessel
-97.54626861,13.94848666,Cargo Vessel
-98.0383182,-4.591597628,Cargo Vessel
-97.48607665,22.58657717,Cargo Vessel
-97.3321962,7.353448585,Cargo Vessel
-97.16502886,13.73792013,Cargo Vessel
-96.91040983,15.09039437,Cargo Vessel
-96.91715853,14.34362943,Cargo Vessel
-96.87110912,12.56824851,Cargo Vessel
-96.79901351,22.8743329,Cargo Vessel
-96.90663432,21.99734867,Cargo Vessel
-96.80631017,7.141816691,Cargo Vessel
-96.37751021,13.49177884,Cargo Vessel
-96.57318558,-2.103767818,Cargo Vessel
-96.28141991,14.60701713,Cargo Vessel
-96.3294581,12.40624166,Cargo Vessel
-96.24043708,23.03540946,Cargo Vessel
-96.01712991,19.45224367,Cargo Vessel
-95.74179481,25.79917939,Cargo Vessel
-95.84110743,20.50042829,Cargo Vessel
-95.70365293,13.84666659,Cargo Vessel
-95.64592778,11.59853912,Cargo Vessel
-95.44264321,24.87800061,Cargo Vessel
-95.48631208,10.70147766,Cargo Vessel
-95.58089303,-1.321614985,Cargo Vessel
-95.26102056,25.42107164,Cargo Vessel
-95.50155328,19.13811202,Cargo Vessel
