Longitude,Latitude,Type
-117.9998434,29.26176609,Passenger Vessel
-112.2374119,24.46461159,Passenger Vessel
-110.2093922,23.04807642,Passenger Vessel
-110.1190027,21.36943954,Passenger Vessel
-104.9181354,20.62303103,Passenger Vessel
-92.05863,1.673038874,Passenger Vessel
-91.66292268,0.03507200027,Passenger Vessel
-90.85301484,0.103307054,Passenger Vessel
-90.52310986,-1.02888528,Passenger Vessel
-90.32851783,-0.2620248999,Passenger Vessel
-89.82762021,0.6548033088,Passenger Vessel
-89.81061238,-1.356733502,Passenger Vessel
-89.10210519,30.31978538,Passenger Vessel
-88.68105776,30.18794749,Passenger Vessel
-88.38437979,16.29422468,Passenger Vessel
-87.51711145,18.816076,Passenger Vessel
-86.86685162,20.68628361,Passenger Vessel
-86.35777278,-0.8526622852,Passenger Vessel
-86.44318515,20.84425055,Passenger Vessel
-85.19372686,30.61508437,Passenger Vessel
-85.02250646,22.30661783,Passenger Vessel
-84.24210466,23.00342184,Passenger Vessel
-83.98388242,28.21549938,Passenger Vessel
-83.14070253,8.604342316,Passenger Vessel
-82.44036967,12.12178426,Passenger Vessel
-80.97110258,18.96061513,Passenger Vessel
-80.54878305,18.96953959,Passenger Vessel
-79.54843856,28.42968214,Passenger Vessel
-78.83318361,25.81128456,Passenger Vessel
-77.69819636,26.80903433,Passenger Vessel
-76.04208645,19.28105236,Passenger Vessel
-75.88109525,25.41472559,Passenger Vessel
-74.83316382,24.56648373,Passenger Vessel
-74.77597203,23.10792407,Passenger Vessel
-73.53412578,24.24944355,Passenger Vessel
-72.97514308,23.80655625,Passenger Vessel
-72.3545924,22.90848398,Passenger Vessel
-71.92314747,23.40802937,Passenger Vessel
-71.31508778,20.60865321,Passenger Vessel
-70.87858056,22.18749181,Passenger Vessel
-70.858486,20.51751068,Passenger Vessel
-70.65074969,-3.217895331,Passenger Vessel
-68.83622857,18.46336424,Passenger Vessel
-68.01817124,27.22038399,Passenger Vessel
-67.57511019,17.84389871,Passenger Vessel
-65.42015938,18.79217922,Passenger Vessel
-64.93059298,18.45517029,Passenger Vessel
-64.3292226,11.02209289,Passenger Vessel
-62.75322011,17.99101647,Passenger Vessel
-62.05761354,9.304953025,Passenger Vessel
-61.51966357,14.32174327,Passenger Vessel
-60.67318183,10.64998192,Passenger Vessel
