Longitude,Latitude,Type
-124.4263513,30.65987423,Tanker
-124.6098709,25.92687063,Tanker
-123.6441286,30.58479675,Tanker
-123.2828335,17.02752509,Tanker
-122.941184,31.4710988,Tanker
-123.1269125,30.38718454,Tanker
-122.9673706,12.99942992,Tanker
-122.6486179,9.335365102,Tanker
-122.7199247,17.01907888,Tanker
-122.1417764,31.27594939,Tanker
-122.4395512,13.00173609,Tanker
-122.2247617,9.514328102,Tanker
-121.7531837,14.97386034,Tanker
-121.5196424,25.24192912,Tanker
-121.6416802,31.20560249,Tanker
-121.2256674,14.94263195,Tanker
-120.78,24.76587211,Tanker
-120.8298726,0.3359803001,Tanker
-119.9807999,24.20547931,Tanker
-120.0681313,-1.032067689,Tanker
-119.2086987,23.98378684,Tanker
-119.6137046,-1.36388129,Tanker
-118.7373565,29.41723664,Tanker
-118.9960031,0.7971469677,Tanker
-118.5055718,23.91689457,Tanker
-118.4591166,29.05730768,Tanker
-118.1030416,25.85860207,Tanker
-118.2588876,4.491196834,Tanker
-118.536902,0.9825610525,Tanker
-117.7188041,24.61019847,Tanker
-117.499431,22.82457728,Tanker
-117.3244802,30.0162443,Tanker
-117.608725,25.81818354,Tanker
-117.7301434,4.595829243,Tanker
-116.9987376,29.72130552,Tanker
-117.1286474,23.65251689,Tanker
-116.8777675,31.61191481,Tanker
-116.8600284,22.6527501,Tanker
-115.4359161,27.07387732,Tanker
-115.015695,25.24050237,Tanker
-114.8378375,29.51092078,Tanker
-115.143073,26.10498476,Tanker
-114.8692142,21.36677464,Tanker
-114.9230567,16.70676331,Tanker
-114.6361147,16.01192642,Tanker
-114.4884361,24.56602002,Tanker
-114.3028985,24.33098372,Tanker
-114.1956165,29.71290265,Tanker
-114.3788318,21.12005865,Tanker
-114.238777,-1.830819207,Tanker
-114.0179792,22.11448813,Tanker
-114.043324,19.31000542,Tanker
-114.1806129,15.79906587,Tanker
-113.9771465,26.63275239,Tanker
-113.5468559,-1.77031235,Tanker
-113.4209709,21.98574775,Tanker
-113.2709843,19.1147059,Tanker
-113.194964,4.165549566,Tanker
-112.9629436,14.26532455,Tanker
-112.6694161,23.38404508,Tanker
-112.9330032,-1.889214799,Tanker
-112.8482298,19.17175865,Tanker
-112.6666513,4.222438109,Tanker
-112.4002602,14.23193147,Tanker
-112.0134851,18.09476632,Tanker
-112.24848,23.23989048,Tanker
-111.8344104,22.33592973,Tanker
-111.5348644,17.46269991,Tanker
-111.7409871,3.472211738,Tanker
-111.3437621,22.1186378,Tanker
-111.0226182,17.6067367,Tanker
-111.0725937,17.08272715,Tanker
-110.311703,27.30109249,Tanker
-110.2896232,24.35327851,Tanker
-110.4695827,14.78655903,Tanker
-110.5970157,3.517323982,Tanker
-110.371445,28.4774547,Tanker
-110.0881723,14.21283537,Tanker
-110.1430277,22.60450642,Tanker
-109.8170139,19.7439107,Tanker
-109.892386,26.97777641,Tanker
-109.5616111,24.64400446,Tanker
-109.6670554,23.87807937,Tanker
-109.445909,14.08577076,Tanker
-109.1245642,19.46892341,Tanker
-108.9302992,24.41756286,Tanker
-108.2753652,19.01796606,Tanker
-107.7542585,18.83369284,Tanker
-107.7440844,15.5097717,Tanker
-107.7502017,22.61988774,Tanker
-107.1868006,19.16175891,Tanker
-107.0614603,17.84638304,Tanker
-107.1818129,15.43079646,Tanker
-106.7276924,18.95860948,Tanker
-106.3370729,23.24684086,Tanker
-106.5020609,18.33954499,Tanker
-106.4879013,-1.229829421,Tanker
-105.9185416,22.83658333,Tanker
-105.9606444,-1.289779539,Tanker
-105.460038,-3.100679911,Tanker
-104.9773798,7.578257757,Tanker
-104.8906018,7.316971425,Tanker
-104.547324,18.82591993,Tanker
-104.1526847,15.77193265,Tanker
-104.4032703,7.511364113,Tanker
-103.5676669,18.20991233,Tanker
-103.6260009,15.64857295,Tanker
-103.338969,12.36801457,Tanker
-103.0413319,18.04796127,Tanker
-102.69084,16.8713378,Tanker
-102.8114947,12.3321286,Tanker
-102.5725268,3.733119364,Tanker
-102.3137661,20.68531028,Tanker
-101.9603689,16.96126323,Tanker
-102.2810395,16.5195965,Tanker
-101.7372335,10.5038555,Tanker
-102.0451957,3.681397633,Tanker
-101.6727056,-3.121309716,Tanker
-101.2344491,16.49633805,Tanker
-101.1433844,-1.65499531,Tanker
-101.2119611,10.22431908,Tanker
-100.850146,15.21876049,Tanker
-100.4142449,16.73052998,Tanker
-100.6153259,-1.626229665,Tanker
