,ids,Land,map_tiles
0,0,0,border
1,1,0,border
2,2,0,border
3,3,0,border
4,4,0,border
5,5,0,border
6,6,0,border
7,7,0,border
8,8,0,border
9,9,0,border
10,10,0,border
11,11,0,border
12,12,0,border
13,13,0,border
14,14,0,border
15,15,0,border
16,16,0,border
17,17,0,border
18,18,0,border
19,19,0,border
20,20,0,border
21,21,0,border
22,22,0,border
23,23,0,border
24,24,0,border
25,25,0,border
26,26,0,border
27,27,1,water
28,28,1,water
29,29,1,water
30,30,1,water
31,31,1,water
32,32,1,water
33,33,1,water
34,34,1,water
35,35,1,water
36,36,1,water
37,37,1,water
38,38,1,water
39,39,1,water
40,40,1,water
41,41,1,water
42,42,1,water
43,43,1,water
44,44,1,water
45,45,1,water
46,46,1,water
47,47,1,water
48,48,1,water
49,49,2,land
50,50,2,land
51,51,0,border
52,52,0,border
53,53,1,water
54,54,1,water
55,55,1,water
56,56,1,water
57,57,1,water
58,58,1,water
59,59,1,water
60,60,1,water
61,61,1,water
62,62,1,water
63,63,1,water
64,64,1,water
65,65,1,water
66,66,1,water
67,67,1,water
68,68,1,water
69,69,1,water
70,70,1,water
71,71,1,water
72,72,1,water
73,73,1,water
74,74,2,land
75,75,2,land
76,76,2,land
77,77,0,border
78,78,0,border
79,79,1,water
80,80,1,water
81,81,1,water
82,82,1,water
83,83,1,water
84,84,1,water
85,85,1,water
86,86,1,water
87,87,1,water
88,88,1,water
89,89,1,water
90,90,1,water
91,91,1,water
92,92,1,water
93,93,1,water
94,94,1,water
95,95,1,water
96,96,1,water
97,97,1,water
98,98,1,water
99,99,1,water
100,100,2,land
101,101,2,land
102,102,2,land
103,103,0,border
104,104,0,border
105,105,1,water
106,106,1,water
107,107,1,water
108,108,1,water
109,109,1,water
110,110,1,water
111,111,1,water
112,112,1,water
113,113,1,water
114,114,1,water
115,115,1,water
116,116,1,water
117,117,1,water
118,118,1,water
119,119,1,water
120,120,1,water
121,121,1,water
122,122,1,water
123,123,1,water
124,124,1,water
125,125,1,water
126,126,2,land
127,127,2,land
128,128,2,land
129,129,0,border
130,130,0,border
131,131,1,water
132,132,1,water
133,133,1,water
134,134,1,water
135,135,1,water
136,136,1,water
137,137,1,water
138,138,1,water
139,139,1,water
140,140,1,water
141,141,1,water
142,142,1,water
143,143,1,water
144,144,1,water
145,145,1,water
146,146,1,water
147,147,1,water
148,148,1,water
149,149,1,water
150,150,1,water
151,151,1,water
152,152,2,land
153,153,2,land
154,154,2,land
155,155,0,border
156,156,0,border
157,157,1,water
158,158,1,water
159,159,1,water
160,160,1,water
161,161,1,water
162,162,1,water
163,163,1,water
164,164,1,water
165,165,1,water
166,166,1,water
167,167,1,water
168,168,1,water
169,169,1,water
170,170,1,water
171,171,1,water
172,172,1,water
173,173,1,water
174,174,1,water
175,175,1,water
176,176,1,water
177,177,1,water
178,178,2,land
179,179,2,land
180,180,2,land
181,181,0,border
182,182,0,border
183,183,1,water
184,184,1,water
185,185,1,water
186,186,1,water
187,187,1,water
188,188,1,water
189,189,1,water
190,190,1,water
191,191,1,water
192,192,1,water
193,193,1,water
194,194,1,water
195,195,1,water
196,196,1,water
197,197,1,water
198,198,1,water
199,199,1,water
200,200,1,water
201,201,1,water
202,202,1,water
203,203,1,water
204,204,2,land
205,205,2,land
206,206,2,land
207,207,0,border
208,208,0,border
209,209,1,water
210,210,1,water
211,211,1,water
212,212,1,water
213,213,1,water
214,214,1,water
215,215,1,water
216,216,1,water
217,217,1,water
218,218,1,water
219,219,1,water
220,220,1,water
221,221,1,water
222,222,1,water
223,223,1,water
224,224,1,water
225,225,1,water
226,226,1,water
227,227,1,water
228,228,2,land
229,229,2,land
230,230,2,land
231,231,2,land
232,232,2,land
233,233,0,border
234,234,0,border
235,235,1,water
236,236,1,water
237,237,1,water
238,238,2,land
239,239,2,land
240,240,1,water
241,241,1,water
242,242,1,water
243,243,1,water
244,244,1,water
245,245,1,water
246,246,1,water
247,247,1,water
248,248,1,water
249,249,1,water
250,250,1,water
251,251,1,water
252,252,1,water
253,253,1,water
254,254,2,land
255,255,2,land
256,256,2,land
257,257,2,land
258,258,2,land
259,259,0,border
260,260,0,border
261,261,1,water
262,262,1,water
263,263,1,water
264,264,2,land
265,265,1,water
266,266,1,water
267,267,1,water
268,268,1,water
269,269,1,water
270,270,1,water
271,271,1,water
272,272,1,water
273,273,1,water
274,274,1,water
275,275,1,water
276,276,1,water
277,277,1,water
278,278,1,water
279,279,1,water
280,280,2,land
281,281,2,land
282,282,2,land
283,283,2,land
284,284,2,land
285,285,0,border
286,286,0,border
287,287,1,water
288,288,1,water
289,289,1,water
290,290,2,land
291,291,1,water
292,292,1,water
293,293,1,water
294,294,1,water
295,295,1,water
296,296,1,water
297,297,1,water
298,298,1,water
299,299,1,water
300,300,1,water
301,301,1,water
302,302,1,water
303,303,1,water
304,304,1,water
305,305,1,water
306,306,2,land
307,307,2,land
308,308,2,land
309,309,2,land
310,310,2,land
311,311,0,border
312,312,0,border
313,313,1,water
314,314,1,water
315,315,1,water
316,316,1,water
317,317,1,water
318,318,1,water
319,319,1,water
320,320,1,water
321,321,1,water
322,322,1,water
323,323,1,water
324,324,1,water
325,325,1,water
326,326,1,water
327,327,1,water
328,328,1,water
329,329,1,water
330,330,1,water
331,331,2,land
332,332,2,land
333,333,2,land
334,334,2,land
335,335,2,land
336,336,2,land
337,337,0,border
338,338,0,border
339,339,1,water
340,340,1,water
341,341,1,water
342,342,1,water
343,343,1,water
344,344,1,water
345,345,1,water
346,346,1,water
347,347,1,water
348,348,1,water
349,349,1,water
350,350,1,water
351,351,1,water
352,352,1,water
353,353,1,water
354,354,1,water
355,355,1,water
356,356,1,water
357,357,2,land
358,358,2,land
359,359,2,land
360,360,2,land
361,361,1,water
362,362,1,water
363,363,0,border
364,364,0,border
365,365,1,water
366,366,1,water
367,367,1,water
368,368,1,water
369,369,1,water
370,370,1,water
371,371,1,water
372,372,1,water
373,373,1,water
374,374,1,water
375,375,1,water
376,376,1,water
377,377,1,water
378,378,1,water
379,379,1,water
380,380,1,water
381,381,1,water
382,382,2,land
383,383,2,land
384,384,2,land
385,385,2,land
386,386,2,land
387,387,1,water
388,388,1,water
389,389,0,border
390,390,0,border
391,391,1,water
392,392,1,water
393,393,1,water
394,394,1,water
395,395,1,water
396,396,1,water
397,397,1,water
398,398,1,water
399,399,1,water
400,400,1,water
401,401,1,water
402,402,1,water
403,403,1,water
404,404,1,water
405,405,1,water
406,406,2,land
407,407,2,land
408,408,2,land
409,409,2,land
410,410,2,land
411,411,2,land
412,412,2,land
413,413,1,water
414,414,1,water
415,415,0,border
416,416,0,border
417,417,1,water
418,418,1,water
419,419,1,water
420,420,1,water
421,421,1,water
422,422,1,water
423,423,1,water
424,424,1,water
425,425,1,water
426,426,1,water
427,427,1,water
428,428,1,water
429,429,1,water
430,430,1,water
431,431,2,land
432,432,2,land
433,433,2,land
434,434,2,land
435,435,2,land
436,436,2,land
437,437,2,land
438,438,2,land
439,439,1,water
440,440,1,water
441,441,0,border
442,442,0,border
443,443,1,water
444,444,1,water
445,445,1,water
446,446,1,water
447,447,1,water
448,448,1,water
449,449,1,water
450,450,1,water
451,451,1,water
452,452,1,water
453,453,1,water
454,454,1,water
455,455,1,water
456,456,1,water
457,457,2,land
458,458,2,land
459,459,2,land
460,460,2,land
461,461,2,land
462,462,2,land
463,463,2,land
464,464,2,land
465,465,1,water
466,466,1,water
467,467,0,border
468,468,0,border
469,469,1,water
470,470,1,water
471,471,1,water
472,472,1,water
473,473,1,water
474,474,1,water
475,475,1,water
476,476,1,water
477,477,1,water
478,478,1,water
479,479,1,water
480,480,1,water
481,481,2,land
482,482,2,land
483,483,2,land
484,484,2,land
485,485,1,water
486,486,1,water
487,487,1,water
488,488,2,land
489,489,2,land
490,490,1,water
491,491,1,water
492,492,1,water
493,493,0,border
494,494,0,border
495,495,1,water
496,496,1,water
497,497,1,water
498,498,1,water
499,499,1,water
500,500,1,water
501,501,1,water
502,502,1,water
503,503,1,water
504,504,1,water
505,505,1,water
506,506,1,water
507,507,1,water
508,508,2,land
509,509,2,land
510,510,1,water
511,511,1,water
512,512,1,water
513,513,1,water
514,514,1,water
515,515,1,water
516,516,1,water
517,517,1,water
518,518,1,water
519,519,0,border
520,520,0,border
521,521,1,water
522,522,1,water
523,523,1,water
524,524,1,water
525,525,1,water
526,526,1,water
527,527,1,water
528,528,1,water
529,529,1,water
530,530,1,water
531,531,1,water
532,532,1,water
533,533,2,land
534,534,2,land
535,535,1,water
536,536,1,water
537,537,1,water
538,538,1,water
539,539,1,water
540,540,1,water
541,541,1,water
542,542,1,water
543,543,1,water
544,544,1,water
545,545,0,border
546,546,0,border
547,547,2,land
548,548,2,land
549,549,2,land
550,550,2,land
551,551,2,land
552,552,1,water
553,553,1,water
554,554,1,water
555,555,1,water
556,556,1,water
557,557,1,water
558,558,1,water
559,559,2,land
560,560,2,land
561,561,2,land
562,562,1,water
563,563,1,water
564,564,1,water
565,565,1,water
566,566,1,water
567,567,1,water
568,568,1,water
569,569,1,water
570,570,1,water
571,571,0,border
572,572,0,border
573,573,2,land
574,574,2,land
575,575,2,land
576,576,2,land
577,577,2,land
578,578,2,land
579,579,1,water
580,580,1,water
581,581,1,water
582,582,1,water
583,583,1,water
584,584,1,water
585,585,1,water
586,586,2,land
587,587,2,land
588,588,1,water
589,589,1,water
590,590,1,water
591,591,1,water
592,592,1,water
593,593,1,water
594,594,1,water
595,595,1,water
596,596,1,water
597,597,0,border
598,598,0,border
599,599,2,land
600,600,2,land
601,601,2,land
602,602,2,land
603,603,2,land
604,604,2,land
605,605,2,land
606,606,1,water
607,607,1,water
608,608,1,water
609,609,1,water
610,610,1,water
611,611,2,land
612,612,2,land
613,613,2,land
614,614,1,water
615,615,1,water
616,616,1,water
617,617,1,water
618,618,1,water
619,619,1,water
620,620,1,water
621,621,1,water
622,622,1,water
623,623,0,border
624,624,0,border
625,625,2,land
626,626,2,land
627,627,2,land
628,628,2,land
629,629,2,land
630,630,2,land
631,631,2,land
632,632,2,land
633,633,2,land
634,634,1,water
635,635,2,land
636,636,2,land
637,637,2,land
638,638,2,land
639,639,2,land
640,640,1,water
641,641,1,water
642,642,1,water
643,643,1,water
644,644,1,water
645,645,1,water
646,646,1,water
647,647,1,water
648,648,2,land
649,649,0,border
650,650,0,border
651,651,0,border
652,652,0,border
653,653,0,border
654,654,0,border
655,655,0,border
656,656,0,border
657,657,0,border
658,658,0,border
659,659,0,border
660,660,0,border
661,661,0,border
662,662,0,border
