,ids,Land,map_tiles
0,0,1,water
1,1,1,water
2,2,1,water
3,3,1,water
4,4,1,water
5,5,1,water
6,6,1,water
7,7,1,water
8,8,1,water
9,9,1,water
10,10,1,water
11,11,1,water
12,12,1,water
13,13,1,water
14,14,1,water
15,15,1,water
16,16,1,water
17,17,1,water
18,18,1,water
19,19,1,water
20,20,1,water
21,21,1,water
22,22,1,water
23,23,1,water
24,24,1,water
25,25,1,water
26,26,1,water
27,27,1,water
28,28,1,water
29,29,1,water
30,30,1,water
31,31,1,water
32,32,1,water
33,33,1,water
34,34,1,water
35,35,1,water
36,36,1,water
37,37,1,water
38,38,1,water
39,39,1,water
40,40,1,water
41,41,1,water
42,42,1,water
43,43,1,water
44,44,1,water
45,45,1,water
46,46,1,water
47,47,1,water
48,48,1,water
49,49,1,water
50,50,1,water
51,51,1,water
52,52,1,water
53,53,1,water
54,54,1,water
55,55,1,water
56,56,1,water
57,57,1,water
58,58,1,water
59,59,1,water
60,60,1,water
61,61,1,water
62,62,1,water
63,63,2,land
64,64,2,land
65,65,2,land
66,66,2,land
67,67,2,land
68,68,2,land
69,69,2,land
70,70,2,land
71,71,2,land
72,72,1,water
73,73,1,water
74,74,1,water
75,75,1,water
76,76,1,water
77,77,1,water
78,78,1,water
79,79,1,water
80,80,1,water
81,81,1,water
82,82,1,water
83,83,1,water
84,84,1,water
85,85,1,water
86,86,1,water
87,87,1,water
88,88,1,water
89,89,1,water
90,90,1,water
91,91,1,water
92,92,1,water
93,93,1,water
94,94,1,water
95,95,1,water
96,96,1,water
97,97,1,water
98,98,1,water
99,99,1,water
100,100,1,water
101,101,1,water
102,102,1,water
103,103,1,water
104,104,1,water
105,105,1,water
106,106,1,water
107,107,1,water
108,108,1,water
109,109,1,water
110,110,1,water
111,111,1,water
112,112,1,water
113,113,1,water
114,114,1,water
115,115,1,water
116,116,1,water
117,117,1,water
118,118,1,water
119,119,1,water
120,120,1,water
121,121,1,water
122,122,1,water
123,123,1,water
124,124,1,water
125,125,1,water
126,126,1,water
127,127,1,water
128,128,1,water
129,129,1,water
130,130,1,water
131,131,1,water
132,132,1,water
133,133,1,water
134,134,2,land
135,135,2,land
136,136,2,land
137,137,2,land
138,138,2,land
139,139,2,land
140,140,2,land
141,141,2,land
142,142,2,land
143,143,2,land
144,144,1,water
145,145,1,water
146,146,1,water
147,147,1,water
148,148,1,water
149,149,1,water
150,150,1,water
151,151,1,water
152,152,1,water
153,153,1,water
154,154,1,water
155,155,1,water
156,156,1,water
157,157,1,water
158,158,1,water
159,159,1,water
160,160,1,water
161,161,1,water
162,162,1,water
163,163,1,water
164,164,1,water
165,165,1,water
166,166,1,water
167,167,1,water
168,168,1,water
169,169,1,water
170,170,1,water
171,171,1,water
172,172,1,water
173,173,1,water
174,174,1,water
175,175,1,water
176,176,1,water
177,177,1,water
178,178,1,water
179,179,1,water
180,180,1,water
181,181,1,water
182,182,1,water
183,183,1,water
184,184,1,water
185,185,1,water
186,186,1,water
187,187,1,water
188,188,1,water
189,189,1,water
190,190,1,water
191,191,1,water
192,192,1,water
193,193,1,water
194,194,1,water
195,195,1,water
196,196,1,water
197,197,1,water
198,198,1,water
199,199,1,water
200,200,1,water
201,201,1,water
202,202,1,water
203,203,1,water
204,204,1,water
205,205,2,land
206,206,2,land
207,207,2,land
208,208,2,land
209,209,2,land
210,210,2,land
211,211,2,land
212,212,2,land
213,213,2,land
214,214,2,land
215,215,2,land
216,216,1,water
217,217,1,water
218,218,1,water
219,219,1,water
220,220,1,water
221,221,1,water
222,222,1,water
223,223,1,water
224,224,1,water
225,225,1,water
226,226,1,water
227,227,1,water
228,228,1,water
229,229,1,water
230,230,1,water
231,231,1,water
232,232,1,water
233,233,1,water
234,234,1,water
235,235,1,water
236,236,1,water
237,237,1,water
238,238,1,water
239,239,1,water
240,240,1,water
241,241,1,water
242,242,1,water
243,243,1,water
244,244,1,water
245,245,1,water
246,246,1,water
247,247,1,water
248,248,1,water
249,249,1,water
250,250,1,water
251,251,1,water
252,252,1,water
253,253,1,water
254,254,1,water
255,255,1,water
256,256,1,water
257,257,1,water
258,258,1,water
259,259,1,water
260,260,1,water
261,261,1,water
262,262,1,water
263,263,1,water
264,264,1,water
265,265,1,water
266,266,1,water
267,267,1,water
268,268,1,water
269,269,1,water
270,270,1,water
271,271,1,water
272,272,1,water
273,273,1,water
274,274,1,water
275,275,1,water
276,276,2,land
277,277,2,land
278,278,2,land
279,279,2,land
280,280,2,land
281,281,2,land
282,282,2,land
283,283,2,land
284,284,2,land
285,285,2,land
286,286,2,land
287,287,2,land
288,288,1,water
289,289,1,water
290,290,1,water
291,291,1,water
292,292,1,water
293,293,1,water
294,294,1,water
295,295,1,water
296,296,1,water
297,297,1,water
298,298,1,water
299,299,1,water
300,300,1,water
301,301,1,water
