,geometry,Longitude,Latitude,ids
0,POINT (-98.52083333333336 -3.572916666666667),-98.52083333333336,-3.572916666666667,0
1,POINT (-98.52083333333336 -2.71875),-98.52083333333336,-2.71875,1
2,POINT (-98.52083333333336 -1.864583333333334),-98.52083333333336,-1.864583333333334,2
3,POINT (-98.52083333333334 -1.010416666666667),-98.52083333333334,-1.0104166666666667,3
4,POINT (-98.52083333333334 -0.1562500000000002),-98.52083333333334,-0.15625000000000017,4
5,POINT (-98.52083333333336 0.6979166666666663),-98.52083333333336,0.6979166666666663,5
6,POINT (-98.52083333333336 1.552083333333333),-98.52083333333336,1.552083333333333,6
7,POINT (-98.52083333333336 2.406249999999999),-98.52083333333336,2.4062499999999987,7
8,POINT (-98.52083333333336 3.260416666666667),-98.52083333333336,3.2604166666666665,8
9,POINT (-98.52083333333334 4.114583333333334),-98.52083333333334,4.114583333333334,9
10,POINT (-98.52083333333334 4.968749999999999),-98.52083333333334,4.968749999999999,10
11,POINT (-98.52083333333334 5.822916666666665),-98.52083333333334,5.822916666666665,11
12,POINT (-98.52083333333334 6.677083333333334),-98.52083333333334,6.677083333333334,12
13,POINT (-98.52083333333334 7.531250000000001),-98.52083333333334,7.531250000000001,13
14,POINT (-98.52083333333333 8.385416666666666),-98.52083333333333,8.385416666666666,14
15,POINT (-98.52083333333333 9.239583333333332),-98.52083333333333,9.239583333333332,15
16,POINT (-98.52083333333333 10.09375),-98.52083333333333,10.09375,16
17,POINT (-98.52083333333333 10.94791666666666),-98.52083333333333,10.947916666666664,17
18,POINT (-98.52083333333333 11.80208333333333),-98.52083333333333,11.802083333333332,18
19,POINT (-98.52083333333333 12.65624999999999),-98.52083333333333,12.656249999999995,19
20,POINT (-98.52083333333333 13.51041666666666),-98.52083333333333,13.510416666666664,20
21,POINT (-98.52083333333333 14.36458333333333),-98.52083333333333,14.364583333333334,21
22,POINT (-98.52083333333333 15.21875),-98.52083333333333,15.218749999999998,22
23,POINT (-98.52083333333334 16.07291666666666),-98.52083333333334,16.072916666666664,23
24,POINT (-97.56250000000001 -3.572916666666667),-97.56250000000001,-3.572916666666667,24
25,POINT (-97.56250000000001 -2.71875),-97.56250000000001,-2.71875,25
26,POINT (-97.56250000000001 -1.864583333333334),-97.56250000000001,-1.864583333333334,26
27,POINT (-97.5625 -1.010416666666667),-97.5625,-1.0104166666666667,27
28,POINT (-97.5625 -0.1562500000000002),-97.5625,-0.15625000000000017,28
29,POINT (-97.56250000000001 0.6979166666666663),-97.56250000000001,0.6979166666666663,29
30,POINT (-97.56250000000001 1.552083333333333),-97.56250000000001,1.552083333333333,30
31,POINT (-97.56250000000001 2.406249999999999),-97.56250000000001,2.4062499999999987,31
32,POINT (-97.56250000000001 3.260416666666667),-97.56250000000001,3.2604166666666665,32
33,POINT (-97.56250000000001 4.114583333333334),-97.56250000000001,4.114583333333334,33
34,POINT (-97.56250000000001 4.968749999999999),-97.56250000000001,4.968749999999999,34
35,POINT (-97.56250000000001 5.822916666666665),-97.56250000000001,5.822916666666665,35
36,POINT (-97.56250000000001 6.677083333333334),-97.56250000000001,6.677083333333334,36
37,POINT (-97.56250000000001 7.531250000000001),-97.56250000000001,7.531250000000001,37
38,POINT (-97.5625 8.385416666666666),-97.5625,8.385416666666666,38
39,POINT (-97.5625 9.239583333333332),-97.5625,9.239583333333332,39
40,POINT (-97.5625 10.09375),-97.5625,10.09375,40
41,POINT (-97.5625 10.94791666666666),-97.5625,10.947916666666664,41
42,POINT (-97.5625 11.80208333333333),-97.5625,11.802083333333332,42
43,POINT (-97.5625 12.65624999999999),-97.5625,12.656249999999995,43
44,POINT (-97.5625 13.51041666666666),-97.5625,13.510416666666664,44
45,POINT (-97.5625 14.36458333333333),-97.5625,14.364583333333334,45
46,POINT (-97.5625 15.21875),-97.5625,15.218749999999998,46
47,POINT (-97.56250000000001 16.07291666666666),-97.56250000000001,16.072916666666664,47
48,POINT (-96.60416666666667 -3.572916666666667),-96.60416666666667,-3.572916666666667,48
49,POINT (-96.60416666666667 -2.71875),-96.60416666666667,-2.71875,49
50,POINT (-96.60416666666667 -1.864583333333334),-96.60416666666667,-1.864583333333334,50
51,POINT (-96.60416666666666 -1.010416666666667),-96.60416666666666,-1.0104166666666667,51
52,POINT (-96.60416666666666 -0.1562500000000002),-96.60416666666666,-0.15625000000000017,52
53,POINT (-96.60416666666667 0.6979166666666663),-96.60416666666667,0.6979166666666663,53
54,POINT (-96.60416666666667 1.552083333333333),-96.60416666666667,1.552083333333333,54
55,POINT (-96.60416666666667 2.406249999999999),-96.60416666666667,2.4062499999999987,55
56,POINT (-96.60416666666667 3.260416666666667),-96.60416666666667,3.2604166666666665,56
57,POINT (-96.60416666666664 4.114583333333334),-96.60416666666664,4.114583333333334,57
58,POINT (-96.60416666666664 4.968749999999999),-96.60416666666664,4.968749999999999,58
59,POINT (-96.60416666666664 5.822916666666665),-96.60416666666664,5.822916666666665,59
60,POINT (-96.60416666666664 6.677083333333334),-96.60416666666664,6.677083333333334,60
61,POINT (-96.60416666666664 7.531250000000001),-96.60416666666664,7.531250000000001,61
62,POINT (-96.60416666666664 8.385416666666666),-96.60416666666664,8.385416666666666,62
63,POINT (-96.60416666666664 9.239583333333332),-96.60416666666664,9.239583333333332,63
64,POINT (-96.60416666666664 10.09375),-96.60416666666664,10.09375,64
65,POINT (-96.60416666666664 10.94791666666666),-96.60416666666664,10.947916666666664,65
66,POINT (-96.60416666666664 11.80208333333333),-96.60416666666664,11.802083333333332,66
67,POINT (-96.60416666666664 12.65624999999999),-96.60416666666664,12.656249999999995,67
68,POINT (-96.60416666666664 13.51041666666666),-96.60416666666664,13.510416666666664,68
69,POINT (-96.60416666666664 14.36458333333333),-96.60416666666664,14.364583333333334,69
70,POINT (-96.60416666666664 15.21875),-96.60416666666664,15.218749999999998,70
71,POINT (-96.60416666666666 16.07291666666666),-96.60416666666666,16.072916666666664,71
72,POINT (-95.64583333333336 -3.572916666666667),-95.64583333333336,-3.572916666666667,72
73,POINT (-95.64583333333336 -2.71875),-95.64583333333336,-2.71875,73
74,POINT (-95.64583333333336 -1.864583333333334),-95.64583333333336,-1.864583333333334,74
75,POINT (-95.64583333333334 -1.010416666666667),-95.64583333333334,-1.0104166666666667,75
76,POINT (-95.64583333333334 -0.1562500000000002),-95.64583333333334,-0.15625000000000017,76
77,POINT (-95.64583333333336 0.6979166666666663),-95.64583333333336,0.6979166666666663,77
78,POINT (-95.64583333333336 1.552083333333333),-95.64583333333336,1.552083333333333,78
79,POINT (-95.64583333333336 2.406249999999999),-95.64583333333336,2.4062499999999987,79
80,POINT (-95.64583333333336 3.260416666666667),-95.64583333333336,3.2604166666666665,80
81,POINT (-95.64583333333336 4.114583333333334),-95.64583333333336,4.114583333333334,81
82,POINT (-95.64583333333336 4.968749999999999),-95.64583333333336,4.968749999999999,82
83,POINT (-95.64583333333336 5.822916666666665),-95.64583333333336,5.822916666666665,83
84,POINT (-95.64583333333336 6.677083333333334),-95.64583333333336,6.677083333333334,84
85,POINT (-95.64583333333336 7.531250000000001),-95.64583333333336,7.531250000000001,85
86,POINT (-95.64583333333336 8.385416666666666),-95.64583333333336,8.385416666666666,86
87,POINT (-95.64583333333336 9.239583333333332),-95.64583333333336,9.239583333333332,87
88,POINT (-95.64583333333336 10.09375),-95.64583333333336,10.09375,88
89,POINT (-95.64583333333336 10.94791666666666),-95.64583333333336,10.947916666666664,89
90,POINT (-95.64583333333336 11.80208333333333),-95.64583333333336,11.802083333333332,90
91,POINT (-95.64583333333336 12.65624999999999),-95.64583333333336,12.656249999999995,91
92,POINT (-95.64583333333336 13.51041666666666),-95.64583333333336,13.510416666666664,92
93,POINT (-95.64583333333336 14.36458333333333),-95.64583333333336,14.364583333333334,93
94,POINT (-95.64583333333336 15.21875),-95.64583333333336,15.218749999999998,94
95,POINT (-95.64583333333334 16.07291666666666),-95.64583333333334,16.072916666666664,95
96,POINT (-94.68750000000001 -3.572916666666667),-94.68750000000001,-3.572916666666667,96
97,POINT (-94.68750000000001 -2.71875),-94.68750000000001,-2.71875,97
98,POINT (-94.68750000000001 -1.864583333333334),-94.68750000000001,-1.864583333333334,98
99,POINT (-94.6875 -1.010416666666667),-94.6875,-1.0104166666666667,99
100,POINT (-94.6875 -0.1562500000000002),-94.6875,-0.15625000000000017,100
101,POINT (-94.68750000000001 0.6979166666666663),-94.68750000000001,0.6979166666666663,101
102,POINT (-94.68750000000001 1.552083333333333),-94.68750000000001,1.552083333333333,102
103,POINT (-94.68750000000001 2.406249999999999),-94.68750000000001,2.4062499999999987,103
104,POINT (-94.68750000000001 3.260416666666667),-94.68750000000001,3.2604166666666665,104
105,POINT (-94.68750000000001 4.114583333333334),-94.68750000000001,4.114583333333334,105
106,POINT (-94.68750000000001 4.968749999999999),-94.68750000000001,4.968749999999999,106
107,POINT (-94.68750000000001 5.822916666666665),-94.68750000000001,5.822916666666665,107
108,POINT (-94.68750000000001 6.677083333333334),-94.68750000000001,6.677083333333334,108
109,POINT (-94.68750000000001 7.531250000000001),-94.68750000000001,7.531250000000001,109
110,POINT (-94.68750000000001 8.385416666666666),-94.68750000000001,8.385416666666666,110
111,POINT (-94.68750000000001 9.239583333333332),-94.68750000000001,9.239583333333332,111
112,POINT (-94.68750000000001 10.09375),-94.68750000000001,10.09375,112
113,POINT (-94.68750000000001 10.94791666666666),-94.68750000000001,10.947916666666664,113
114,POINT (-94.68750000000001 11.80208333333333),-94.68750000000001,11.802083333333332,114
115,POINT (-94.68750000000001 12.65624999999999),-94.68750000000001,12.656249999999995,115
116,POINT (-94.68750000000001 13.51041666666666),-94.68750000000001,13.510416666666664,116
117,POINT (-94.68750000000001 14.36458333333333),-94.68750000000001,14.364583333333334,117
118,POINT (-94.68750000000001 15.21875),-94.68750000000001,15.218749999999998,118
119,POINT (-94.68750000000001 16.07291666666666),-94.68750000000001,16.072916666666664,119
120,POINT (-93.72916666666667 -3.572916666666667),-93.72916666666667,-3.572916666666667,120
121,POINT (-93.72916666666667 -2.71875),-93.72916666666667,-2.71875,121
122,POINT (-93.72916666666667 -1.864583333333334),-93.72916666666667,-1.864583333333334,122
123,POINT (-93.72916666666666 -1.010416666666667),-93.72916666666666,-1.0104166666666667,123
124,POINT (-93.72916666666666 -0.1562500000000002),-93.72916666666666,-0.15625000000000017,124
125,POINT (-93.72916666666667 0.6979166666666663),-93.72916666666667,0.6979166666666663,125
126,POINT (-93.72916666666667 1.552083333333333),-93.72916666666667,1.552083333333333,126
127,POINT (-93.72916666666667 2.406249999999999),-93.72916666666667,2.4062499999999987,127
128,POINT (-93.72916666666667 3.260416666666667),-93.72916666666667,3.2604166666666665,128
129,POINT (-93.72916666666666 4.114583333333334),-93.72916666666666,4.114583333333334,129
130,POINT (-93.72916666666666 4.968749999999999),-93.72916666666666,4.968749999999999,130
131,POINT (-93.72916666666666 5.822916666666665),-93.72916666666666,5.822916666666665,131
132,POINT (-93.72916666666666 6.677083333333334),-93.72916666666666,6.677083333333334,132
133,POINT (-93.72916666666666 7.531250000000001),-93.72916666666666,7.531250000000001,133
134,POINT (-93.72916666666664 8.385416666666666),-93.72916666666664,8.385416666666666,134
135,POINT (-93.72916666666664 9.239583333333332),-93.72916666666664,9.239583333333332,135
136,POINT (-93.72916666666664 10.09375),-93.72916666666664,10.09375,136
137,POINT (-93.72916666666664 10.94791666666666),-93.72916666666664,10.947916666666664,137
138,POINT (-93.72916666666664 11.80208333333333),-93.72916666666664,11.802083333333332,138
139,POINT (-93.72916666666664 12.65624999999999),-93.72916666666664,12.656249999999995,139
140,POINT (-93.72916666666664 13.51041666666666),-93.72916666666664,13.510416666666664,140
141,POINT (-93.72916666666664 14.36458333333333),-93.72916666666664,14.364583333333334,141
