,ids,cloud_ceilings,Altitude
0,0,20000.107421875,20000.11
1,1,20000.107421875,20000.11
2,2,20000.107421875,20000.11
3,3,20000.107421875,20000.11
4,4,20000.107421875,20000.11
5,5,20000.107421875,20000.11
6,6,12276.207702636959,12276.21
7,7,2509.707878113021,2509.71
8,8,470.7077713012684,470.71
9,9,477.9077682495113,477.91
10,10,493.8077621459947,493.81
11,11,552.5077514648452,552.51
12,12,615.8077545166043,615.81
13,13,662.3077545166038,662.31
14,14,641.1077575683626,641.11
15,15,515.7077713012729,515.71
16,16,513.2077560424831,513.21
17,17,647.0077667236393,647.01
18,18,5458.007797241761,5458.01
19,19,10665.007659912264,10665.01
20,20,15561.407470702736,15561.41
21,21,16551.707519531323,16551.71
22,22,7711.107727050877,7711.11
23,23,2169.907836914062,2169.91
24,24,1925.107818603514,1925.11
25,25,10779.607513427665,10779.61
26,26,10198.007492065502,10198.01
27,27,603.1077728271532,603.11
28,28,2727.307830810715,2727.31
29,29,12457.30764770521,12457.31
30,30,20000.107421875,20000.11
31,31,20000.107421875,20000.11
32,32,20000.107421875,20000.11
33,33,20000.107421875,20000.11
34,34,20000.107421875,20000.11
35,35,20000.107421875,20000.11
36,36,20000.107421875,20000.11
37,37,20000.107421875,20000.11
38,38,20000.107421875,20000.11
39,39,20000.107421875,20000.11
40,40,20000.107421875,20000.11
41,41,20000.107421875,20000.11
42,42,20000.107421875,20000.11
43,43,20000.107421875,20000.11
44,44,20000.107421875,20000.11
45,45,20000.107421875,20000.11
46,46,20000.107421875,20000.11
47,47,20000.107421875,20000.11
48,48,20000.107421875,20000.11
49,49,20000.107421875,20000.11
50,50,20000.107421875,20000.11
51,51,20000.107421875,20000.11
52,52,20000.107421875,20000.11
53,53,20000.107421875,20000.11
54,54,20000.107421875,20000.11
55,55,20000.107421875,20000.11
56,56,20000.107421875,20000.11
57,57,20000.107421875,20000.11
58,58,20000.107421875,20000.11
59,59,20000.107421875,20000.11
60,60,20000.107421875,20000.11
61,61,20000.107421875,20000.11
62,62,20000.107421875,20000.11
63,63,20000.107421875,20000.11
64,64,20000.107421875,20000.11
65,65,20000.107421875,20000.11
66,66,20000.107421875,20000.11
67,67,20000.107421875,20000.11
68,68,20000.107421875,20000.11
69,69,16340.507446288773,16340.51
70,70,16340.507446288775,16340.51
71,71,20000.107421875,20000.11
72,72,20000.107421875,20000.11
73,73,20000.107421875,20000.11
74,74,20000.107421875,20000.11
75,75,20000.107421875,20000.11
76,76,20000.107421875,20000.11
77,77,20000.107421875,20000.11
