,ids,Land,map_tiles
0,0,0,border
1,1,0,border
2,2,0,border
3,3,0,border
4,4,0,border
5,5,0,border
6,6,0,border
7,7,0,border
8,8,0,border
9,9,0,border
10,10,0,border
11,11,0,border
12,12,0,border
13,13,0,border
14,14,0,border
15,15,0,border
16,16,0,border
17,17,0,border
18,18,0,border
19,19,0,border
20,20,0,border
21,21,0,border
22,22,0,border
23,23,0,border
24,24,0,border
25,25,1,water
26,26,1,water
27,27,1,water
28,28,1,water
29,29,1,water
30,30,1,water
31,31,1,water
32,32,1,water
33,33,1,water
34,34,1,water
35,35,1,water
36,36,1,water
37,37,1,water
38,38,1,water
39,39,1,water
40,40,1,water
41,41,1,water
42,42,1,water
43,43,1,water
44,44,1,water
45,45,1,water
46,46,2,land
47,47,0,border
48,48,0,border
49,49,1,water
50,50,1,water
51,51,1,water
52,52,1,water
53,53,1,water
54,54,1,water
55,55,1,water
56,56,1,water
57,57,1,water
58,58,1,water
59,59,1,water
60,60,1,water
61,61,1,water
62,62,1,water
63,63,1,water
64,64,1,water
65,65,1,water
66,66,1,water
67,67,1,water
68,68,1,water
69,69,1,water
70,70,2,land
71,71,0,border
72,72,0,border
73,73,1,water
74,74,1,water
75,75,1,water
76,76,1,water
77,77,1,water
78,78,1,water
79,79,1,water
80,80,1,water
81,81,1,water
82,82,1,water
83,83,1,water
84,84,1,water
85,85,1,water
86,86,1,water
87,87,1,water
88,88,1,water
89,89,1,water
90,90,1,water
91,91,1,water
92,92,1,water
93,93,1,water
94,94,2,land
95,95,0,border
96,96,0,border
97,97,1,water
98,98,1,water
99,99,1,water
100,100,1,water
101,101,1,water
102,102,1,water
103,103,1,water
104,104,1,water
105,105,1,water
106,106,1,water
107,107,1,water
108,108,1,water
109,109,1,water
110,110,1,water
111,111,1,water
112,112,1,water
113,113,1,water
114,114,1,water
115,115,1,water
116,116,1,water
117,117,1,water
118,118,1,water
119,119,0,border
120,120,0,border
121,121,1,water
122,122,1,water
123,123,1,water
124,124,1,water
125,125,1,water
126,126,1,water
127,127,1,water
128,128,1,water
129,129,1,water
130,130,1,water
131,131,1,water
132,132,1,water
133,133,1,water
134,134,1,water
135,135,1,water
136,136,1,water
137,137,1,water
138,138,1,water
139,139,1,water
140,140,1,water
141,141,1,water
142,142,2,land
143,143,0,border
144,144,0,border
145,145,1,water
146,146,1,water
147,147,1,water
148,148,1,water
149,149,1,water
150,150,1,water
151,151,1,water
152,152,1,water
153,153,1,water
154,154,1,water
155,155,1,water
156,156,1,water
157,157,1,water
158,158,1,water
159,159,1,water
160,160,1,water
161,161,1,water
162,162,1,water
163,163,1,water
164,164,1,water
165,165,2,land
166,166,2,land
167,167,0,border
168,168,0,border
169,169,1,water
170,170,1,water
171,171,2,land
172,172,2,land
173,173,1,water
174,174,1,water
175,175,1,water
176,176,1,water
177,177,1,water
178,178,1,water
179,179,1,water
180,180,1,water
181,181,1,water
182,182,1,water
183,183,1,water
184,184,1,water
185,185,1,water
186,186,1,water
187,187,1,water
188,188,2,land
189,189,2,land
190,190,2,land
191,191,0,border
192,192,0,border
193,193,1,water
194,194,1,water
195,195,2,land
196,196,2,land
197,197,1,water
198,198,1,water
199,199,1,water
200,200,1,water
201,201,1,water
202,202,1,water
203,203,1,water
204,204,1,water
205,205,1,water
206,206,1,water
207,207,1,water
208,208,1,water
209,209,1,water
210,210,1,water
211,211,1,water
212,212,2,land
213,213,2,land
214,214,2,land
215,215,0,border
216,216,0,border
217,217,1,water
218,218,1,water
219,219,1,water
220,220,2,land
221,221,1,water
222,222,1,water
223,223,1,water
224,224,1,water
225,225,1,water
226,226,1,water
227,227,1,water
228,228,1,water
229,229,1,water
230,230,1,water
231,231,1,water
232,232,1,water
233,233,1,water
234,234,1,water
235,235,1,water
236,236,2,land
237,237,2,land
238,238,2,land
239,239,0,border
240,240,0,border
241,241,1,water
242,242,1,water
243,243,1,water
244,244,1,water
245,245,1,water
246,246,1,water
247,247,1,water
248,248,1,water
249,249,1,water
250,250,1,water
251,251,1,water
252,252,1,water
253,253,1,water
254,254,1,water
255,255,1,water
256,256,1,water
257,257,1,water
258,258,1,water
259,259,2,land
260,260,2,land
261,261,2,land
262,262,2,land
263,263,0,border
264,264,0,border
265,265,1,water
266,266,1,water
267,267,1,water
268,268,1,water
269,269,1,water
270,270,1,water
271,271,1,water
272,272,1,water
273,273,1,water
274,274,1,water
275,275,1,water
276,276,1,water
277,277,1,water
278,278,1,water
279,279,1,water
280,280,1,water
281,281,1,water
282,282,1,water
283,283,2,land
284,284,2,land
285,285,2,land
286,286,2,land
287,287,0,border
288,288,0,border
289,289,1,water
290,290,1,water
291,291,1,water
292,292,1,water
293,293,1,water
294,294,1,water
295,295,1,water
296,296,1,water
297,297,1,water
298,298,1,water
299,299,1,water
300,300,1,water
301,301,1,water
302,302,1,water
303,303,1,water
304,304,1,water
305,305,1,water
306,306,2,land
307,307,2,land
308,308,2,land
309,309,2,land
310,310,2,land
311,311,0,border
312,312,0,border
313,313,1,water
314,314,1,water
315,315,1,water
316,316,1,water
317,317,1,water
318,318,1,water
319,319,1,water
320,320,1,water
321,321,1,water
322,322,1,water
323,323,1,water
324,324,1,water
325,325,1,water
326,326,1,water
327,327,1,water
328,328,1,water
329,329,2,land
330,330,2,land
331,331,2,land
332,332,2,land
333,333,2,land
334,334,2,land
335,335,0,border
336,336,0,border
337,337,1,water
338,338,1,water
339,339,1,water
340,340,1,water
341,341,1,water
342,342,1,water
343,343,1,water
344,344,1,water
345,345,1,water
346,346,1,water
347,347,1,water
348,348,1,water
349,349,1,water
350,350,1,water
351,351,2,land
352,352,2,land
353,353,2,land
354,354,2,land
355,355,2,land
356,356,2,land
357,357,2,land
358,358,2,land
359,359,0,border
360,360,0,border
361,361,1,water
362,362,1,water
363,363,1,water
364,364,1,water
365,365,1,water
366,366,1,water
367,367,1,water
368,368,1,water
369,369,1,water
370,370,1,water
371,371,1,water
372,372,1,water
373,373,1,water
374,374,1,water
375,375,2,land
376,376,2,land
377,377,2,land
378,378,2,land
379,379,2,land
380,380,2,land
381,381,2,land
382,382,2,land
383,383,0,border
384,384,0,border
385,385,1,water
386,386,1,water
387,387,1,water
388,388,1,water
389,389,1,water
390,390,1,water
391,391,1,water
392,392,1,water
393,393,1,water
394,394,1,water
395,395,1,water
396,396,1,water
397,397,1,water
398,398,2,land
399,399,2,land
400,400,2,land
401,401,2,land
402,402,2,land
403,403,2,land
404,404,2,land
405,405,2,land
406,406,2,land
407,407,0,border
408,408,0,border
409,409,1,water
410,410,1,water
411,411,1,water
412,412,1,water
413,413,1,water
414,414,1,water
415,415,1,water
416,416,1,water
417,417,1,water
418,418,1,water
419,419,1,water
420,420,1,water
421,421,1,water
422,422,2,land
423,423,2,land
424,424,1,water
425,425,1,water
426,426,1,water
427,427,1,water
428,428,1,water
429,429,1,water
430,430,1,water
431,431,0,border
432,432,0,border
433,433,1,water
434,434,1,water
435,435,1,water
436,436,1,water
437,437,1,water
438,438,1,water
439,439,1,water
440,440,1,water
441,441,1,water
442,442,1,water
443,443,1,water
444,444,1,water
445,445,2,land
446,446,2,land
447,447,2,land
448,448,1,water
449,449,1,water
450,450,1,water
451,451,1,water
452,452,1,water
453,453,1,water
454,454,1,water
455,455,0,border
456,456,0,border
457,457,1,water
458,458,2,land
459,459,2,land
460,460,1,water
461,461,1,water
462,462,1,water
463,463,1,water
464,464,1,water
465,465,1,water
466,466,1,water
467,467,1,water
468,468,1,water
469,469,2,land
470,470,2,land
471,471,2,land
472,472,1,water
473,473,1,water
474,474,1,water
475,475,1,water
476,476,1,water
477,477,1,water
478,478,1,water
479,479,0,border
480,480,0,border
481,481,2,land
482,482,2,land
483,483,2,land
484,484,2,land
485,485,2,land
486,486,1,water
487,487,1,water
488,488,1,water
489,489,1,water
490,490,1,water
491,491,1,water
492,492,1,water
493,493,2,land
494,494,2,land
495,495,2,land
496,496,1,water
497,497,1,water
498,498,1,water
499,499,1,water
500,500,1,water
501,501,1,water
502,502,1,water
503,503,0,border
504,504,0,border
505,505,2,land
506,506,2,land
507,507,2,land
508,508,2,land
509,509,2,land
510,510,2,land
511,511,2,land
512,512,1,water
513,513,1,water
514,514,1,water
515,515,1,water
516,516,1,water
517,517,1,water
518,518,2,land
519,519,2,land
520,520,1,water
521,521,1,water
522,522,1,water
523,523,1,water
524,524,1,water
525,525,1,water
526,526,1,water
527,527,0,border
528,528,0,border
529,529,2,land
530,530,2,land
531,531,2,land
532,532,2,land
533,533,2,land
534,534,2,land
535,535,2,land
536,536,1,water
537,537,1,water
538,538,1,water
539,539,1,water
540,540,2,land
541,541,2,land
542,542,2,land
543,543,2,land
544,544,1,water
545,545,1,water
546,546,1,water
547,547,1,water
548,548,1,water
549,549,1,water
550,550,1,water
551,551,0,border
552,552,0,border
553,553,0,border
554,554,0,border
555,555,0,border
556,556,0,border
557,557,0,border
558,558,0,border
559,559,0,border
560,560,0,border
561,561,0,border
562,562,0,border
563,563,0,border
564,564,0,border
565,565,0,border
566,566,0,border
567,567,0,border
568,568,0,border
569,569,0,border
570,570,0,border
571,571,0,border
572,572,0,border
573,573,0,border
574,574,0,border
575,575,0,border
