,ids,precipitations,Precipitation
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,2.0000000233721914e-07,0.0
7,7,5.000000058430373e-07,1e-06
8,8,1.4000000234659409e-06,1e-06
9,9,4.100000012385805e-06,4e-06
10,10,5.299999997987301e-06,5e-06
11,11,3.500000019584892e-06,4e-06
12,12,4.900000050156157e-06,5e-06
13,13,5.999999984851075e-06,6e-06
14,14,4.599999897436441e-06,5e-06
15,15,8.899999954792069e-06,9e-06
16,16,1.5200000007097923e-05,1.5e-05
17,17,1.3899999999011208e-05,1.4e-05
18,18,7.999999922957955e-06,8e-06
19,19,3.5999999568046628e-06,4e-06
20,20,9.000000318338038e-07,1e-06
21,21,0.0,0.0
22,22,0.0,0.0
23,23,1.000000011686204e-07,0.0
24,24,1.0000000330024193e-06,1e-06
25,25,9.000000318338102e-07,1e-06
26,26,0.0,0.0
27,27,4.9400001444155825e-05,4.9e-05
28,28,0.000189499998668912,0.000189
29,29,0.00019479999718897135,0.000195
30,30,7.900000036898056e-05,7.9e-05
31,31,0.00010040000142907967,0.0001
32,32,0.00010630000133460336,0.000106
33,33,4.5700000100627344e-05,4.6e-05
34,34,1.5499999790337767e-05,1.5e-05
35,35,0.0,0.0
36,36,0.0,0.0
37,37,0.0,0.0
38,38,2.0000000233719675e-07,0.0
39,39,2.9999999497930505e-06,3e-06
40,40,9.999999974752246e-06,1e-05
41,41,9.800000043469525e-06,1e-05
42,42,2.700000017341756e-06,3e-06
43,43,4.000000117798422e-07,0.0
44,44,5.000000129484207e-07,1e-06
45,45,4.000000046744162e-07,0.0
46,46,3.0000000350584204e-07,0.0
47,47,1.0000000116862253e-07,0.0
48,48,0.0,0.0
49,49,0.0,0.0
50,50,0.0,0.0
51,51,0.0,0.0
52,52,0.0,0.0
53,53,0.0,0.0
54,54,0.0,0.0
55,55,0.0,0.0
56,56,0.0,0.0
57,57,0.0,0.0
58,58,0.0,0.0
59,59,0.0,0.0
60,60,0.0,0.0
61,61,0.0,0.0
62,62,0.0,0.0
63,63,0.0,0.0
64,64,0.0,0.0
65,65,0.0,0.0
66,66,1.0000000116859837e-07,0.0
67,67,6.000000070116129e-07,1e-06
68,68,5.000000058430146e-07,1e-06
69,69,9.000000034120489e-07,1e-06
70,70,1.6000000186977332e-06,2e-06
71,71,7.000000152856841e-07,1e-06
72,72,0.0,0.0
73,73,0.0,0.0
74,74,0.0,0.0
75,75,0.0,0.0
76,76,0.0,0.0
77,77,0.0,0.0
78,78,1.000000011685982e-07,0.0
79,79,3.000000035058178e-07,0.0
80,80,1.3000000222973654e-06,1e-06
81,81,3.7000000361331445e-06,4e-06
82,82,3.4000000397326893e-06,3e-06
83,83,1.5000000388453717e-06,2e-06
84,84,1.6000000258030915e-06,2e-06
85,85,1.400000009254974e-06,1e-06
86,86,2.1999999830767778e-06,2e-06
87,87,5.600000008598564e-06,6e-06
88,88,6.6999999717149765e-06,7e-06
89,89,4.299999943668433e-06,4e-06
90,90,2.199999997287614e-06,2e-06
91,91,2.1000000316462205e-06,2e-06
92,92,1.400000030571414e-06,1e-06
93,93,0.0,0.0
94,94,0.0,0.0
95,95,1.0000000116859766e-07,0.0
96,96,7.000000223910398e-07,1e-06
97,97,6.000000212224492e-07,1e-06
98,98,2.10000007427902e-06,2e-06
99,99,6.730000177412952e-05,6.7e-05
100,100,0.00022139999782666317,0.000221
101,101,0.0002026999954978204,0.000203
102,102,7.169999980760356e-05,7.2e-05
103,103,5.7600001127861365e-05,5.8e-05
104,104,8.840000145937397e-05,8.8e-05
105,105,7.280000056653012e-05,7.3e-05
106,106,1.7099999809032182e-05,1.7e-05
107,107,3.000000106112907e-07,0.0
108,108,0.0,0.0
109,109,0.0,0.0
110,110,1.0000000116862111e-07,0.0
111,111,1.1999999998123713e-06,1e-06
112,112,4.800000034776576e-06,5e-06
113,113,7.900000071003627e-06,8e-06
114,114,4.6000000466506886e-06,5e-06
115,115,4.000000117798919e-07,0.0
116,116,0.0,0.0
117,117,5.000000058430757e-07,1e-06
118,118,7.000000081803065e-07,1e-06
119,119,2.0000000233722232e-07,0.0
120,120,0.0,0.0
121,121,0.0,0.0
122,122,0.0,0.0
123,123,0.0,0.0
124,124,0.0,0.0
125,125,0.0,0.0
126,126,0.0,0.0
127,127,0.0,0.0
128,128,0.0,0.0
129,129,0.0,0.0
130,130,0.0,0.0
131,131,0.0,0.0
132,132,0.0,0.0
133,133,0.0,0.0
134,134,0.0,0.0
135,135,0.0,0.0
136,136,0.0,0.0
137,137,0.0,0.0
138,138,0.0,0.0
139,139,1.0000000116859837e-07,0.0
140,140,4.0000001177988904e-07,0.0
141,141,1.0000000258969748e-06,1e-06
142,142,1.0000000258969066e-06,1e-06
143,143,3.000000106112225e-07,0.0
144,144,0.0,0.0
145,145,0.0,0.0
146,146,0.0,0.0
147,147,0.0,0.0
148,148,0.0,0.0
149,149,0.0,0.0
150,150,0.0,0.0
151,151,2.000000023372193e-07,0.0
152,152,1.1000000341709551e-06,1e-06
153,153,2.700000038657765e-06,3e-06
154,154,2.3000000197725192e-06,2e-06
155,155,8.000000235597106e-07,1e-06
156,156,4.0000001177982154e-07,0.0
157,157,3.0000000350584024e-07,0.0
158,158,2.099999974802864e-06,2e-06
159,159,4.599999954280109e-06,5e-06
160,160,2.799999982983104e-06,3e-06
161,161,5.999999999061856e-07,1e-06
162,162,9.000000034120035e-07,1e-06
163,163,1.2000000140232259e-06,1e-06
164,164,8.00000009348787e-07,1e-06
165,165,0.0,0.0
166,166,0.0,0.0
167,167,0.0,0.0
168,168,1.000000011686204e-07,0.0
169,169,8.79999985414864e-06,9e-06
170,170,5.970000120215136e-05,6e-05
171,171,0.0001533000054223603,0.000153
172,172,0.00024110000595101538,0.000241
173,173,0.0001897000038297879,0.00019
174,174,5.780000196864575e-05,5.8e-05
175,175,1.3099999932819733e-05,1.3e-05
176,176,7.150000237743446e-05,7.2e-05
177,177,6.690000247999707e-05,6.7e-05
178,178,2.300000033983349e-06,2e-06
179,179,7.00000015285707e-07,1e-06
180,180,0.0,0.0
181,181,0.0,0.0
182,182,3.000000035058406e-07,0.0
183,183,7.000000152857296e-07,1e-06
184,184,9.000000105174536e-07,1e-06
185,185,3.899999967415886e-06,4e-06
186,186,4.099999983964029e-06,4e-06
187,187,7.000000152857119e-07,1e-06
188,188,0.0,0.0
189,189,5.000000058430075e-07,1e-06
190,190,8.00000009348858e-07,1e-06
191,191,3.0000000350584484e-07,0.0
192,192,0.0,0.0
193,193,0.0,0.0
194,194,0.0,0.0
195,195,0.0,0.0
196,196,0.0,0.0
197,197,0.0,0.0
198,198,0.0,0.0
199,199,0.0,0.0
200,200,0.0,0.0
201,201,0.0,0.0
202,202,0.0,0.0
203,203,0.0,0.0
204,204,0.0,0.0
205,205,0.0,0.0
206,206,0.0,0.0
207,207,0.0,0.0
208,208,0.0,0.0
209,209,0.0,0.0
210,210,0.0,0.0
211,211,0.0,0.0
212,212,3.000000106112225e-07,0.0
213,213,6.00000021222445e-07,1e-06
214,214,3.000000106112225e-07,0.0
215,215,0.0,0.0
216,216,0.0,0.0
217,217,0.0,0.0
218,218,0.0,0.0
219,219,0.0,0.0
220,220,0.0,0.0
221,221,0.0,0.0
222,222,0.0,0.0
223,223,1.0000000116859828e-07,0.0
