,ids,Wave Height,height,text
0,0,1.7967572212219238,1.8,Wave Height: 1.8
1,1,1.742663860321045,1.74,Wave Height: 1.74
2,2,1.6914376020431519,1.69,Wave Height: 1.69
3,3,1.6301628351211548,1.63,Wave Height: 1.63
4,4,1.5929100513458252,1.59,Wave Height: 1.59
5,5,1.612729549407959,1.61,Wave Height: 1.61
6,6,2.340710163116455,2.34,Wave Height: 2.34
7,7,3.196305513381958,3.2,Wave Height: 3.2
8,8,3.242375373840332,3.24,Wave Height: 3.24
9,9,3.2280502319335938,3.23,Wave Height: 3.23
10,10,3.2753586769104004,3.28,Wave Height: 3.28
11,11,3.216546058654785,3.22,Wave Height: 3.22
12,12,3.107835054397583,3.11,Wave Height: 3.11
13,13,3.2084407806396484,3.21,Wave Height: 3.21
14,14,3.0020368099212646,3.0,Wave Height: 3.0
15,15,2.6277666091918945,2.63,Wave Height: 2.63
16,16,2.2822041511535645,2.28,Wave Height: 2.28
17,17,3.8160815238952637,3.82,Wave Height: 3.82
18,18,4.0608720779418945,4.06,Wave Height: 4.06
19,19,3.6646945476531982,3.66,Wave Height: 3.66
20,20,2.504459857940674,2.5,Wave Height: 2.5
21,21,1.0179755687713623,1.02,Wave Height: 1.02
22,22,0.7577651739120483,0.76,Wave Height: 0.76
23,23,0.0,0.0,Wave Height: 0.0
24,24,1.786054253578186,1.79,Wave Height: 1.79
25,25,1.7292773723602295,1.73,Wave Height: 1.73
26,26,1.6770321130752563,1.68,Wave Height: 1.68
27,27,1.6201783418655396,1.62,Wave Height: 1.62
28,28,1.576400637626648,1.58,Wave Height: 1.58
29,29,1.5976357460021973,1.6,Wave Height: 1.6
30,30,2.2099196910858154,2.21,Wave Height: 2.21
31,31,3.1363415718078613,3.14,Wave Height: 3.14
32,32,3.1796715259552,3.18,Wave Height: 3.18
33,33,3.187757730484009,3.19,Wave Height: 3.19
34,34,3.2284066677093506,3.23,Wave Height: 3.23
35,35,3.2260901927948,3.23,Wave Height: 3.23
36,36,3.2407453060150146,3.24,Wave Height: 3.24
37,37,3.1260910034179688,3.13,Wave Height: 3.13
38,38,3.185192584991455,3.19,Wave Height: 3.19
39,39,3.2231156826019287,3.22,Wave Height: 3.22
40,40,2.0456202030181885,2.05,Wave Height: 2.05
41,41,3.3499295711517334,3.35,Wave Height: 3.35
42,42,3.7513608932495117,3.75,Wave Height: 3.75
43,43,3.590773582458496,3.59,Wave Height: 3.59
44,44,2.925644874572754,2.93,Wave Height: 2.93
45,45,1.4119490385055542,1.41,Wave Height: 1.41
46,46,0.0,0.0,Wave Height: 0.0
47,47,0.0,0.0,Wave Height: 0.0
48,48,1.786054253578186,1.79,Wave Height: 1.79
49,49,1.7211006879806519,1.72,Wave Height: 1.72
50,50,1.6590402126312256,1.66,Wave Height: 1.66
51,51,1.6101349592208862,1.61,Wave Height: 1.61
52,52,1.5600653886795044,1.56,Wave Height: 1.56
53,53,1.5657391548156738,1.57,Wave Height: 1.57
54,54,1.8876692056655884,1.89,Wave Height: 1.89
55,55,3.062509298324585,3.06,Wave Height: 3.06
56,56,3.106065034866333,3.11,Wave Height: 3.11
57,57,3.139254093170166,3.14,Wave Height: 3.14
58,58,3.194655656814575,3.19,Wave Height: 3.19
59,59,3.1378042697906494,3.14,Wave Height: 3.14
60,60,3.1929194927215576,3.19,Wave Height: 3.19
61,61,3.069052219390869,3.07,Wave Height: 3.07
62,62,3.1778810024261475,3.18,Wave Height: 3.18
63,63,3.1710662841796875,3.17,Wave Height: 3.17
64,64,3.0903916358947754,3.09,Wave Height: 3.09
65,65,3.1051721572875977,3.11,Wave Height: 3.11
66,66,3.3006837368011475,3.3,Wave Height: 3.3
67,67,3.134429931640625,3.13,Wave Height: 3.13
68,68,2.75777006149292,2.76,Wave Height: 2.76
69,69,1.3358030319213867,1.34,Wave Height: 1.34
70,70,0.0,0.0,Wave Height: 0.0
71,71,0.0,0.0,Wave Height: 0.0
72,72,1.7820334434509277,1.78,Wave Height: 1.78
73,73,1.7123055458068848,1.71,Wave Height: 1.71
74,74,1.6510484218597412,1.65,Wave Height: 1.65
75,75,1.6001458168029785,1.6,Wave Height: 1.6
