,ids,waves,height,text
0,0,35.98937439918525,35.99,Wave Height: 35.99
1,1,38.46312403678892,38.46,Wave Height: 38.46
2,2,39.67687392234797,39.68,Wave Height: 39.68
3,3,39.630624055862405,39.63,Wave Height: 39.63
4,4,39.25374889373775,39.25,Wave Height: 39.25
5,5,38.54624843597404,38.55,Wave Height: 38.55
6,6,38.03187370300284,38.03,Wave Height: 38.03
7,7,37.71062469482414,37.71,Wave Height: 37.71
8,8,37.69874954223625,37.7,Wave Height: 37.7
9,9,37.996248245239165,38.0,Wave Height: 38.0
10,10,38.013123273849395,38.01,Wave Height: 38.01
11,11,37.74937462806696,37.75,Wave Height: 37.75
12,12,37.64625000953672,37.65,Wave Height: 37.65
13,13,37.70374941825866,37.7,Wave Height: 37.7
14,14,37.94437432289122,37.94,Wave Height: 37.94
15,15,38.3681247234344,38.37,Wave Height: 38.37
16,16,38.71187448501582,38.71,Wave Height: 38.71
17,17,38.97562360763547,38.98,Wave Height: 38.98
18,18,39.259373426437364,39.26,Wave Height: 39.26
19,19,39.56312394142152,39.56,Wave Height: 39.56
20,20,40.11249899864198,40.11,Wave Height: 40.11
21,21,40.907498598098734,40.91,Wave Height: 40.91
22,22,41.11999869346616,41.12,Wave Height: 41.12
23,23,40.749999284744234,40.75,Wave Height: 40.75
24,24,40.04499983787535,40.04,Wave Height: 40.04
25,25,39.005000352859504,39.01,Wave Height: 39.01
26,26,37.966875314712546,37.97,Wave Height: 37.97
27,27,36.930624723434484,36.93,Wave Height: 36.93
28,28,36.354999542236364,36.35,Wave Height: 36.35
29,29,36.23999977111819,36.24,Wave Height: 36.24
30,30,36.97874975204469,36.98,Wave Height: 36.98
31,31,38.57124948501586,38.57,Wave Height: 38.57
32,32,40.86562442779539,40.87,Wave Height: 40.87
33,33,43.861874580383265,43.86,Wave Height: 43.86
34,34,45.44312453269954,45.44,Wave Height: 45.44
35,35,45.60937428474422,45.61,Wave Height: 45.61
36,36,46.308748722076395,46.31,Wave Height: 46.31
37,37,47.54124784469606,47.54,Wave Height: 47.54
38,38,49.943747520446806,49.94,Wave Height: 49.94
39,39,53.516247749328656,53.52,Wave Height: 53.52
40,40,55.03124785423282,55.03,Wave Height: 55.03
41,41,54.4887478351593,54.49,Wave Height: 54.49
42,42,52.89749813079833,52.9,Wave Height: 52.9
43,43,50.25749874114989,50.26,Wave Height: 50.26
44,44,46.94437432289125,46.94,Wave Height: 46.94
45,45,42.95812487602238,42.96,Wave Height: 42.96
46,46,38.02249991893776,38.02,Wave Height: 38.02
47,47,32.137499451637346,32.14,Wave Height: 32.14
48,48,28.688124179840123,28.69,Wave Height: 28.69
49,49,27.674374103546164,27.67,Wave Height: 27.67
50,50,26.961874008178718,26.96,Wave Height: 26.96
51,51,26.550623893737793,26.55,Wave Height: 26.55
52,52,26.274374008178714,26.27,Wave Height: 26.27
53,53,26.133124351501472,26.13,Wave Height: 26.13
54,54,26.021874547004703,26.02,Wave Height: 26.02
55,55,25.94062459468842,25.94,Wave Height: 25.94
56,56,25.81312465667725,25.81,Wave Height: 25.81
57,57,25.63937473297119,25.64,Wave Height: 25.64
58,58,25.268124699592576,25.27,Wave Height: 25.27
59,59,24.6993745565414,24.7,Wave Height: 24.7
60,60,22.0124995708464,22.01,Wave Height: 22.01
61,61,17.20749974250753,17.21,Wave Height: 17.21
62,62,11.103749871253585,11.1,Wave Height: 11.1
63,63,3.7012499570845288,3.7,Wave Height: 3.7
64,64,0.0,0.0,Wave Height: 0.0
65,65,0.0,0.0,Wave Height: 0.0
66,66,0.0,0.0,Wave Height: 0.0
67,67,0.0,0.0,Wave Height: 0.0
68,68,0.0,0.0,Wave Height: 0.0
69,69,0.0,0.0,Wave Height: 0.0
70,70,0.0,0.0,Wave Height: 0.0
71,71,0.0,0.0,Wave Height: 0.0
72,72,37.17312502861029,37.17,Wave Height: 37.17
73,73,38.20437455177306,38.2,Wave Height: 38.2
74,74,38.880624055862384,38.88,Wave Height: 38.88
75,75,39.201873540878275,39.2,Wave Height: 39.2
76,76,38.636248588561976,38.64,Wave Height: 38.64
77,77,37.183749198913496,37.18,Wave Height: 37.18
78,78,36.42562484741202,36.43,Wave Height: 36.43
79,79,36.36187553405754,36.36,Wave Height: 36.36
80,80,36.32625007629387,36.33,Wave Height: 36.33
81,81,36.318748474120994,36.32,Wave Height: 36.32
82,82,36.48437333106986,36.48,Wave Height: 36.48
83,83,36.823124647140446,36.82,Wave Height: 36.82
84,84,37.1887500286102,37.19,Wave Height: 37.19
85,85,37.58124947547911,37.58,Wave Height: 37.58
86,86,37.72312426567076,37.72,Wave Height: 37.72
87,87,37.61437439918514,37.61,Wave Height: 37.61
88,88,37.87062406539912,37.87,Wave Height: 37.87
89,89,38.491873264312716,38.49,Wave Height: 38.49
90,90,39.158123254776,39.16,Wave Height: 39.16
91,91,39.869374036788955,39.87,Wave Height: 39.87
92,92,40.31249928474428,40.31,Wave Height: 40.31
93,93,40.48749899864195,40.49,Wave Height: 40.49
94,94,40.47999882698056,40.48,Wave Height: 40.48
95,95,40.2899987697601,40.29,Wave Height: 40.29
96,96,39.82999920845031,39.83,Wave Height: 39.83
97,97,39.10000014305116,39.1,Wave Height: 39.1
98,98,38.280625104904196,38.28,Wave Height: 38.28
99,99,37.37187409400943,37.37,Wave Height: 37.37
100,100,36.85999870300296,36.86,Wave Height: 36.86
101,101,36.744998931884794,36.74,Wave Height: 36.74
102,102,37.291248798370376,37.29,Wave Height: 37.29
103,103,38.49874830245971,38.5,Wave Height: 38.5
104,104,40.4368734359741,40.44,Wave Height: 40.44
105,105,43.10562419891353,43.11,Wave Height: 43.11
106,106,44.58437466621394,44.58,Wave Height: 44.58
107,107,44.873124837875324,44.87,Wave Height: 44.87
108,108,45.94124937057493,45.94,Wave Height: 45.94
109,109,47.78874826431276,47.79,Wave Height: 47.79
110,110,50.56124782562259,50.56,Wave Height: 50.56
111,111,54.25874805450444,54.26,Wave Height: 54.26
112,112,55.5987484455109,55.6,Wave Height: 55.6
113,113,54.58124899864197,54.58,Wave Height: 54.58
114,114,52.61749935150145,52.62,Wave Height: 52.62
115,115,49.70749950408934,49.71,Wave Height: 49.71
116,116,46.57312464714051,46.57,Wave Height: 46.57
117,117,43.21437478065495,43.21,Wave Height: 43.21
118,118,38.61249983310707,38.61,Wave Height: 38.61
119,119,32.767499804496836,32.77,Wave Height: 32.77
120,120,29.19437456130985,29.19,Wave Height: 29.19
121,121,27.893124103546164,27.89,Wave Height: 27.89
122,122,27.01562404632569,27.02,Wave Height: 27.02
123,123,26.561874389648445,26.56,Wave Height: 26.56
124,124,26.30812454223633,26.31,Wave Height: 26.31
125,125,26.254374504089363,26.25,Wave Height: 26.25
126,126,26.145624518394477,26.15,Wave Height: 26.15
127,127,25.981874585151676,25.98,Wave Height: 25.98
128,128,25.7993745803833,25.8,Wave Height: 25.8
129,129,25.598124504089355,25.6,Wave Height: 25.6
130,130,24.94437444210051,24.94,Wave Height: 24.94
131,131,23.838124394416766,23.84,Wave Height: 23.84
132,132,18.697499513625978,18.7,Wave Height: 18.7
133,133,9.522499799728022,9.52,Wave Height: 9.52
134,134,3.701249957084248,3.7,Wave Height: 3.7
135,135,1.2337499856947494,1.23,Wave Height: 1.23
136,136,0.0,0.0,Wave Height: 0.0
137,137,0.0,0.0,Wave Height: 0.0
138,138,0.0,0.0,Wave Height: 0.0
139,139,0.0,0.0,Wave Height: 0.0
140,140,0.0,0.0,Wave Height: 0.0
141,141,0.0,0.0,Wave Height: 0.0
142,142,0.0,0.0,Wave Height: 0.0
143,143,0.0,0.0,Wave Height: 0.0
144,144,37.55437493324278,37.55,Wave Height: 37.55
145,145,37.15312457084645,37.15,Wave Height: 37.15
146,146,37.17249917983994,37.17,Wave Height: 37.17
147,147,37.61249876022323,37.61,Wave Height: 37.61
148,148,37.1268739700316,37.13,Wave Height: 37.13
149,149,35.715624809265044,35.72,Wave Height: 35.72
150,150,35.128125429153386,35.13,Wave Height: 35.13
151,151,35.36437582969662,35.36,Wave Height: 35.36
152,152,35.59125018119812,35.59,Wave Height: 35.59
153,153,35.80874848365788,35.81,Wave Height: 35.81
154,154,36.05437326431279,36.05,Wave Height: 36.05
155,155,36.32812452316284,36.33,Wave Height: 36.33
156,156,36.7662498950958,36.77,Wave Height: 36.77
157,157,37.36874938011168,37.37,Wave Height: 37.37
158,158,37.73937416076662,37.74,Wave Height: 37.74
159,159,37.87812423706062,37.88,Wave Height: 37.88
160,160,38.199999094009485,38.2,Wave Height: 38.2
161,161,38.70499873161321,38.7,Wave Height: 38.7
162,162,39.42874884605411,39.43,Wave Height: 39.43
163,163,40.371249437332196,40.37,Wave Height: 40.37
164,164,40.76749968528752,40.77,Wave Height: 40.77
