Longitude,Latitude,Type
-120.5318665,26.71648666,No Navigation
-120.2124852,26.68301445,No Navigation
-117.7994798,22.6624988,No Navigation
-117.5998185,25.88497624,No Navigation
-117.5915739,27.19995458,No Navigation
-117.5159333,22.64459006,No Navigation
-117.1390905,25.99483355,No Navigation
-117.1609289,25.46356369,No Navigation
-117.0436854,26.97986753,No Navigation
-116.7274215,25.28806076,No Navigation
-116.6544563,16.27541161,No Navigation
-116.6198019,26.99289633,No Navigation
-116.4636428,26.52425258,No Navigation
-116.3986492,24.81642707,No Navigation
-116.2221336,25.59592511,No Navigation
-116.384031,16.31185478,No Navigation
-116.0786515,27.03484939,No Navigation
-116.0507126,26.21955909,No Navigation
-115.9916779,25.20827907,No Navigation
-115.9287721,24.56542229,No Navigation
-115.8475702,26.65484285,No Navigation
-115.5326648,27.01096043,No Navigation
-115.5477077,26.08797542,No Navigation
-115.5346955,24.36584909,No Navigation
-115.3422433,24.47343968,No Navigation
-115.2520256,26.57113394,No Navigation
-115.1747672,25.66436779,No Navigation
-115.1639797,26.8716915,No Navigation
-114.900858,25.1220153,No Navigation
-114.8668382,24.36842614,No Navigation
-114.7868399,26.01484464,No Navigation
-114.6405287,25.49132019,No Navigation
-114.5576593,23.97005168,No Navigation
-114.3559273,24.71490123,No Navigation
-114.2918893,26.12079702,No Navigation
-114.1731289,25.34596888,No Navigation
-114.1304549,22.45925002,No Navigation
-114.125585,26.93762823,No Navigation
-114.1259433,26.51054328,No Navigation
-114.0882036,24.00915681,No Navigation
-113.9284744,23.49345802,No Navigation
-113.9615285,23.00557411,No Navigation
-113.8149136,24.77096101,No Navigation
-113.7651276,26.13131029,No Navigation
-113.6366691,25.22217191,No Navigation
-113.5997696,22.5965316,No Navigation
-113.6283585,22.00234794,No Navigation
-113.5655137,26.54343906,No Navigation
-113.577071,24.07098338,No Navigation
-113.4191741,23.35642795,No Navigation
-113.4371789,22.83183697,No Navigation
-113.394934,27.08161643,No Navigation
-113.3412281,24.44117384,No Navigation
