Longitude,Latitude,Type
-112.5086359,25.98804298,No Navigation
-112.2402993,24.42575403,No Navigation
-112.0723831,25.42647972,No Navigation
-111.7431358,26.11790304,No Navigation
-111.489145,24.77993838,No Navigation
-111.5506527,23.83965039,No Navigation
-111.3121211,25.43571203,No Navigation
-111.1175658,25.87496665,No Navigation
-110.80661,24.22795462,No Navigation
-110.7789114,23.2953772,No Navigation
-110.722469,25.24351524,No Navigation
-110.14707,22.86705815,No Navigation
-110.1956732,24.07137083,No Navigation
-110.0573893,23.78356981,No Navigation
-109.8335011,26.28021165,No Navigation
-109.3811439,25.50020087,No Navigation
-109.5744932,22.86680679,No Navigation
-109.0552801,25.11611505,No Navigation
-108.7140601,26.11671308,No Navigation
-108.5123961,25.24294474,No Navigation
-108.1214148,24.48521981,No Navigation
-107.9897159,26.11587983,No Navigation
-107.726318,25.42148023,No Navigation
-107.4490571,23.83868745,No Navigation
-107.3970707,24.72700488,No Navigation
-107.2653717,26.11504658,No Navigation
-107.0019738,25.42064698,No Navigation
-106.7917621,23.51770678,No Navigation
-106.6727265,24.72617163,No Navigation
-106.6463867,20.95488313,No Navigation
-106.5410275,26.11421333,No Navigation
-106.2776296,25.41981373,No Navigation
-106.2309863,22.79060628,No Navigation
-106.0800812,24.03368781,No Navigation
-105.9483823,24.72533838,No Navigation
-105.9308224,21.01024875,No Navigation
-105.8166833,26.11338008,No Navigation
-105.6553521,22.26884582,No Navigation
-105.5825519,19.62260642,No Navigation
-105.5532855,25.41898048,No Navigation
-105.5532855,23.33898521,No Navigation
-105.355737,24.03056003,No Navigation
-105.1683193,18.90519337,No Navigation
-105.2240381,24.72450513,No Navigation
-105.2083597,20.92137857,No Navigation
-105.1252639,19.97929474,No Navigation
-105.0923392,26.11254683,No Navigation
-104.9606402,22.64191232,No Navigation
-104.9606402,21.94781572,No Navigation
-104.8289413,25.41814723,No Navigation
-104.8289413,23.33585743,No Navigation
-104.7348706,19.86616763,No Navigation
-104.5749504,23.998112,No Navigation
-104.586338,18.98967016,No Navigation
-104.4996939,24.79652334,No Navigation
-104.4714727,21.22160656,No Navigation
-104.4996939,20.44436556,No Navigation
-104.4009197,26.04283257,No Navigation
-104.2239492,22.62923368,No Navigation
-104.1869089,21.87593851,No Navigation
-104.1667882,18.34846736,No Navigation
-103.9070487,25.24775462,No Navigation
-103.8558324,24.06739553,No Navigation
-103.8997321,23.16652267,No Navigation
-103.8558324,19.90281593,No Navigation
-103.7885196,19.0628115,No Navigation
-103.7226701,24.8111176,No Navigation
-103.7241335,21.30137424,No Navigation
-103.7753497,20.51093425,No Navigation
-103.4543335,22.63229208,No Navigation
-103.4749115,18.39241089,No Navigation
-103.4186651,17.69432464,No Navigation
-103.3802529,26.18267988,No Navigation
-103.1688414,24.02007384,No Navigation
-103.116855,25.27455398,No Navigation
-103.1011766,19.96855304,No Navigation
-103.0227843,18.95285831,No Navigation
-102.9522313,24.54643956,No Navigation
-103.0221964,21.83121765,No Navigation
-103.0641754,21.00544873,No Navigation
-102.9924727,16.80175831,No Navigation
-102.7473663,22.89176505,No Navigation
-102.6961501,18.05318677,No Navigation
-102.6747228,17.41552973,No Navigation
-102.6609741,26.01238069,No Navigation
-102.3966264,23.78084812,No Navigation
-102.366171,20.21905463,No Navigation
-102.3925108,19.2589817,No Navigation
-102.3266613,18.61466734,No Navigation
-102.2810733,24.61693201,No Navigation
-102.2970291,21.62925318,No Navigation
-102.4144606,20.87219198,No Navigation
-102.224894,25.35138273,No Navigation
-102.0632635,22.65406743,No Navigation
-101.960831,17.99712867,No Navigation
-101.9205896,26.08136513,No Navigation
-101.9041272,17.23285607,No Navigation
-101.6934934,23.40559721,No Navigation
-101.6067071,19.98786711,No Navigation
-101.6681666,19.13551834,No Navigation
-101.5723856,24.09848568,No Navigation
-101.5405833,22.0897995,No Navigation
-101.6023172,21.19822886,No Navigation
-101.6963878,20.53783901,No Navigation
-101.5101279,25.41065863,No Navigation
-101.5876839,24.74486082,No Navigation
-101.2584366,22.77787503,No Navigation
-101.2528084,18.48762888,No Navigation
-101.2072203,26.11723979,No Navigation
-101.1648885,17.57204291,No Navigation
-101.1852705,16.76939155,No Navigation
-100.928144,19.56762381,No Navigation
-100.877973,24.03538388,No Navigation
-100.8648031,23.33003529,No Navigation
-100.877973,21.92017389,No Navigation
-100.877973,21.22607728,No Navigation
-100.8648031,20.55491088,No Navigation
-100.8121235,25.23360222,No Navigation
-100.7627364,24.71542934,No Navigation
-100.6145751,22.63691283,No Navigation
-100.5212883,18.50903406,No Navigation
-100.4828761,26.10475859,No Navigation
-100.4828761,17.76661245,No Navigation
-100.54461,16.9017825,No Navigation
-100.1992169,19.91829449,No Navigation
-100.2194783,19.1495694,No Navigation
-100.1371664,24.05939313,No Navigation
