,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,ids,time,Daylight,Daylight2
0,0,0,0,0,0,0,2,2
1,1,1,1,1,1,0,2,2
2,2,2,2,2,2,0,2,2
3,3,3,3,3,3,0,2,2
4,4,4,4,4,4,0,2,2
5,5,5,5,5,5,0,2,2
6,6,6,6,6,6,0,2,2
7,7,7,7,7,7,0,2,2
8,8,8,8,8,8,0,2,2
9,9,9,9,9,9,0,2,2
10,10,10,10,10,10,0,2,2
11,11,11,11,11,11,0,2,2
12,12,12,12,12,12,0,2,2
13,13,13,13,13,13,0,2,2
14,14,14,14,14,14,0,2,2
15,15,15,15,15,15,0,2,2
16,16,16,16,16,16,0,2,2
17,17,17,17,17,17,0,2,2
18,18,18,18,18,18,0,2,2
19,19,19,19,19,19,0,1,2
20,20,20,20,20,20,0,2,2
21,21,21,21,21,21,0,2,2
22,22,22,22,22,22,0,2,2
23,23,23,23,23,23,0,2,2
24,24,24,24,24,24,0,2,2
25,25,25,25,25,25,0,2,2
26,26,26,26,26,26,0,2,2
27,27,27,27,27,27,0,2,2
28,28,28,28,28,28,0,2,2
29,29,29,29,29,29,0,2,2
30,30,30,30,30,30,0,2,2
31,31,31,31,31,31,0,2,2
32,32,32,32,32,32,0,2,2
33,33,33,33,33,33,0,2,2
34,34,34,34,34,34,0,1,2
35,35,35,35,35,35,0,2,2
36,36,36,36,36,36,0,2,2
37,37,37,37,37,37,0,1,2
38,38,38,38,38,38,0,2,2
39,39,39,39,39,39,0,2,2
40,40,40,40,40,40,0,2,2
41,41,41,41,41,41,0,2,2
42,42,42,42,42,42,0,2,2
43,43,43,43,43,43,0,2,2
44,44,44,44,44,44,0,2,2
45,45,45,45,45,45,0,2,2
46,46,46,46,46,46,0,2,2
47,47,47,47,47,47,0,2,2
48,48,48,48,48,48,0,2,2
49,49,49,49,49,49,0,2,2
50,50,50,50,50,50,0,2,2
51,51,51,51,51,51,0,1,2
52,52,52,52,52,52,0,2,2
53,53,53,53,53,53,0,1,2
54,54,54,54,54,54,0,1,2
55,55,55,55,55,55,0,2,2
56,56,56,56,56,56,0,2,2
57,57,57,57,57,57,0,2,2
58,58,58,58,58,58,0,2,2
59,59,59,59,59,59,0,1,2
60,60,60,60,60,60,0,2,2
61,61,61,61,61,61,0,2,2
62,62,62,62,62,62,0,2,2
63,63,63,63,63,63,0,2,2
64,64,64,64,64,64,0,2,2
65,65,65,65,65,65,0,2,2
66,66,66,66,66,66,0,2,2
67,67,67,67,67,67,0,2,2
68,68,68,68,68,68,0,2,2
69,69,69,69,69,69,0,2,2
70,70,70,70,70,70,0,1,2
71,71,71,71,71,71,0,2,2
72,72,72,72,72,72,0,2,2
73,73,73,73,73,73,0,2,2
74,74,74,74,74,74,0,2,2
75,75,75,75,75,75,0,2,2
76,76,76,76,76,76,0,2,2
77,77,77,77,77,77,0,1,2
78,78,78,78,78,78,0,2,2
79,79,79,79,79,79,0,2,2
80,80,80,80,80,80,0,2,2
81,81,81,81,81,81,0,2,2
82,82,82,82,82,82,0,2,2
83,83,83,83,83,83,0,2,2
84,84,84,84,84,84,0,2,2
85,85,85,85,85,85,0,2,2
86,86,86,86,86,86,0,1,2
87,87,87,87,87,87,0,2,2
88,88,88,88,88,88,0,1,2
