Time,Latitude,Longitude
0,10.294087,-75.529585
0.25,10.34423462,-75.61963195
0.5,10.39438224,-75.7096789
0.75,10.44452986,-75.79972586
1,10.49467748,-75.88977281
1.25,10.54482509,-75.97981976
1.5,10.59497271,-76.06986671
1.75,10.64512033,-76.15991367
2,10.69526795,-76.24996062
2.25,10.74541557,-76.34000757
2.5,10.79556319,-76.43005452
2.75,10.84571081,-76.52010148
3,10.89585843,-76.61014843
3.25,10.94600604,-76.70019538
3.5,10.99615366,-76.79024233
3.75,11.04630128,-76.88028929
4,11.0964489,-76.97033624
4.25,11.14659652,-77.06038319
4.5,11.19674414,-77.15043014
4.75,11.24689176,-77.2404771
5,11.29703938,-77.33052405
5.25,11.34718699,-77.420571
5.5,11.39733461,-77.51061795
5.75,11.44748223,-77.60066491
6,11.49762985,-77.69071186
6.25,11.54777747,-77.78075881
6.5,11.59792509,-77.87080576
6.75,11.64807271,-77.96085272
7,11.69822033,-78.05089967
7.25,11.74836795,-78.14094662
7.5,11.79851556,-78.23099357
7.75,11.84866318,-78.32104053
8,11.8988108,-78.41108748
8.25,11.94895842,-78.50113443
8.5,11.99910604,-78.59118138
8.75,12.04925366,-78.68122834
9,12.09940128,-78.77127529
9.25,12.1495489,-78.86132224
9.5,12.19969651,-78.95136919
9.75,12.24984413,-79.04141615
10,12.29999175,-79.1314631
10.25,12.35013937,-79.22151005
10.5,12.40028699,-79.311557
10.75,12.45043461,-79.40160396
11,12.50058223,-79.49165091
11.25,12.55072985,-79.58169786
11.5,12.60087746,-79.67174481
11.75,12.65102508,-79.76179177
12,12.7011727,-79.85183872
12.25,12.75132032,-79.94188567
12.5,12.80146794,-80.03193262
12.75,12.85161556,-80.12197958
13,12.90176318,-80.21202653
13.25,12.9519108,-80.30207348
13.5,13.00205842,-80.39212043
13.75,13.05220603,-80.48216739
14,13.10235365,-80.57221434
14.25,13.15250127,-80.66226129
14.5,13.20264889,-80.75230824
14.75,13.25279651,-80.8423552
15,13.30294413,-80.93240215
15.25,13.35309175,-81.0224491
15.5,13.40323937,-81.11249605
15.75,13.45338698,-81.20254301
16,13.5035346,-81.29258996
16.25,13.55368222,-81.38263691
16.5,13.60382984,-81.47268386
16.75,13.65397746,-81.56273082
17,13.70412508,-81.65277777
17.25,13.7542727,-81.74282472
17.5,13.80442032,-81.83287167
17.75,13.85456793,-81.92291863
18,13.90471555,-82.01296558
18.25,13.95486317,-82.10301253
18.5,14.00501079,-82.19305948
18.75,14.05515841,-82.28310644
19,14.10530603,-82.37315339
19.25,14.15545365,-82.46320034
19.5,14.20560127,-82.55324729
19.75,14.25574889,-82.64329425
20,14.3058965,-82.7333412
20.25,14.35604412,-82.82338815
20.5,14.40619174,-82.9134351
20.75,14.45633936,-83.00348206
21,14.50648698,-83.09352901
21.25,14.5566346,-83.18357596
21.5,14.609011,-83.277625
21.75,14.609011,-83.277625
22,14.609011,-83.277625
22.25,14.609011,-83.277625
22.5,14.609011,-83.277625
22.75,14.609011,-83.277625
23,14.609011,-83.277625
23.25,14.609011,-83.277625
23.5,14.609011,-83.277625
23.75,14.609011,-83.277625
24,14.609011,-83.277625
24.25,14.609011,-83.277625
24.5,14.609011,-83.277625
24.75,14.609011,-83.277625
25,14.609011,-83.277625
25.25,14.609011,-83.277625
25.5,14.609011,-83.277625
25.75,14.609011,-83.277625
26,14.609011,-83.277625
26.25,14.609011,-83.277625
26.5,14.609011,-83.277625
26.75,14.609011,-83.277625
27,14.609011,-83.277625
27.25,14.609011,-83.277625
27.5,14.609011,-83.277625
27.75,14.609011,-83.277625
28,14.609011,-83.277625
28.25,14.609011,-83.277625
28.5,14.609011,-83.277625
28.75,14.609011,-83.277625
29,14.609011,-83.277625
