Time,Latitude,Longitude
0,11.83922379,-91.37852383
0.25,11.81168869,-91.34389534
0.5,11.78415359,-91.30926686
0.75,11.7566185,-91.27463837
1,11.7290834,-91.24000988
1.25,11.7015483,-91.2053814
1.5,11.6740132,-91.17075291
1.75,11.64647811,-91.13612443
2,11.61894301,-91.10149594
2.25,11.59140791,-91.06686746
2.5,11.56387282,-91.03223897
2.75,11.53633772,-90.99761048
3,11.50880262,-90.962982
3.25,11.48126752,-90.92835351
3.5,11.45373243,-90.89372503
3.75,11.42619733,-90.85909654
4,11.39866223,-90.82446805
4.25,11.37112714,-90.78983957
4.5,11.34359204,-90.75521108
4.75,11.31605694,-90.7205826
5,11.28852185,-90.68595411
5.25,11.26098675,-90.65132563
5.5,11.23345165,-90.61669714
5.75,11.20591655,-90.58206865
6,11.17838146,-90.54744017
6.25,11.15084636,-90.51281168
6.5,11.12331126,-90.4781832
6.75,11.09577617,-90.44355471
7,11.06824107,-90.40892623
7.25,11.04070597,-90.37429774
7.5,11.01317087,-90.33966925
7.75,10.98563578,-90.30504077
8,10.95810068,-90.27041228
8.25,10.93056558,-90.2357838
8.5,10.90303049,-90.20115531
8.75,10.87549539,-90.16652683
9,10.84796029,-90.13189834
9.25,10.8204252,-90.09726985
9.5,10.7928901,-90.06264137
9.75,10.765355,-90.02801288
10,10.7378199,-89.9933844
10.25,10.71028481,-89.95875591
10.5,10.68274971,-89.92412743
10.75,10.65521461,-89.88949894
11,10.62767952,-89.85487045
11.25,10.60014442,-89.82024197
11.5,10.57260932,-89.78561348
11.75,10.54507422,-89.750985
12,10.51753913,-89.71635651
12.25,10.49000403,-89.68172802
12.5,10.46246893,-89.64709954
12.75,10.43493384,-89.61247105
13,10.40739874,-89.57784257
13.25,10.37986364,-89.54321408
13.5,10.35232855,-89.5085856
13.75,10.32479345,-89.47395711
14,10.29725835,-89.43932862
14.25,10.26972325,-89.40470014
14.5,10.24218816,-89.37007165
14.75,10.21465306,-89.33544317
15,10.18711796,-89.30081468
15.25,10.15958287,-89.2661862
15.5,10.13204777,-89.23155771
15.75,10.10451267,-89.19692922
16,10.07697757,-89.16230074
16.25,10.04944248,-89.12767225
16.5,10.02190738,-89.09304377
16.75,9.994372283,-89.05841528
17,9.966837186,-89.0237868
17.25,9.939302089,-88.98915831
17.5,9.911766992,-88.95452982
17.75,9.884231895,-88.91990134
18,9.856696798,-88.88527285
18.25,9.829161701,-88.85064437
18.5,9.801626604,-88.81601588
18.75,9.774091507,-88.7813874
19,9.746556409,-88.74675891
19.25,9.719021312,-88.71213042
19.5,9.691486215,-88.67750194
19.75,9.663951118,-88.64287345
20,9.636416021,-88.60824497
20.25,9.608880924,-88.57361648
20.5,9.581345827,-88.538988
20.75,9.55381073,-88.50435951
21,9.526275633,-88.46973102
21.25,9.498740536,-88.43510254
21.5,9.471205439,-88.40047405
21.75,9.443670342,-88.36584557
22,9.416135245,-88.33121708
22.25,9.388600148,-88.29658859
22.5,9.361065051,-88.26196011
22.75,9.333529953,-88.22733162
23,9.305994856,-88.19270314
23.25,9.278459759,-88.15807465
23.5,9.250924662,-88.12344617
23.75,9.223389565,-88.08881768
24,9.195854468,-88.05418919
24.25,9.168319371,-88.01956071
24.5,9.140784274,-87.98493222
24.75,9.113249177,-87.95030374
25,9.08571408,-87.91567525
25.25,9.058178983,-87.88104677
25.5,9.030643886,-87.84641828
25.75,9.003108789,-87.81178979
26,8.975573692,-87.77716131
26.25,8.948038594,-87.74253282
26.5,8.920503497,-87.70790434
26.75,8.8929684,-87.67327585
27,8.865433303,-87.63864737
