,Time,Latitude,Longitude
0,0,12,-90.64
1,0.25,12,-90.54020919
2,0.5,12,-90.44041838
3,0.75,12,-90.34062756
4,1,12,-90.24083675
5,1.25,12,-90.14104594
6,1.5,12,-90.04125513
7,1.75,12,-89.94146432
8,2,13,-89.8416735
9,2.25,13,-89.74188269
10,2.5,13,-89.64209188
11,2.75,13,-89.54230107
12,3,13,-89.44251026
13,3.25,13,-89.34271944
14,3.5,13,-89.24292863
15,3.75,13,-89.14313782
16,4,12,-88.04334701
17,4.25,11,-88.94355619
18,4.5,11,-88.84376538
19,4.75,11,-88.74397457
20,5,11,-88.64418376
21,5.25,11,-88.54439295
22,5.5,11,-88.44460213
23,5.75,12,-88.34481132
24,6,12,-88.24502051
25,6.25,12,-88.1452297
26,6.5,11.99194784,-88.07044477
27,6.75,11.96869826,-88.04285527
28,7,11.94544868,-88.01526576
29,7.25,11.9221991,-87.98767626
30,7.5,11.89894951,-87.96008676
31,7.75,11.87569993,-87.93249725
32,8,11.85245035,-87.90490775
33,8.25,11.82920077,-87.87731825
34,8.5,11.80595119,-87.84972874
35,8.75,11.78270161,-87.82213924
36,9,11.75945202,-87.79454974
37,9.25,11.73620244,-87.76696023
38,9.5,11.71295286,-87.73937073
39,9.75,11.68970328,-87.71178123
40,10,11.6664537,-87.68419172
41,10.25,11.64320412,-87.65660222
42,10.5,11.61995453,-87.62901271
43,10.75,11.59670495,-87.60142321
44,11,11.57345537,-87.57383371
45,11.25,11.55020579,-87.5462442
46,11.5,11.52695621,-87.5186547
47,11.75,11.50370663,-87.4910652
48,12,11.48045704,-87.46347569
49,12.25,11.45720746,-87.43588619
50,12.5,11.43395788,-87.40829669
51,12.75,11.4107083,-87.38070718
52,13,11.38745872,-87.35311768
53,13.25,11.36420914,-87.32552818
54,13.5,11.34095956,-87.29793867
55,13.75,11.31770997,-87.27034917
56,14,11.29446039,-87.24275966
57,14.25,11.27121081,-87.21517016
58,14.5,11.25,-87.19875072
59,14.75,11.25,-87.29854154
60,15,11.25,-87.39833235
61,15.25,11.25,-87.49812316
62,15.5,11.25,-87.59791397
63,15.75,11.25,-87.69770478
64,16,11.25,-87.7974956
65,16.25,11.25,-87.89728641
66,16.5,11.25,-87.99707722
67,16.75,11.25,-88.09686803
68,17,11.25,-88.19665885
69,17.25,11.25,-88.29644966
70,17.5,11.25,-88.39624047
71,17.75,12.25,-88.49603128
72,18,12.25,-88.59582209
73,18.25,12.25,-88.69561291
74,18.5,12.25,-88.79540372
75,18.75,12.25,-88.89519453
76,19,12.25,-88.99498534
77,19.25,12.25,-89.09477616
78,19.5,12.25,-89.19456697
79,19.75,11.25,-88.29435778
80,20,10.25,-89.39414859
81,20.25,10.25,-89.4939394
82,20.5,10.25,-89.59373022
83,20.75,10.25,-89.69352103
