,Unnamed: 0_x,Time,Longitude,Latitude,ids,Unnamed: 0_y,cloud_ceilings,Altitude,sensor1,sensor2,velocity,stationtime,altitude
0,0,0.0,-80.375,12.625,3794,3794,5354.707679748466,5054.71,0.0,45,0,3.5,0.0
1,1,0.25,-80.375,12.625,3794,3794,5354.707679748466,5054.71,0.0,45,0,3.5,0.0
2,2,0.5,-80.375,12.625,3794,3794,5354.707679748466,5054.71,0.0,45,0,3.5,0.0
3,3,0.75,-80.375,12.625,3794,3794,5354.707679748466,5054.71,0.0,45,247,3.5,0.0
4,4,1.0,-80.625,12.125,3720,3720,5628.607681274349,5328.61,166.49024875709688,45,250,3.25,5328.61
5,5,1.25,-81.125,12.625,3578,3578,17294.00781250003,13700.0,266.9574947440135,45,250,3.0,13700.0
6,6,1.5,-80.625,13.625,3726,3726,20000.107421875,13700.0,266.9574947440135,45,250,2.75,13700.0
7,7,1.75,-79.625,13.625,4014,4014,3105.4078292846307,2805.41,120.8036356538991,45,250,2.5,2805.41
8,8,2.0,-79.125,13.125,4156,4156,16529.30749511724,13700.0,266.9574947440135,45,250,2.25,13700.0
9,9,2.25,-78.875,12.375,4225,4225,1438.8078155517442,1138.81,76.96751597394838,45,222,2.0,1138.81
10,10,2.5,-78.875,11.875,4223,4223,509.507766723633,209.51,33.012940783880495,45,250,1.75,209.51
11,11,2.75,-79.375,11.375,4077,4077,5932.407989501991,5632.41,171.17051798484457,45,250,1.5,5632.41
12,12,3.0,-80.125,11.375,3861,3861,8002.007843017487,7702.01,200.16303319844053,45,250,1.25,7702.01
13,13,3.25,-80.875,11.375,3645,3645,615.6077575683598,315.61,40.51885945087793,45,155,1.0,315.61
14,14,3.5,-81.125,11.625,3574,3574,9185.107780456528,8885.11,214.98751454724064,45,247,0.75,8885.11
15,15,3.75,-81.375,12.125,3504,3504,17587.807617187536,13700.0,266.9574947440135,45,247,0.5,13700.0
16,16,4.0,-81.125,12.625,3578,3578,17294.00781250003,13700.0,266.9574947440135,45,217,0.25,13700.0
17,17,4.25,-80.625,12.625,3722,3722,15122.907508850029,13700.0,266.9574947440135,45,243,0.0,13700.0
18,18,4.5,-80.125,12.875,3867,3867,1769.6077575683412,1469.61,0.0,45,0,3.5,0.0
19,19,4.75,-80.125,12.875,3867,3867,1769.6077575683412,1469.61,0.0,45,0,3.5,0.0
20,20,5.0,-80.125,12.875,3867,3867,1769.6077575683412,1469.61,0.0,45,0,3.5,0.0
21,21,5.25,-80.125,12.875,3867,3867,1769.6077575683412,1469.61,0.0,45,111,3.5,0.0
22,22,5.5,-80.125,13.125,3868,3868,6382.7078018188,6082.71,0.0,45,0,3.5,0.0
23,23,5.75,-80.125,13.125,3868,3868,6382.7078018188,6082.71,0.0,45,0,3.5,0.0
24,24,6.0,-80.125,13.125,3868,3868,6382.7078018188,6082.71,0.0,45,108,3.5,0.0
25,25,6.25,-79.875,13.125,3940,3940,1843.807815551757,1543.81,0.0,45,0,3.5,0.0
26,26,6.5,-79.875,13.125,3940,3940,1843.807815551757,1543.81,0.0,45,0,3.5,0.0
27,27,6.75,-79.875,13.125,3940,3940,1843.807815551757,1543.81,0.0,45,0,3.5,0.0
28,28,7.0,-79.875,13.125,3940,3940,1843.807815551757,1543.81,0.0,45,0,3.5,0.0
29,29,7.25,-79.875,13.125,3940,3940,1843.807815551757,1543.81,0.0,45,0,3.5,0.0
30,30,7.5,-79.875,13.125,3940,3940,1843.807815551757,1543.81,0.0,45,0,3.5,0.0
31,31,7.75,-79.875,13.125,3940,3940,1843.807815551757,1543.81,0.0,45,0,3.5,0.0
32,32,8.0,-79.875,13.125,3940,3940,1843.807815551757,1543.81,0.0,45,0,3.5,0.0
33,33,8.25,-79.875,13.125,3940,3940,1843.807815551757,1543.81,0.0,45,0,3.5,0.0
34,34,8.5,-79.875,13.125,3940,3940,1843.807815551757,1543.81,0.0,45,0,3.5,0.0
35,35,8.75,-79.875,13.125,3940,3940,1843.807815551757,1543.81,0.0,45,111,3.5,0.0
36,36,9.0,-79.875,13.375,3941,3941,5641.207717895455,5341.21,0.0,45,0,3.5,0.0
37,37,9.25,-79.875,13.375,3941,3941,5641.207717895455,5341.21,0.0,45,108,3.5,0.0
