Time,Latitude,Longitude,stationtime
0,3.971917436,-80.87403169,3.5
0.25,3.965616452,-80.93071856,3.5
0.5,3.959315468,-80.98740543,3.5
0.75,3.953014483,-81.0440923,3.5
1,3.946713499,-81.10077917,3.5
1.25,3.940412515,-81.15746604,3.5
1.5,3.934111531,-81.2141529,3.5
1.75,3.927810546,-81.27083977,3.5
2,3.921509562,-81.32752664,3.5
2.25,3.915208578,-81.38421351,3.5
2.5,3.908907593,-81.44090038,3.5
2.75,3.902606609,-81.49758725,3.5
3,3.896305625,-81.55427412,3.5
3.25,3.890004641,-81.61096099,3.5
3.5,3.883703656,-81.66764786,3.5
3.75,3.877402672,-81.72433473,3.5
4,3.871101688,-81.7810216,3.5
4.25,3.864800703,-81.83770847,3.5
4.5,3.858499719,-81.89439534,3.5
4.75,3.852198735,-81.95108221,3.5
5,3.845897751,-82.00776908,3.5
5.25,3.839596766,-82.06445595,3.5
5.5,3.833295782,-82.12114282,3.5
5.75,3.826994798,-82.17782969,3.5
6,3.820693813,-82.23451656,3.5
6.25,3.814392829,-82.29120343,3.5
6.5,3.808091845,-82.3478903,3.5
6.75,3.80179086,-82.40457717,3.5
7,3.795489876,-82.46126403,3.5
7.25,3.789188892,-82.5179509,3.5
7.5,3.782887908,-82.57463777,3.5
7.75,4.548112058,-83.04653472,3.25
8,4.98571504,-84.0403393,3
8.25,5.215916969,-85.14970255,2.75
8.5,4.432908128,-86.37462447,2.5
8.75,3.256883411,-86.30528927,2.25
9,2.495162417,-85.40393163,2
9.25,1.84850211,-83.55499288,1.75
9.5,2.079483544,-82.42251789,1.5
9.75,2.979953529,-81.72916586,1.25
10,3.925803705,-81.70605413,1
10.25,4.432908128,-81.68294239,0.75
10.5,5.100826324,-82.16828881,0.5
10.75,5.538057053,-83.2314286,0.25
11,4.801495205,-83.57810461,0
11.25,3.688373143,-83.42494082,3.5
11.5,3.682072159,-83.48162769,3.5
11.75,3.675771175,-83.53831456,3.5
12,3.66947019,-83.59500143,3.5
12.25,3.663169206,-83.6516883,3.5
12.5,3.656868222,-83.70837516,3.5
12.75,3.650567238,-83.76506203,3.5
13,3.644266253,-83.8217489,3.5
13.25,3.637965269,-83.87843577,3.5
13.5,3.631664285,-83.93512264,3.5
13.75,3.6253633,-83.99180951,3.5
14,3.619062316,-84.04849638,3.5
14.25,3.612761332,-84.10518325,3.5
14.5,3.606460347,-84.16187012,3.5
14.75,3.600159363,-84.21855699,3.5
15,3.593858379,-84.27524386,3.5
15.25,3.587557395,-84.33193073,3.5
15.5,3.58125641,-84.3886176,3.5
15.75,3.574955426,-84.44530447,3.5
16,3.568654442,-84.50199134,3.5
16.25,3.562353457,-84.55867821,3.5
16.5,3.556052473,-84.61536508,3.5
16.75,3.549751489,-84.67205195,3.5
17,3.543450505,-84.72873882,3.5
17.25,3.53714952,-84.78542569,3.5
17.5,3.530848536,-84.84211256,3.5
17.75,3.524547552,-84.89879942,3.5
18,3.518246567,-84.95548629,3.5
18.25,3.511945583,-85.01217316,3.5
18.5,3.505644599,-85.06886003,3.5
18.75,3.499343615,-85.1255469,3.5
19,3.49304263,-85.18223377,3.5
19.25,3.486741646,-85.23892064,3.5
19.5,3.480440662,-85.29560751,3.5
19.75,3.474139677,-85.35229438,3.5
20,3.467838693,-85.40898125,3.5
20.25,3.461537709,-85.46566812,3.5
20.5,3.455236725,-85.52235499,3.5
20.75,3.44893574,-85.57904186,3.5
21,3.442634756,-85.63572873,3.5
21.25,3.436333772,-85.6924156,3.5
21.5,3.430032787,-85.74910247,3.5
21.75,3.423731803,-85.80578934,3.5
22,3.417430819,-85.86247621,3.5
22.25,3.411129834,-85.91916308,3.5
22.5,3.40482885,-85.97584995,3.5
22.75,3.398527866,-86.03253682,3.5
23,3.392226882,-86.08922369,3.5
23.25,3.385925897,-86.14591055,3.5
23.5,3.379624913,-86.20259742,3.5
23.75,3.373323929,-86.25928429,3.5
24,3.367022944,-86.31597116,3.5
24.25,3.36072196,-86.37265803,3.5
24.5,3.354420976,-86.4293449,3.5
24.75,3.348119992,-86.48603177,3.5
25,3.341819007,-86.54271864,3.5
25.25,3.335518023,-86.59940551,3.5
25.5,3.329217039,-86.65609238,3.5
25.75,3.322916054,-86.71277925,3.5
26,3.31661507,-86.76946612,3.5
26.25,3.310314086,-86.82615299,3.5
26.5,3.304013102,-86.88283986,3.5
26.75,3.297712117,-86.93952673,3.5
27,3.291411133,-86.9962136,3.5
27.25,3.285110149,-87.05290047,3.5
27.5,3.278809164,-87.10958734,3.5
27.75,3.27250818,-87.16627421,3.5
28,3.266207196,-87.22296108,3.5
28.25,3.259906211,-87.27964795,3.5
28.5,3.253605227,-87.33633481,3.5
28.75,3.247304243,-87.39302168,3.5
29,3.241003259,-87.44970855,3.5
29.25,3.234702274,-87.50639542,3.5
29.5,3.22840129,-87.56308229,3.5
29.75,3.222100306,-87.61976916,3.5
30,3.215799321,-87.67645603,3.5
30.25,3.209498337,-87.7331429,3.5
30.5,3.203197353,-87.78982977,3.5
30.75,3.196896369,-87.84651664,3.5
31,3.190595384,-87.90320351,3.5
31.25,3.211243502,-87.9329804,3.5
31.5,3.23189162,-87.96275729,3.5
31.75,3.252539737,-87.99253418,3.5
32,3.273187855,-88.02231107,3.5
32.25,3.293835973,-88.05208796,3.5
32.5,3.314484091,-88.08186485,3.5
32.75,3.335132208,-88.11164174,3.5
33,3.355780326,-88.14141862,3.5
33.25,3.376428444,-88.17119551,3.5
33.5,3.397076561,-88.2009724,3.5
33.75,3.417724679,-88.23074929,3.5
34,3.438372797,-88.26052618,3.5
34.25,3.459020915,-88.29030307,3.5
34.5,3.479669032,-88.32007996,3.5
34.75,3.50031715,-88.34985685,3.5
35,3.520965268,-88.37963374,3.5
35.25,3.541613386,-88.40941063,3.5
35.5,3.562261503,-88.43918752,3.5
35.75,3.582909621,-88.46896441,3.5
36,3.603557739,-88.4987413,3.5
36.25,3.624205856,-88.52851819,3.5
36.5,3.644853974,-88.55829508,3.5
36.75,3.665502092,-88.58807196,3.5
37,3.68615021,-88.61784885,3.5
37.25,3.706798327,-88.64762574,3.5
37.5,3.727446445,-88.67740263,3.5
37.75,3.748094563,-88.70717952,3.5
38,3.76874268,-88.73695641,3.5
38.25,3.789390798,-88.7667333,3.5
38.5,3.810038916,-88.79651019,3.5
38.75,3.830687034,-88.82628708,3.5
39,3.851335151,-88.85606397,3.5
39.25,3.871983269,-88.88584086,3.5
39.5,3.892631387,-88.91561775,3.5
39.75,3.913279504,-88.94539464,3.5
40,3.933927622,-88.97517153,3.5
40.25,3.95457574,-89.00494842,3.5
40.5,3.975223858,-89.0347253,3.5
40.75,3.995871975,-89.06450219,3.5
41,4.016520093,-89.09427908,3.5
41.25,4.037168211,-89.12405597,3.5
41.5,4.057816328,-89.15383286,3.5
41.75,4.078464446,-89.18360975,3.5
42,4.099112564,-89.21338664,3.5
42.25,4.119760682,-89.24316353,3.5
42.5,4.140408799,-89.27294042,3.5
42.75,4.161056917,-89.30271731,3.5
43,4.181705035,-89.3324942,3.5
43.25,4.202353152,-89.36227109,3.5
43.5,4.22300127,-89.39204798,3.5
43.75,4.243649388,-89.42182487,3.5
44,4.264297506,-89.45160176,3.5
44.25,4.284945623,-89.48137864,3.5
44.5,4.305593741,-89.51115553,3.5
44.75,4.326241859,-89.54093242,3.5
45,4.346889977,-89.57070931,3.5
45.25,4.367538094,-89.6004862,3.5
45.5,4.388186212,-89.63026309,3.5
45.75,4.40883433,-89.66003998,3.5
46,4.429482447,-89.68981687,3.5
46.25,4.450130565,-89.71959376,3.5
46.5,4.470778683,-89.74937065,3.5
46.75,4.491426801,-89.77914754,3.5
47,4.512074918,-89.80892443,3.5
47.25,4.532723036,-89.83870132,3.5
47.5,4.553371154,-89.86847821,3.5
47.75,4.574019271,-89.8982551,3.5
48,4.594667389,-89.92803198,3.5
48.25,4.615315507,-89.95780887,3.5
48.5,4.635963625,-89.98758576,3.5
48.75,4.656611742,-90.01736265,3.5
49,4.67725986,-90.04713954,3.5
49.25,4.697907978,-90.07691643,3.5
49.5,4.718556095,-90.10669332,3.5
49.75,4.739204213,-90.13647021,3.5
50,4.759852331,-90.1662471,3.5
50.25,4.780500449,-90.19602399,3.5
50.5,4.801148566,-90.22580088,3.5
50.75,4.821796684,-90.25557777,3.5
51,4.842444802,-90.28535466,3.5
51.25,4.863092919,-90.31513155,3.5
51.5,4.883741037,-90.34490843,3.5
51.75,4.904389155,-90.37468532,3.5
52,4.925037273,-90.40446221,3.5
52.25,4.94568539,-90.4342391,3.5
52.5,4.966333508,-90.46401599,3.5
52.75,4.986981626,-90.49379288,3.5
53,5.007629744,-90.52356977,3.5
53.25,5.028277861,-90.55334666,3.5
53.5,5.048925979,-90.58312355,3.5
53.75,5.069574097,-90.61290044,3.5
54,5.090222214,-90.64267733,3.5
54.25,5.110870332,-90.67245422,3.5
54.5,5.13151845,-90.70223111,3.5
54.75,5.152166568,-90.732008,3.5
55,5.172814685,-90.76178489,3.5
55.25,5.193462803,-90.79156177,3.5
55.5,5.214110921,-90.82133866,3.5
55.75,5.234759038,-90.85111555,3.5
56,5.255407156,-90.88089244,3.5
56.25,5.276055274,-90.91066933,3.5
56.5,5.296703392,-90.94044622,3.5
56.75,5.317351509,-90.97022311,3.5
57,5.337999627,-91,3.5
