,time,time15,time30,Longitude,Latitude,Velocity,range,rangesize
0,0.0,0.0,0.0,-90.892469,14.668771,815,470,5.0
1,0.0,0.25,0.0,-90.892469,14.668771,815,470,5.0
2,0.0,0.5,0.5,-90.892469,14.668771,815,470,5.0
3,1.0,0.75,1.0,-90.892469,14.668771,815,470,5.0
4,1.0,1.0,1.0,-90.892469,14.668771,815,470,5.0
5,1.0,1.25,1.0,-90.892469,14.668771,815,470,5.0
6,2.0,1.5,1.5,-90.892469,14.668771,815,470,5.0
7,2.0,1.75,2.0,-90.892469,14.668771,815,470,5.0
8,2.0,2.0,2.0,-90.892469,14.668771,815,470,5.0
9,2.0,2.25,2.0,-90.892469,14.668771,815,470,5.0
10,2.0,2.5,2.5,-90.892469,14.668771,815,470,5.0
11,3.0,2.75,3.0,-90.892469,14.668771,815,470,5.0
12,3.0,3.0,3.0,-90.892469,14.668770999999998,815,470,5.0
13,3.0,3.25,3.0,-91.60448333946968,13.581008156200427,815,470,83.92857142857142
14,4.0,3.5,3.5,-91.86201683303165,12.497574384877655,815,470,83.92857142857142
15,4.0,3.75,4.0,-91.54420772778906,11.455257657951417,815,470,83.92857142857142
16,4.0,4.0,4.0,-90.53019427084516,10.490845947341459,815,470,83.92857142857142
17,4.0,4.25,4.0,-88.69923108520496,9.641116072102779,815,470,83.92857142857142
18,4.0,4.5,4.5,-86.85463420949134,8.854287582858076,815,470,83.92857142857142
19,5.0,4.75,5.0,-88.11191837397605,7.87608036722177,815,470,83.92857142857142
20,5.0,5.0,5.0,-89.23897144926512,7.213359702758723,815,470,83.92857142857142
21,5.0,5.25,5.0,-87.53739654770978,6.744347907521387,815,470,83.92857142857142
22,6.0,5.5,5.5,-87.17983758162262,5.031933519109856,815,470,83.92857142857142
23,6.0,5.75,6.0,-88.89730298226752,4.296305391957198,815,470,83.92857142857142
24,6.0,6.0,6.0,-91.26297403417674,4.95233666409358,815,470,83.92857142857142
25,6.0,6.25,6.0,-92.88297066693622,6.542311527845064,815,470,83.92857142857142
26,6.0,6.5,6.5,-93.16351539630575,8.705736774052871,815,470,83.92857142857142
27,7.0,6.75,7.0,-92.49477394164025,11.201680755660279,815,470,83.92857142857142
28,7.0,7.0,7.0,-91.32737824505041,13.79655923755535,815,470,83.92857142857142
29,7.0,7.25,7.0,-90.892469,14.668771,815,470,5.0
30,8.0,7.5,7.5,-90.892469,14.668771,815,470,5.0
31,8.0,7.75,8.0,-90.892469,14.668771,815,470,5.0
32,8.0,8.0,8.0,-90.892469,14.668771,815,470,5.0
33,8.0,8.25,8.0,-90.892469,14.668771,815,470,5.0
34,8.0,8.5,8.5,-90.892469,14.668771,815,470,5.0
35,9.0,8.75,9.0,-90.892469,14.668771,815,470,5.0
36,9.0,9.0,9.0,-90.892469,14.668771,815,470,5.0
37,9.0,9.25,9.0,-90.892469,14.668771,815,470,5.0
38,10.0,9.5,9.5,-90.892469,14.668771,815,470,5.0
39,10.0,9.75,10.0,-90.892469,14.668771,815,470,5.0
40,10.0,10.0,10.0,-90.892469,14.668771,815,470,5.0
41,10.0,10.25,10.0,-90.892469,14.668771,815,470,5.0
42,10.0,10.5,10.5,-90.892469,14.668771,815,470,5.0
43,11.0,10.75,11.0,-90.892469,14.668771,815,470,5.0
44,11.0,11.0,11.0,-90.892469,14.668771,815,470,5.0
45,11.0,11.25,11.0,-90.892469,14.668771,815,470,5.0
46,12.0,11.5,11.5,-90.892469,14.668771,815,470,5.0
47,12.0,11.75,12.0,-90.892469,14.668771,815,470,5.0
48,12.0,12.0,12.0,-90.892469,14.668771,815,470,5.0
49,12.0,12.25,12.0,-90.892469,14.668771,815,470,5.0
50,12.0,12.5,12.5,-90.892469,14.668771,815,470,5.0
51,13.0,12.75,13.0,-90.892469,14.668771,815,470,5.0
52,13.0,13.0,13.0,-90.892469,14.668771,815,470,5.0
53,13.0,13.25,13.0,-90.892469,14.668771,815,470,5.0
54,14.0,13.5,13.5,-90.892469,14.668771,815,470,5.0
55,14.0,13.75,14.0,-90.892469,14.668771,815,470,5.0
56,14.0,14.0,14.0,-90.892469,14.668771,815,470,5.0
57,14.0,14.25,14.0,-90.892469,14.668771,815,470,5.0
58,14.0,14.5,14.5,-90.892469,14.668771,815,470,5.0
59,15.0,14.75,15.0,-90.892469,14.668771,815,470,5.0
60,15.0,15.0,15.0,-90.892469,14.668771,815,470,5.0
61,15.0,15.25,15.0,-90.892469,14.668771,815,470,5.0
62,16.0,15.5,15.5,-90.892469,14.668771,815,470,5.0
63,16.0,15.75,16.0,-90.892469,14.668771,815,470,5.0
64,16.0,16.0,16.0,-90.892469,14.668771,815,470,5.0
65,16.0,16.25,16.0,-90.892469,14.668771,815,470,5.0
66,16.0,16.5,16.5,-90.892469,14.668771,815,470,5.0
67,17.0,16.75,17.0,-90.892469,14.668771,815,470,5.0
68,17.0,17.0,17.0,-90.892469,14.668771,815,470,5.0
69,17.0,17.25,17.0,-90.892469,14.668771,815,470,5.0
70,18.0,17.5,17.5,-90.892469,14.668771,815,470,5.0
71,18.0,17.75,18.0,-90.892469,14.668771,815,470,5.0
72,18.0,18.0,18.0,-90.892469,14.668771,815,470,5.0
73,18.0,18.25,18.0,-90.892469,14.668771,815,470,5.0
74,18.0,18.5,18.5,-90.892469,14.668771,815,470,5.0
75,19.0,18.75,19.0,-90.892469,14.668771,815,470,5.0
76,19.0,19.0,19.0,-90.892469,14.668771,815,470,5.0
77,19.0,19.25,19.0,-90.892469,14.668771,815,470,5.0
78,20.0,19.5,19.5,-90.892469,14.668771,815,470,5.0
79,20.0,19.75,20.0,-90.892469,14.668771,815,470,5.0
80,20.0,20.0,20.0,-90.892469,14.668770999999998,815,470,5.0
81,20.0,20.25,20.0,-91.14894053113743,13.958040970847366,815,470,83.92857142857142
82,20.0,20.5,20.5,-91.32961253270147,12.938221825584822,815,470,83.92857142857142
83,21.0,20.75,21.0,-91.16311079817558,11.770674367457099,815,470,83.92857142857142
