,time,time15,time30,Latitude,Longitude
0,0.0,0.0,0.0,13.53,-82.81
1,0.0,0.25,0.0,12.756009737718387,-81.83146401416118
2,0.0,0.5,0.5,11.854011128821014,-81.00042315904133
3,1.0,0.75,1.0,10.847506955513134,-80.32167072440085
4,1.0,1.0,1.0,9.76,-79.79999999999998
5,1.0,1.25,1.0,8.614993044486866,-79.44020427559916
6,2.0,1.5,1.5,7.435988871178986,-79.24707684095864
7,2.0,1.75,2.0,6.246490262281614,-79.22541098583883
8,2.0,2.0,2.0,5.07,-79.38
9,2.0,2.25,2.0,3.9296430843341486,-79.71287513344217
10,2.0,2.5,2.5,2.847033386463043,-80.21501947712402
11,3.0,2.75,3.0,1.8434069953604162,-80.87465408224386
12,3.0,3.0,3.0,0.9400000000000002,-81.68
13,3.0,3.25,3.0,0.15643461817654103,-82.61751394063212
14,4.0,3.5,3.5,-0.49412241703115745,-83.66659525054527
15,4.0,3.75,4.0,-1.0001182437232772,-84.80487893518576
16,4.0,4.0,4.0,-1.3499999999999999,-86.00999999999999
17,4.0,4.25,4.0,-1.5342878070403114,-87.25878785402931
18,4.0,4.5,4.5,-1.5517937183384125,-88.52484952069493
19,5.0,4.75,5.0,-1.403402770467307,-89.78098642701308
20,5.0,5.0,5.0,-1.0899999999999999,-90.99999999999999
21,5.0,5.25,5.0,-0.6147521400152944,-92.15561589325061
22,6.0,5.5,5.5,0.01004729038480813,-93.22525666667497
23,6.0,5.75,6.0,0.7698230755925064,-94.18726910676185
24,6.0,6.0,6.0,1.65,-95.01999999999998
25,6.0,6.25,6.0,2.6348588671014888,-95.70452982296817
26,6.0,6.5,6.5,3.7041045567991793,-96.23287381260509
27,7.0,6.75,7.0,4.836297968097281,-96.59978089593947
28,7.0,7.0,7.0,6.01,-96.8
29,7.0,7.25,7.0,7.202816671609337,-96.82829606487664
30,8.0,7.5,7.5,8.388534482418471,-96.67949808290456
31,8.0,7.75,8.0,9.53998505201837,-96.34845105948021
32,8.0,8.0,8.0,10.630000000000003,-95.83000000000001
33,8.0,8.25,8.0,11.634811946461161,-95.12837966752528
34,8.0,8.5,8.5,12.544257513526935,-94.28538385577666
35,9.0,8.75,9.0,13.351574323829245,-93.35219611613972
36,9.0,9.0,9.0,14.05,-92.38
37,9.0,9.25,9.0,14.625279292546022,-91.39474776502229
38,10.0,9.5,9.5,15.033185463473783,-90.32146649398877
39,10.0,9.75,10.0,15.22199890266465,-89.05995197596087
40,10.0,10.0,10.0,15.14,-87.51000000000002
41,10.0,10.25,10.0,14.773914633354742,-85.67122302238552
42,10.0,10.5,10.5,14.264250632577932,-83.94250016826825
43,11.0,10.75,11.0,13.789961315512155,-82.82252723001682
44,11.0,11.0,11.0,13.530000000000001,-82.81
45,11.0,11.25,11.0,13.607949220910006,-84.20180497356064
46,12.0,11.5,11.5,13.925908381214493,-86.48759145793834
47,12.0,11.75,12.0,14.330606100911734,-88.95519946334686
48,12.0,12.0,12.0,14.668771,-90.892469
49,12.0,12.25,12.0,14.824289451755236,-91.77157611462194
50,12.0,12.5,12.5,14.829678842564098,-91.80204099997849
51,13.0,12.75,13.0,14.754614312090908,-91.37771988534575
52,13.0,13.0,13.0,14.668771,-90.892469
53,13.0,13.25,13.0,14.627099956444043,-90.6569129585766
54,14.0,13.5,13.5,14.625655873529114,-90.64874991714781
55,14.0,13.75,14.0,14.645769353849627,-90.76244641714513
56,14.0,14.0,14.0,14.668771,-90.892469
57,14.0,14.25,14.0,14.679936722468575,-90.95558605107168
58,14.0,14.5,14.5,14.680323663319436,-90.9577733314303
