,time,crumb_id,geometry,Longitude,Latitude,Iteration,rank
0,0,0,POINT (-80.16 -2.77),-80.16,-2.77,track_0,0
1,1,1,POINT (-81.04000000000001 -2.77),-81.04,-2.77,track_0,0
2,2,2,POINT (-81.92 -2.77),-81.92,-2.77,track_0,0
3,3,3,POINT (-82.8 -2.77),-82.8,-2.77,track_0,0
4,4,4,POINT (-83.68000000000001 -2.77),-83.68,-2.77,track_0,0
5,5,5,POINT (-84.56 -2.77),-84.56,-2.77,track_0,0
6,6,6,POINT (-84.56 -2.77),-84.56,-2.77,track_0,0
7,7,7,POINT (-84.56 -1.95),-84.56,-1.95,track_0,0
8,8,8,POINT (-84.56 -2.77),-84.56,-2.77,track_0,0
9,9,9,POINT (-83.68000000000001 -2.77),-83.68,-2.77,track_0,0
10,10,10,POINT (-83.68000000000001 -1.95),-83.68,-1.95,track_0,0
11,11,11,POINT (-83.68000000000001 -1.13),-83.68,-1.13,track_0,0
12,12,12,POINT (-84.56 -1.13),-84.56,-1.13,track_0,0
13,13,13,POINT (-85.44 -1.13),-85.44,-1.13,track_0,0
14,14,14,POINT (-84.56 -1.13),-84.56,-1.13,track_0,0
15,15,15,POINT (-85.44 -1.13),-85.44,-1.13,track_0,0
16,16,16,POINT (-86.31999999999999 -1.13),-86.32,-1.13,track_0,0
17,17,17,POINT (-86.31999999999999 -1.95),-86.32,-1.95,track_0,0
18,18,18,POINT (-86.31999999999999 -1.13),-86.32,-1.13,track_0,0
19,19,19,POINT (-86.31999999999999 -1.95),-86.32,-1.95,track_0,0
20,20,20,POINT (-86.31999999999999 -2.77),-86.32,-2.77,track_0,0
21,21,21,POINT (-86.31999999999999 -1.95),-86.32,-1.95,track_0,0
22,22,22,POINT (-85.44 -1.95),-85.44,-1.95,track_0,0
23,23,23,POINT (-85.44 -1.13),-85.44,-1.13,track_0,0
24,24,24,POINT (-86.31999999999999 -1.13),-86.32,-1.13,track_0,0
25,25,25,POINT (-87.2 -1.13),-87.2,-1.13,track_0,0
26,26,26,POINT (-86.31999999999999 -1.13),-86.32,-1.13,track_0,0
27,27,27,POINT (-86.31999999999999 -1.95),-86.32,-1.95,track_0,0
28,28,28,POINT (-87.2 -1.95),-87.2,-1.95,track_0,0
29,29,29,POINT (-87.2 -1.13),-87.2,-1.13,track_0,0
30,30,30,POINT (-88.08 -1.13),-88.08,-1.13,track_0,0
31,31,31,POINT (-87.2 -1.13),-87.2,-1.13,track_0,0
32,32,32,POINT (-88.08 -1.13),-88.08,-1.13,track_0,0
33,33,33,POINT (-88.08 -1.95),-88.08,-1.95,track_0,0
34,34,34,POINT (-87.2 -1.95),-87.2,-1.95,track_0,0
35,35,35,POINT (-87.2 -2.77),-87.2,-2.77,track_0,0
36,36,36,POINT (-88.08 -2.77),-88.08,-2.77,track_0,0
37,37,37,POINT (-88.08 -2.77),-88.08,-2.77,track_0,0
38,38,38,POINT (-88.08 -1.95),-88.08,-1.95,track_0,0
39,39,39,POINT (-88.08 -1.13),-88.08,-1.13,track_0,0
40,40,40,POINT (-88.08 -1.95),-88.08,-1.95,track_0,0
41,41,41,POINT (-88.95999999999999 -1.95),-88.96,-1.95,track_0,0
42,42,42,POINT (-88.95999999999999 -1.13),-88.96,-1.13,track_0,0
43,43,43,POINT (-88.95999999999999 -0.31),-88.96,-0.31,track_0,0
44,44,44,POINT (-88.95999999999999 0.51),-88.96,0.51,track_0,0
45,45,45,POINT (-88.08 0.51),-88.08,0.51,track_0,0
46,46,46,POINT (-87.2 0.51),-87.2,0.51,track_0,0
47,47,47,POINT (-87.2 1.33),-87.2,1.33,track_0,0
48,48,48,POINT (-86.31999999999999 1.33),-86.32,1.33,track_0,0
49,49,49,POINT (-86.31999999999999 2.15),-86.32,2.15,track_0,0
50,50,50,POINT (-85.44 2.15),-85.44,2.15,track_0,0
51,51,51,POINT (-85.44 2.97),-85.44,2.97,track_0,0
52,52,52,POINT (-85.44 3.79),-85.44,3.79,track_0,0
53,53,53,POINT (-86.31999999999999 3.79),-86.32,3.79,track_0,0
54,54,54,POINT (-86.31999999999999 2.97),-86.32,2.97,track_0,0
55,55,55,POINT (-87.2 2.97),-87.2,2.97,track_0,0
56,56,56,POINT (-88.08 2.97),-88.08,2.97,track_0,0
57,57,57,POINT (-88.95999999999999 2.97),-88.96,2.97,track_0,0
58,58,58,POINT (-88.95999999999999 3.79),-88.96,3.79,track_0,0
59,59,59,POINT (-88.08 3.79),-88.08,3.79,track_0,0
60,60,60,POINT (-88.08 2.97),-88.08,2.97,track_0,0
61,61,61,POINT (-88.08 3.79),-88.08,3.79,track_0,0
62,62,62,POINT (-87.2 3.79),-87.2,3.79,track_0,0
63,63,63,POINT (-86.31999999999999 3.79),-86.32,3.79,track_0,0
64,64,64,POINT (-87.2 3.79),-87.2,3.79,track_0,0
65,65,65,POINT (-86.31999999999999 3.79),-86.32,3.79,track_0,0
66,66,66,POINT (-86.31999999999999 4.61),-86.32,4.61,track_0,0
67,67,67,POINT (-86.31999999999999 3.79),-86.32,3.79,track_0,0
68,68,68,POINT (-85.44 3.79),-85.44,3.79,track_0,0
69,69,69,POINT (-86.31999999999999 3.79),-86.32,3.79,track_0,0
70,70,70,POINT (-87.2 3.79),-87.2,3.79,track_0,0
71,71,71,POINT (-87.2 4.61),-87.2,4.61,track_0,0
72,72,72,POINT (-87.2 5.43),-87.2,5.43,track_0,0
73,73,73,POINT (-86.31999999999999 5.43),-86.32,5.43,track_0,0
74,74,74,POINT (-85.44 5.43),-85.44,5.43,track_0,0
75,75,75,POINT (-85.44 6.25),-85.44,6.25,track_0,0
76,76,76,POINT (-85.44 7.07),-85.44,7.07,track_0,0
77,77,77,POINT (-85.44 6.25),-85.44,6.25,track_0,0
78,78,78,POINT (-86.31999999999999 6.25),-86.32,6.25,track_0,0
79,79,79,POINT (-87.2 6.25),-87.2,6.25,track_0,0
80,80,80,POINT (-87.2 5.43),-87.2,5.43,track_0,0
81,81,81,POINT (-87.2 6.25),-87.2,6.25,track_0,0
82,82,82,POINT (-88.08 6.25),-88.08,6.25,track_0,0
83,83,83,POINT (-88.95999999999999 6.25),-88.96,6.25,track_0,0
84,84,84,POINT (-89.84 6.25),-89.84,6.25,track_0,0
85,85,85,POINT (-90.72 6.25),-90.72,6.25,track_0,0
86,86,86,POINT (-90.72 5.43),-90.72,5.43,track_0,0
87,87,87,POINT (-89.84 5.43),-89.84,5.43,track_0,0
88,88,88,POINT (-88.95999999999999 5.43),-88.96,5.43,track_0,0
89,89,89,POINT (-89.84 5.43),-89.84,5.43,track_0,0
90,90,90,POINT (-90.72 5.43),-90.72,5.43,track_0,0
91,91,91,POINT (-91.59999999999999 5.43),-91.6,5.43,track_0,0
92,92,92,POINT (-90.72 5.43),-90.72,5.43,track_0,0
93,93,93,POINT (-90.72 4.61),-90.72,4.61,track_0,0
94,94,94,POINT (-89.84 4.61),-89.84,4.61,track_0,0
95,95,95,POINT (-89.84 3.79),-89.84,3.79,track_0,0
96,96,96,POINT (-89.84 4.61),-89.84,4.61,track_0,0
97,97,97,POINT (-89.84 5.43),-89.84,5.43,track_0,0
98,98,98,POINT (-89.84 4.61),-89.84,4.61,track_0,0
99,99,99,POINT (-90.72 4.61),-90.72,4.61,track_0,0
100,100,100,POINT (-90.72 3.79),-90.72,3.79,track_0,0
101,101,101,POINT (-91.59999999999999 3.79),-91.6,3.79,track_0,0
102,102,102,POINT (-92.48 3.79),-92.48,3.79,track_0,0
103,103,103,POINT (-91.59999999999999 3.79),-91.6,3.79,track_0,0
104,104,104,POINT (-90.72 3.79),-90.72,3.79,track_0,0
105,105,105,POINT (-90.72 2.97),-90.72,2.97,track_0,0
