,column,row,ids,heading,velocity,freeboard,Steps,Unnamed: 0,geometry,Longitude,Latitude
0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663
1,22,7,462,0,56,2701 kg,1,462,POINT (-80.3125 1.552083333333333),-80.3125,1.552083333333333
2,22,8,463,270,56,2702 kg,2,463,POINT (-80.3125 2.406249999999999),-80.3125,2.4062499999999987
3,21,8,439,0,56,2703 kg,3,439,POINT (-81.27083333333334 2.406249999999999),-81.27083333333334,2.4062499999999987
4,21,9,440,270,56,2704 kg,4,440,POINT (-81.27083333333334 3.260416666666667),-81.27083333333334,3.2604166666666665
5,20,9,416,270,56,2705 kg,5,416,POINT (-82.22916666666667 3.260416666666667),-82.22916666666667,3.2604166666666665
6,19,9,392,270,56,2706 kg,6,392,POINT (-83.1875 3.260416666666667),-83.1875,3.2604166666666665
7,18,9,368,0,56,2707 kg,7,368,POINT (-84.14583333333334 3.260416666666667),-84.14583333333334,3.2604166666666665
8,18,10,369,270,56,2708 kg,8,369,POINT (-84.14583333333334 4.114583333333334),-84.14583333333334,4.114583333333334
9,17,10,345,270,56,2709 kg,9,345,POINT (-85.10416666666666 4.114583333333334),-85.10416666666666,4.114583333333334
10,16,10,321,270,56,2710 kg,10,321,POINT (-86.06250000000001 4.114583333333334),-86.06250000000001,4.114583333333334
11,15,10,297,0,56,2711 kg,11,297,POINT (-87.02083333333334 4.114583333333334),-87.02083333333334,4.114583333333334
12,15,11,298,0,56,2712 kg,12,298,POINT (-87.02083333333334 4.968749999999999),-87.02083333333334,4.968749999999999
13,15,12,299,0,56,2713 kg,13,299,POINT (-87.02083333333334 5.822916666666665),-87.02083333333334,5.822916666666665
14,15,13,300,0,56,2714 kg,14,300,POINT (-87.02083333333334 6.677083333333334),-87.02083333333334,6.677083333333334
15,15,14,301,0,56,2715 kg,15,301,POINT (-87.02083333333334 7.531250000000001),-87.02083333333334,7.531250000000001
16,15,15,302,270,56,2716 kg,16,302,POINT (-87.02083333333334 8.385416666666666),-87.02083333333334,8.385416666666666
17,14,15,278,0,56,2717 kg,17,278,POINT (-87.97916666666667 8.385416666666666),-87.97916666666667,8.385416666666666
18,14,16,279,0,56,2718 kg,18,279,POINT (-87.97916666666667 9.239583333333332),-87.97916666666667,9.239583333333332
19,14,17,280,270,56,2719 kg,19,280,POINT (-87.97916666666667 10.09375),-87.97916666666667,10.09375
20,13,17,256,0,56,2720 kg,20,256,POINT (-88.93750000000001 10.09375),-88.93750000000001,10.09375
21,13,18,257,270,56,2721 kg,21,257,POINT (-88.93750000000001 10.94791666666666),-88.93750000000001,10.947916666666664
22,12,18,233,0,56,2722 kg,22,233,POINT (-89.89583333333334 10.94791666666666),-89.89583333333334,10.947916666666664
23,12,19,234,0,56,2723 kg,23,234,POINT (-89.89583333333334 11.80208333333333),-89.89583333333334,11.802083333333332
24,12,20,235,0,56,2724 kg,24,235,POINT (-89.89583333333334 12.65624999999999),-89.89583333333334,12.656249999999996
25,12,21,236,0,56,2725 kg,25,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
26,12,21,236,0,0,2726 kg,26,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
27,12,21,236,0,0,2727 kg,27,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
28,12,21,236,0,0,2728 kg,28,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
29,12,21,236,0,0,2729 kg,29,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
30,12,21,236,0,0,2730 kg,30,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
31,12,21,236,0,0,2731 kg,31,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
32,12,21,236,0,0,2732 kg,32,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
33,12,21,236,0,0,2733 kg,33,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
34,12,21,236,0,0,2734 kg,34,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
35,12,21,236,0,0,2735 kg,35,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
36,12,21,236,0,0,2736 kg,36,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
37,12,21,236,0,0,2737 kg,37,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
38,12,21,236,0,0,2738 kg,38,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
39,12,21,236,0,0,2739 kg,39,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
40,12,21,236,0,0,2740 kg,40,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
41,12,21,236,0,0,2741 kg,41,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
42,12,21,236,0,0,2742 kg,42,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
43,12,21,236,0,0,2743 kg,43,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
44,12,21,236,0,0,2744 kg,44,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
45,12,21,236,0,0,2745 kg,45,236,POINT (-89.89583333333334 13.51041666666666),-89.89583333333334,13.510416666666664
