,Time,dlat,dlon,Latitude,Longitude,Drone
0,0.0,0.0,0.0,9.167216656,-84.94066456,41
1,0.25,0.0,0.0,9.162554611,-84.93762336,41
2,0.5,0.0,0.0,9.157892565,-84.93458216,41
3,0.75,0.0,0.0,9.15323052,-84.93154096,41
4,1.0,0.0,0.0,9.148568474,-84.92849976,41
5,1.25,0.0,0.0,9.143906429,-84.92545856,41
6,1.5,0.0,0.0,9.139244383,-84.92241737,41
7,1.75,0.0,0.0,9.134582338,-84.91937617,41
8,2.0,0.0,0.0,9.129920292,-84.91633497,41
9,2.25,0.0,0.0,9.125258247,-84.91329377,41
10,2.5,0.0,0.0,9.120596201,-84.91025257,41
11,2.75,0.0,0.0,9.115934156,-84.90721138,41
12,3.0,0.0,0.0,9.11127211,-84.90417018,41
13,3.25,0.0,0.0,9.106610065,-84.90112898,41
14,3.5,0.0,0.0,9.101948019,-84.89808778,41
15,3.75,0.0,0.0,9.097285974,-84.89504658,41
16,4.0,0.0,0.0,9.092623928,-84.89200538,41
17,4.25,0.0,0.0,9.087961883,-84.88896419,41
18,4.5,0.0,0.0,9.083299837,-84.88592299,41
19,4.75,0.0,0.0,9.078637792,-84.88288179,41
20,5.0,0.0,0.0,9.073975746,-84.87984059,41
21,5.25,0.0,0.0,9.069313701,-84.87679939,41
22,5.5,0.0,0.0,9.064651655,-84.8737582,41
23,5.75,0.0,0.0,9.05998961,-84.870717,41
24,6.0,0.0,0.0,9.055327564,-84.8676758,41
25,6.25,0.0,0.0,9.050665519,-84.8646346,41
26,6.5,0.0,0.0,9.046003473,-84.8615934,41
27,6.75,0.0,0.0,9.041341428,-84.8585522,41
28,7.0,0.0,0.0,9.036679382,-84.85551101,41
29,7.25,0.0,0.0,9.032017337,-84.85246981,41
30,7.5,0.0,0.0,9.027355291,-84.84942861,41
31,7.75,0.0,0.0,9.022693246,-84.84638741,41
32,8.0,0.0,0.0,9.0180312,-84.84334621,41
33,8.25,0.0,0.0,9.013369155,-84.84030502,41
34,8.5,0.0,0.0,9.00870711,-84.83726382,41
35,8.75,0.0,0.0,9.004045064,-84.83422262,41
36,9.0,0.0,0.0,8.999383019,-84.83118142,41
37,9.25,0.0,0.0,8.994720973,-84.82814022,41
38,9.5,0.0,0.0,8.990058928,-84.82509902,41
39,9.75,0.0,0.0,8.985396882,-84.82205783,41
40,10.0,0.0,0.0,8.980734837,-84.81901663,41
41,10.25,0.0,0.0,8.976072791,-84.81597543,41
42,10.5,0.0,0.0,8.971410746,-84.81293423,41
43,10.75,0.0,0.0,8.9667487,-84.80989303,41
44,11.0,0.0,0.0,8.962086655,-84.80685183,41
45,11.25,0.0,0.0,8.957424609,-84.80381064,41
46,11.5,0.0,0.0,8.952762564,-84.80076944,41
