,time,crumb_id,geometry,Longitude,Latitude
0,0,0,POINT (-79.15487 -3.1769605),-79.15487,-3.1769605
1,1,1,POINT (-80.08487 -3.1769605),-80.08487,-3.1769605
2,2,2,POINT (-80.08487 -2.2969605),-80.08487,-2.2969605
3,3,3,POINT (-80.08487 -3.1769605),-80.08487,-3.1769605
4,4,4,POINT (-80.08487 -3.1769605),-80.08487,-3.1769605
5,5,5,POINT (-80.08487 -3.1769605),-80.08487,-3.1769605
6,6,6,POINT (-81.01487 -3.1769605),-81.01487,-3.1769605
7,7,7,POINT (-80.08487 -3.1769605),-80.08487,-3.1769605
8,8,8,POINT (-81.01487 -3.1769605),-81.01487,-3.1769605
9,9,9,POINT (-81.01487 -2.2969605),-81.01487,-2.2969605
10,10,10,POINT (-81.01487 -3.1769605),-81.01487,-3.1769605
11,11,11,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605
12,12,12,POINT (-81.01487 -3.1769605),-81.01487,-3.1769605
13,13,13,POINT (-81.01487 -3.1769605),-81.01487,-3.1769605
14,14,14,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605
15,15,15,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605
16,16,16,POINT (-82.87487 -3.1769605),-82.87487,-3.1769605
17,17,17,POINT (-82.87487 -2.2969605),-82.87487,-2.2969605
18,18,18,POINT (-82.87487 -3.1769605),-82.87487,-3.1769605
19,19,19,POINT (-83.80486999999999 -3.1769605),-83.80487,-3.1769605
20,20,20,POINT (-82.87487 -3.1769605),-82.87487,-3.1769605
21,21,21,POINT (-82.87487 -3.1769605),-82.87487,-3.1769605
22,22,22,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605
23,23,23,POINT (-81.94486999999999 -2.2969605),-81.94487,-2.2969605
24,24,24,POINT (-82.87487 -2.2969605),-82.87487,-2.2969605
25,25,25,POINT (-83.80486999999999 -2.2969605),-83.80487,-2.2969605
26,26,26,POINT (-83.80486999999999 -1.4169605),-83.80487,-1.4169605
27,27,27,POINT (-82.87487 -1.4169605),-82.87487,-1.4169605
28,28,28,POINT (-82.87487 -0.5369605),-82.87487,-0.5369605
29,29,29,POINT (-82.87487 -1.4169605),-82.87487,-1.4169605
30,30,30,POINT (-81.94486999999999 -1.4169605),-81.94487,-1.4169605
31,31,31,POINT (-81.94486999999999 -0.5369605),-81.94487,-0.5369605
32,32,32,POINT (-81.94486999999999 0.3430395),-81.94487,0.3430395
33,33,33,POINT (-81.01487 0.3430395),-81.01487,0.3430395
34,34,34,POINT (-81.01487 1.2230395),-81.01487,1.2230395
35,35,35,POINT (-80.08487 1.2230395),-80.08487,1.2230395
36,36,36,POINT (-80.08487 2.1030395),-80.08487,2.1030395
37,37,37,POINT (-80.08487 2.9830395),-80.08487,2.9830395
38,38,38,POINT (-80.08487 2.1030395),-80.08487,2.1030395
39,39,39,POINT (-80.08487 1.2230395),-80.08487,1.2230395
40,40,40,POINT (-80.08487 2.1030395),-80.08487,2.1030395
41,41,41,POINT (-81.01487 2.1030395),-81.01487,2.1030395
42,42,42,POINT (-81.01487 2.9830395),-81.01487,2.9830395
43,43,43,POINT (-81.01487 2.1030395),-81.01487,2.1030395
44,44,44,POINT (-80.08487 2.1030395),-80.08487,2.1030395
45,45,45,POINT (-80.08487 1.2230395),-80.08487,1.2230395
46,46,46,POINT (-80.08487 2.1030395),-80.08487,2.1030395
47,47,47,POINT (-79.15487 2.1030395),-79.15487,2.1030395
48,48,48,POINT (-80.08487 2.1030395),-80.08487,2.1030395
49,49,49,POINT (-79.15487 2.1030395),-79.15487,2.1030395
50,50,50,POINT (-79.15487 1.2230395),-79.15487,1.2230395
51,51,51,POINT (-78.22487 1.2230395),-78.22487,1.2230395
52,52,52,POINT (-79.15487 1.2230395),-79.15487,1.2230395
53,53,53,POINT (-79.15487 0.3430395),-79.15487,0.3430395
54,54,54,POINT (-79.15487 1.2230395),-79.15487,1.2230395
55,55,55,POINT (-80.08487 1.2230395),-80.08487,1.2230395
56,56,56,POINT (-81.01487 1.2230395),-81.01487,1.2230395
57,57,57,POINT (-80.08487 1.2230395),-80.08487,1.2230395
58,58,58,POINT (-81.01487 1.2230395),-81.01487,1.2230395
59,59,59,POINT (-81.01487 0.3430395),-81.01487,0.3430395
60,60,60,POINT (-80.08487 0.3430395),-80.08487,0.3430395
61,61,61,POINT (-81.01487 0.3430395),-81.01487,0.3430395
62,62,62,POINT (-81.01487 1.2230395),-81.01487,1.2230395
63,63,63,POINT (-81.01487 2.1030395),-81.01487,2.1030395
64,64,64,POINT (-81.94486999999999 2.1030395),-81.94487,2.1030395
65,65,65,POINT (-81.94486999999999 1.2230395),-81.94487,1.2230395
66,66,66,POINT (-81.01487 1.2230395),-81.01487,1.2230395
67,67,67,POINT (-80.08487 1.2230395),-80.08487,1.2230395
68,68,68,POINT (-80.08487 2.1030395),-80.08487,2.1030395
69,69,69,POINT (-80.08487 2.9830395),-80.08487,2.9830395
70,70,70,POINT (-79.15487 2.9830395),-79.15487,2.9830395
71,71,71,POINT (-78.22487 2.9830395),-78.22487,2.9830395
72,72,72,POINT (-79.15487 2.9830395),-79.15487,2.9830395
73,73,73,POINT (-79.15487 2.1030395),-79.15487,2.1030395
74,74,74,POINT (-79.15487 2.9830395),-79.15487,2.9830395
75,75,75,POINT (-80.08487 2.9830395),-80.08487,2.9830395
