,time,time30,time15
0,0.0,0.0,0.0
1,0.0,0.0,0.25
2,0.0,0.5,0.5
3,1.0,1.0,0.75
4,1.0,1.0,1.0
5,1.0,1.0,1.25
6,2.0,1.5,1.5
7,2.0,2.0,1.75
8,2.0,2.0,2.0
9,2.0,2.0,2.25
10,2.0,2.5,2.5
11,3.0,3.0,2.75
12,3.0,3.0,3.0
13,3.0,3.0,3.25
14,4.0,3.5,3.5
15,4.0,4.0,3.75
16,4.0,4.0,4.0
17,4.0,4.0,4.25
18,4.0,4.5,4.5
19,5.0,5.0,4.75
20,5.0,5.0,5.0
21,5.0,5.0,5.25
22,6.0,5.5,5.5
23,6.0,6.0,5.75
24,6.0,6.0,6.0
25,6.0,6.0,6.25
26,6.0,6.5,6.5
27,7.0,7.0,6.75
28,7.0,7.0,7.0
29,7.0,7.0,7.25
30,8.0,7.5,7.5
31,8.0,8.0,7.75
32,8.0,8.0,8.0
33,8.0,8.0,8.25
34,8.0,8.5,8.5
35,9.0,9.0,8.75
36,9.0,9.0,9.0
37,9.0,9.0,9.25
38,10.0,9.5,9.5
39,10.0,10.0,9.75
40,10.0,10.0,10.0
41,10.0,10.0,10.25
42,10.0,10.5,10.5
43,11.0,11.0,10.75
44,11.0,11.0,11.0
45,11.0,11.0,11.25
46,12.0,11.5,11.5
47,12.0,12.0,11.75
48,12.0,12.0,12.0
49,12.0,12.0,12.25
50,12.0,12.5,12.5
51,13.0,13.0,12.75
52,13.0,13.0,13.0
53,13.0,13.0,13.25
54,14.0,13.5,13.5
55,14.0,14.0,13.75
56,14.0,14.0,14.0
57,14.0,14.0,14.25
58,14.0,14.5,14.5
59,15.0,15.0,14.75
60,15.0,15.0,15.0
61,15.0,15.0,15.25
62,16.0,15.5,15.5
63,16.0,16.0,15.75
64,16.0,16.0,16.0
65,16.0,16.0,16.25
66,16.0,16.5,16.5
67,17.0,17.0,16.75
68,17.0,17.0,17.0
69,17.0,17.0,17.25
70,18.0,17.5,17.5
71,18.0,18.0,17.75
72,18.0,18.0,18.0
73,18.0,18.0,18.25
74,18.0,18.5,18.5
75,19.0,19.0,18.75
76,19.0,19.0,19.0
77,19.0,19.0,19.25
78,20.0,19.5,19.5
79,20.0,20.0,19.75
80,20.0,20.0,20.0
81,20.0,20.0,20.25
82,20.0,20.5,20.5
83,21.0,21.0,20.75
84,21.0,21.0,21.0
85,21.0,21.0,21.25
86,22.0,21.5,21.5
87,22.0,22.0,21.75
88,22.0,22.0,22.0
89,22.0,22.0,22.25
90,22.0,22.5,22.5
91,23.0,23.0,22.75
92,23.0,23.0,23.0
93,23.0,23.0,23.25
94,24.0,23.5,23.5
95,24.0,24.0,23.75
96,24.0,24.0,24.0
97,24.0,24.0,24.25
98,24.0,24.5,24.5
99,25.0,25.0,24.75
100,25.0,25.0,25.0
101,25.0,25.0,25.25
102,26.0,25.5,25.5
103,26.0,26.0,25.75
104,26.0,26.0,26.0
105,26.0,26.0,26.25
106,26.0,26.5,26.5
107,27.0,27.0,26.75
108,27.0,27.0,27.0
109,27.0,27.0,27.25
110,28.0,27.5,27.5
111,28.0,28.0,27.75
112,28.0,28.0,28.0
113,28.0,28.0,28.25
114,28.0,28.5,28.5
115,29.0,29.0,28.75
116,29.0,29.0,29.0
117,29.0,29.0,29.25
118,30.0,29.5,29.5
119,30.0,30.0,29.75
120,30.0,30.0,30.0
121,30.0,30.0,30.25
122,30.0,30.5,30.5
123,31.0,31.0,30.75
124,31.0,31.0,31.0
125,31.0,31.0,31.25
126,32.0,31.5,31.5
127,32.0,32.0,31.75
128,32.0,32.0,32.0
129,32.0,32.0,32.25
130,32.0,32.5,32.5
131,33.0,33.0,32.75
132,33.0,33.0,33.0
133,33.0,33.0,33.25
134,34.0,33.5,33.5
135,34.0,34.0,33.75
136,34.0,34.0,34.0
137,34.0,34.0,34.25
138,34.0,34.5,34.5
139,35.0,35.0,34.75
140,35.0,35.0,35.0
141,35.0,35.0,35.25
142,36.0,35.5,35.5
143,36.0,36.0,35.75
144,36.0,36.0,36.0
145,36.0,36.0,36.25
146,36.0,36.5,36.5
147,37.0,37.0,36.75
148,37.0,37.0,37.0
149,37.0,37.0,37.25
150,38.0,37.5,37.5
151,38.0,38.0,37.75
152,38.0,38.0,38.0
153,38.0,38.0,38.25
154,38.0,38.5,38.5
155,39.0,39.0,38.75
156,39.0,39.0,39.0
157,39.0,39.0,39.25
158,40.0,39.5,39.5
159,40.0,40.0,39.75
160,40.0,40.0,40.0
161,40.0,40.0,40.25
162,40.0,40.5,40.5
163,41.0,41.0,40.75
164,41.0,41.0,41.0
165,41.0,41.0,41.25
166,42.0,41.5,41.5
167,42.0,42.0,41.75
168,42.0,42.0,42.0
169,42.0,42.0,42.25
170,42.0,42.5,42.5
171,43.0,43.0,42.75
172,43.0,43.0,43.0
173,43.0,43.0,43.25
174,44.0,43.5,43.5
175,44.0,44.0,43.75
176,44.0,44.0,44.0
177,44.0,44.0,44.25
178,44.0,44.5,44.5
179,45.0,45.0,44.75
180,45.0,45.0,45.0
181,45.0,45.0,45.25
182,46.0,45.5,45.5
183,46.0,46.0,45.75
184,46.0,46.0,46.0
185,46.0,46.0,46.25
186,46.0,46.5,46.5
187,47.0,47.0,46.75
188,47.0,47.0,47.0
