Longitude,Latitude,,Seconds,Secondsr,
-102.8669715,17.80270384,205504.6074,206404.6074,206400,
-102.7058719,17.65789126,204203.9453,205103.9453,205080,
-102.5558693,17.45415147,202903.2833,203803.2833,203820,
-102.4127648,17.26961749,201602.6212,202502.6212,202500,
-102.2696754,17.08244967,200301.9591,201201.9591,201180,
-102.126577,16.89686215,199001.297,199901.297,199920,
-101.9834905,16.70916756,197700.635,198600.635,198600,
-101.8403831,16.52516034,196399.9729,197299.9729,197280,
-101.6972967,16.33746575,195099.3108,195999.3108,196020,
-101.5542012,16.15135147,193798.6488,194698.6488,194700,
-101.4111208,15.96260334,192497.9867,193397.9867,193380,
-101.2680434,15.77332844,191197.3246,192097.3246,192120,
-101.1249629,15.58458031,189896.6625,190796.6625,190800,
-100.9818705,15.39793926,188596.0005,189496.0005,189480,
-100.838805,15.20655729,187295.3384,188195.3384,188220,
-100.6957336,15.01622885,185994.6763,186894.6763,186900,
-100.5526711,14.82432012,184694.0143,185594.0143,185580,
-100.4095967,14.63451845,183393.3522,184293.3522,184320,
-100.2665372,14.44208294,182092.6901,182992.6901,183000,
-100.1234838,14.2485939,180792.028,181692.028,181680,
-99.98043033,14.05510486,179491.366,180391.366,180420,
-99.83739487,13.8584552,178190.7039,179090.7039,179100,
-99.69435041,13.66338585,176890.0418,177790.0418,177780,
-99.55366334,13.4762559,175589.3797,176489.3797,176460,
-99.4238046,13.28618842,174288.7177,175188.7177,175200,
-99.28548251,13.10566338,172988.0556,173888.0556,173880,
-99.15562377,12.9155959,171687.3935,172587.3935,172560,
-99.01731767,12.73226143,170386.7315,171286.7315,171300,
-98.88984322,12.54540748,169086.0694,169986.0694,169980,
-98.7647229,12.36706485,167785.4073,168685.4073,168660,
-98.63725256,12.17948848,166484.7452,167384.7452,167400,
-98.49897845,11.99053514,165184.0832,166084.0832,166080,
-98.37151748,11.80131325,163883.4211,164783.4211,164760,
-98.2464143,11.61996051,162582.759,163482.759,163500,
-98.12131454,11.43800575,161282.097,162182.097,162180,
-98.0024169,11.22167578,159981.4349,160881.4349,160860,
-97.86690577,11.02216676,158680.7728,159580.7728,159600,
-97.90630366,11.22343869,157380.1107,158280.1107,158280,
-97.74319138,10.82959847,156079.4487,156979.4487,156960,
-97.78122446,11.03787181,154778.7866,155678.7866,155700,
-97.62123153,10.65466699,153478.1245,154378.1245,154380,
-97.49620928,10.45909459,152177.4624,153077.4624,153060,
-97.3777637,10.27442249,150876.8004,151776.8004,151800,
-97.25066932,10.06800423,149576.1383,150476.1383,150480,
-97.28100362,10.27874768,148275.4762,149175.4762,149160,
-97.12114339,9.872229513,146974.8142,147874.8142,147900,
-97.15592442,10.09318079,145674.1521,146574.1521,146580,
-97.0059071,9.698562304,144373.49,145273.49,145260,
-96.87791704,9.48923217,143072.8279,143972.8279,144000,
-96.90586198,9.70519043,141772.1659,142672.1659,142680,
-96.75583986,9.311414775,140471.5038,141371.5038,141360,
-96.61500199,9.098016294,139170.8417,140070.8417,140100,
-96.65579953,9.317200071,137870.1797,138770.1797,138780,
-96.46830808,8.872581557,136569.5176,137469.5176,137460,
-96.512893,9.097899378,135268.8555,136168.8555,136140,
-96.32542336,8.649449822,133968.1934,134868.1934,134880,
-96.36998646,8.878598685,132667.5314,133567.5314,133560,
-96.18251683,8.430149129,131366.8693,132266.8693,132240,
-96.22707993,8.659297993,130066.2072,130966.2072,130980,
-96.05311014,8.232358199,128765.5451,129665.5451,129660,
-96.0841734,8.4399973,127464.8831,128364.8831,128340,
-95.91005716,8.038785981,126164.221,127064.221,127080,
-95.9590942,8.254430414,124863.5589,125763.5589,125760,
-95.76230042,7.818905668,123562.8969,124462.8969,124440,
-95.80722603,8.026691111,122262.2348,123162.2348,123180,
-95.60135772,7.602559035,120961.5727,121861.5727,121860,
-95.66431949,7.807390418,119660.9106,120560.9106,120540,
-95.45877741,7.51216287,118360.2486,119260.2486,119280,
-95.42369843,7.343555733,117059.5865,117959.5865,117960,
-95.29843762,7.189895958,115758.9244,116658.9244,116640,
-95.17330017,7.014563429,114458.2624,115358.2624,115380,
