,ids,value,text3,Origin,Destination,AIS,Navigation,Fog,Historical Trafficking Routes,High Elevation Clouds
0,0,2,Gameboard Index:0,0,0,0,0,1,0,0
1,1,2,Gameboard Index:1,0,0,1,0,5,0,0
2,2,2,Gameboard Index:2,0,0,1,0,1,0,1
3,3,2,Gameboard Index:3,0,0,0,0,0,0,0
4,4,2,Gameboard Index:4,0,0,0,0,0,0,0
5,5,2,Gameboard Index:5,0,0,0,0,0,0,0
6,6,2,Gameboard Index:6,0,0,0,0,8,0,2
7,7,2,Gameboard Index:7,0,0,0,0,11,0,0
8,8,2,Gameboard Index:8,0,0,0,0,11,0,0
9,9,2,Gameboard Index:9,0,0,0,0,11,0,1
10,10,2,Gameboard Index:10,0,0,0,0,8,0,6
11,11,2,Gameboard Index:11,0,0,0,0,8,0,3
12,12,2,Gameboard Index:12,0,0,0,0,4,0,3
13,13,2,Gameboard Index:13,0,0,2,0,9,0,0
14,14,2,Gameboard Index:14,0,0,0,0,6,0,0
15,15,2,Gameboard Index:15,0,0,0,0,7,0,1
16,16,2,Gameboard Index:16,0,0,0,0,0,0,0
17,17,2,Gameboard Index:17,0,0,1,0,0,0,0
18,18,2,Gameboard Index:18,0,0,1,1,0,0,0
19,19,2,Gameboard Index:19,0,0,1,3,6,0,1
20,20,2,Gameboard Index:20,0,0,0,0,6,0,0
21,21,2,Gameboard Index:21,0,0,0,0,3,0,0
22,22,2,Gameboard Index:22,0,0,1,0,0,0,0
23,23,2,Gameboard Index:23,0,0,0,0,1,0,0
24,24,2,Gameboard Index:24,0,0,0,0,1,0,0
25,25,2,Gameboard Index:25,0,0,0,0,3,0,0
26,26,2,Gameboard Index:26,0,0,0,0,8,0,2
27,27,2,Gameboard Index:27,0,0,0,0,5,0,4
28,28,2,Gameboard Index:28,0,0,0,0,11,0,0
29,29,2,Gameboard Index:29,0,0,0,0,10,0,0
30,30,2,Gameboard Index:30,0,0,0,0,6,0,3
31,31,2,Gameboard Index:31,0,0,0,0,13,0,1
32,32,2,Gameboard Index:32,0,0,0,0,5,0,2
33,33,2,Gameboard Index:33,0,0,1,0,7,0,0
34,34,2,Gameboard Index:34,0,0,1,0,7,0,0
35,35,2,Gameboard Index:35,0,0,1,0,2,0,2
36,36,2,Gameboard Index:36,0,0,0,0,0,0,0
37,37,2,Gameboard Index:37,0,0,2,0,0,0,0
38,38,2,Gameboard Index:38,0,0,3,2,2,0,1
39,39,2,Gameboard Index:39,0,0,0,4,5,0,3
40,40,2,Gameboard Index:40,0,0,0,0,6,0,1
41,41,2,Gameboard Index:41,0,0,0,0,0,0,0
42,42,2,Gameboard Index:42,0,0,0,0,0,0,0
43,43,2,Gameboard Index:43,0,0,0,0,4,0,0
44,44,2,Gameboard Index:44,0,0,0,0,11,0,1
45,45,2,Gameboard Index:45,0,0,0,0,10,0,3
46,46,2,Gameboard Index:46,0,0,0,0,10,0,4
47,47,2,Gameboard Index:47,0,0,0,0,15,0,0
48,48,2,Gameboard Index:48,0,0,0,0,14,0,1
49,49,2,Gameboard Index:49,0,0,0,0,11,0,0
50,50,2,Gameboard Index:50,0,0,0,0,12,0,3
51,51,2,Gameboard Index:51,0,0,0,0,2,0,9
52,52,2,Gameboard Index:52,0,0,0,0,13,0,0
53,53,2,Gameboard Index:53,0,0,0,0,2,0,0
