,ids,value,text3,AIS,origins,destinations,Navigation,Fog,High Elevation Clouds,Historical Trafficking Routes
0,0,2,Gameboard Index:0,0,0,0,0,0,0,0
1,1,2,Gameboard Index:1,0,0,0,0,0,0,0
2,2,2,Gameboard Index:2,0,0,0,0,0,0,0
3,3,2,Gameboard Index:3,0,0,0,0,3,0,0
4,4,2,Gameboard Index:4,0,0,0,0,4,1,0
5,5,2,Gameboard Index:5,0,0,0,0,8,2,0
6,6,2,Gameboard Index:6,0,0,0,0,4,2,0
7,7,2,Gameboard Index:7,0,0,0,0,7,1,0
8,8,2,Gameboard Index:8,0,0,0,0,8,1,0
9,9,2,Gameboard Index:9,0,0,0,0,9,0,0
10,10,2,Gameboard Index:10,0,0,0,0,7,1,0
11,11,2,Gameboard Index:11,0,0,0,0,5,0,0
12,12,2,Gameboard Index:12,0,0,0,0,6,1,0
13,13,2,Gameboard Index:13,0,0,0,0,5,2,0
14,14,2,Gameboard Index:14,0,0,0,0,0,5,0
15,15,2,Gameboard Index:15,0,0,0,0,7,0,0
16,16,2,Gameboard Index:16,0,0,0,0,2,0,0
17,17,2,Gameboard Index:17,0,0,0,0,2,0,0
18,18,2,Gameboard Index:18,0,0,0,0,3,0,0
19,19,2,Gameboard Index:19,0,0,0,0,4,0,0
20,20,2,Gameboard Index:20,2,0,0,0,2,2,0
21,21,2,Gameboard Index:21,0,0,0,0,0,0,0
22,22,2,Gameboard Index:22,0,0,0,1,0,0,0
23,23,2,Gameboard Index:23,0,0,0,1,3,2,0
24,24,2,Gameboard Index:24,0,0,0,0,0,0,0
25,25,2,Gameboard Index:25,0,0,0,0,0,0,0
26,26,2,Gameboard Index:26,0,0,0,0,4,0,0
27,27,2,Gameboard Index:27,0,0,0,0,5,1,0
28,28,2,Gameboard Index:28,0,0,0,0,8,0,0
29,29,2,Gameboard Index:29,0,0,0,0,6,3,0
30,30,2,Gameboard Index:30,2,0,0,0,2,2,0
31,31,2,Gameboard Index:31,0,0,0,0,8,3,0
32,32,2,Gameboard Index:32,0,0,0,0,6,0,0
33,33,2,Gameboard Index:33,1,0,0,0,7,0,0
34,34,2,Gameboard Index:34,0,0,0,0,5,0,0
35,35,2,Gameboard Index:35,0,0,0,0,5,2,0
36,36,2,Gameboard Index:36,0,0,0,0,6,1,0
37,37,2,Gameboard Index:37,0,0,0,0,7,1,0
38,38,2,Gameboard Index:38,0,0,0,0,1,3,0
39,39,2,Gameboard Index:39,2,0,0,0,5,0,0
40,40,2,Gameboard Index:40,0,0,0,0,3,0,0
41,41,2,Gameboard Index:41,0,0,0,0,1,0,0
42,42,2,Gameboard Index:42,1,0,0,0,2,0,0
43,43,2,Gameboard Index:43,0,0,0,0,1,0,0
44,44,2,Gameboard Index:44,1,0,0,0,3,0,0
45,45,2,Gameboard Index:45,0,0,0,0,0,0,0
46,46,2,Gameboard Index:46,0,0,0,1,0,0,0
47,47,2,Gameboard Index:47,0,0,0,2,4,2,0
48,48,2,Gameboard Index:48,0,0,0,0,1,0,0
49,49,2,Gameboard Index:49,0,0,0,0,0,0,0
50,50,2,Gameboard Index:50,2,0,0,0,0,0,0
51,51,2,Gameboard Index:51,0,0,0,0,3,0,0
52,52,2,Gameboard Index:52,0,0,0,0,6,1,0
53,53,2,Gameboard Index:53,0,0,0,0,5,0,0
54,54,2,Gameboard Index:54,0,0,0,0,6,0,0
55,55,2,Gameboard Index:55,0,0,0,0,3,3,0
56,56,2,Gameboard Index:56,0,0,0,0,7,1,0
57,57,2,Gameboard Index:57,0,0,0,0,4,0,0
58,58,2,Gameboard Index:58,0,0,0,0,4,0,0
59,59,2,Gameboard Index:59,0,0,0,0,4,0,0
60,60,2,Gameboard Index:60,0,0,0,0,6,0,0
61,61,2,Gameboard Index:61,0,0,0,0,4,4,0
62,62,2,Gameboard Index:62,0,0,0,0,2,2,0
63,63,2,Gameboard Index:63,0,0,0,0,7,0,0
64,64,2,Gameboard Index:64,0,0,0,0,2,1,0
65,65,2,Gameboard Index:65,0,0,0,0,0,0,0
66,66,2,Gameboard Index:66,1,0,0,0,0,0,0
67,67,2,Gameboard Index:67,0,0,0,0,0,0,0
68,68,2,Gameboard Index:68,1,0,0,0,0,0,0
69,69,2,Gameboard Index:69,0,0,0,0,0,0,0
70,70,2,Gameboard Index:70,0,0,0,2,0,0,7
71,71,2,Gameboard Index:71,0,0,0,1,6,2,0
72,72,2,Gameboard Index:72,0,0,0,0,3,0,0
73,73,2,Gameboard Index:73,0,0,0,0,0,0,0
74,74,2,Gameboard Index:74,0,0,0,0,0,0,0
75,75,2,Gameboard Index:75,0,0,0,0,0,0,0
76,76,2,Gameboard Index:76,0,0,0,0,1,0,0
77,77,2,Gameboard Index:77,0,0,0,0,0,0,0
78,78,2,Gameboard Index:78,0,0,0,0,4,0,0
79,79,2,Gameboard Index:79,0,0,0,0,0,2,0
80,80,2,Gameboard Index:80,0,0,0,0,4,1,0
81,81,2,Gameboard Index:81,0,0,0,0,5,0,0
82,82,2,Gameboard Index:82,0,0,0,0,1,0,0
83,83,2,Gameboard Index:83,0,0,0,0,6,0,0
84,84,2,Gameboard Index:84,0,0,0,0,3,2,0
85,85,2,Gameboard Index:85,0,0,0,0,4,3,0
86,86,2,Gameboard Index:86,0,0,0,0,5,3,0
87,87,2,Gameboard Index:87,1,0,0,0,5,0,0
88,88,2,Gameboard Index:88,1,0,0,0,4,0,0
89,89,2,Gameboard Index:89,0,0,0,0,2,0,0
90,90,2,Gameboard Index:90,0,0,0,0,0,0,0
91,91,2,Gameboard Index:91,0,0,0,0,0,0,0
92,92,2,Gameboard Index:92,0,0,0,0,0,0,0
93,93,2,Gameboard Index:93,0,0,0,0,0,0,0
94,94,2,Gameboard Index:94,0,0,0,1,0,0,2
95,95,2,Gameboard Index:95,0,0,0,1,5,2,3
96,96,2,Gameboard Index:96,0,0,0,0,1,0,0
97,97,2,Gameboard Index:97,0,0,0,0,0,0,0
98,98,2,Gameboard Index:98,0,0,0,0,0,0,0
99,99,2,Gameboard Index:99,0,0,0,0,0,0,0
100,100,2,Gameboard Index:100,0,0,0,0,0,0,0
101,101,2,Gameboard Index:101,0,0,0,0,0,0,0
102,102,2,Gameboard Index:102,0,0,0,0,6,0,0
103,103,2,Gameboard Index:103,1,0,0,0,1,1,0
104,104,2,Gameboard Index:104,0,0,0,0,8,1,0
105,105,2,Gameboard Index:105,0,0,0,0,4,0,0
106,106,2,Gameboard Index:106,0,0,0,0,8,0,0
107,107,2,Gameboard Index:107,0,0,0,0,5,0,0
108,108,2,Gameboard Index:108,0,0,0,0,6,0,13
109,109,2,Gameboard Index:109,0,0,0,0,5,2,0
110,110,2,Gameboard Index:110,0,0,0,0,4,2,0
111,111,2,Gameboard Index:111,1,0,0,0,3,0,0
112,112,2,Gameboard Index:112,0,0,0,0,1,0,1
113,113,2,Gameboard Index:113,1,0,0,0,4,1,2
114,114,2,Gameboard Index:114,1,0,0,0,4,1,16
115,115,2,Gameboard Index:115,0,0,0,0,2,0,1
116,116,2,Gameboard Index:116,0,0,0,0,0,0,0
117,117,2,Gameboard Index:117,0,0,0,0,0,0,11
118,118,2,Gameboard Index:118,0,0,0,1,0,0,5
119,119,2,Gameboard Index:119,0,0,1,1,3,1,18
120,120,2,Gameboard Index:120,0,0,0,0,0,0,0
121,121,2,Gameboard Index:121,0,0,0,0,0,0,0
122,122,2,Gameboard Index:122,0,0,0,0,0,0,0
123,123,2,Gameboard Index:123,0,0,0,0,0,0,0
124,124,2,Gameboard Index:124,0,0,0,0,0,0,0
125,125,2,Gameboard Index:125,0,0,0,0,1,0,0
126,126,2,Gameboard Index:126,0,0,0,0,4,0,0
127,127,2,Gameboard Index:127,1,0,0,0,2,0,0
128,128,2,Gameboard Index:128,0,0,0,0,9,0,0
129,129,2,Gameboard Index:129,0,0,0,0,5,0,0
130,130,2,Gameboard Index:130,0,0,0,0,6,0,2
131,131,2,Gameboard Index:131,0,0,0,0,6,0,8
132,132,2,Gameboard Index:132,0,0,0,0,5,1,17
133,133,2,Gameboard Index:133,0,0,0,0,6,0,15
134,134,2,Gameboard Index:134,1,0,0,0,3,0,10
135,135,2,Gameboard Index:135,0,0,0,0,3,0,5
136,136,2,Gameboard Index:136,1,0,0,0,0,0,12
137,137,2,Gameboard Index:137,2,0,0,0,7,1,18
138,138,2,Gameboard Index:138,0,0,0,0,3,0,20
139,139,2,Gameboard Index:139,0,0,0,0,4,0,16
140,140,2,Gameboard Index:140,0,0,0,0,0,0,19
141,141,2,Gameboard Index:141,0,0,0,0,0,0,4
142,142,2,Gameboard Index:142,0,0,0,1,0,0,16
143,143,2,Gameboard Index:143,0,0,0,2,5,2,0
144,144,2,Gameboard Index:144,0,0,0,0,4,0,0
145,145,2,Gameboard Index:145,0,0,0,0,0,0,0
146,146,2,Gameboard Index:146,0,0,0,0,0,0,0
147,147,2,Gameboard Index:147,0,0,0,0,0,0,4
148,148,2,Gameboard Index:148,0,0,0,0,0,0,3
149,149,2,Gameboard Index:149,0,0,0,0,3,0,3
150,150,2,Gameboard Index:150,0,0,0,0,3,0,1
151,151,2,Gameboard Index:151,0,0,0,0,8,0,2
152,152,2,Gameboard Index:152,0,0,0,0,6,0,10
153,153,2,Gameboard Index:153,1,0,0,0,7,0,39
154,154,2,Gameboard Index:154,0,0,0,0,7,0,33
155,155,2,Gameboard Index:155,0,0,0,0,7,0,28
156,156,2,Gameboard Index:156,0,0,0,0,4,2,28
157,157,2,Gameboard Index:157,0,0,0,0,4,0,38
158,158,2,Gameboard Index:158,0,0,0,0,3,0,37
159,159,2,Gameboard Index:159,1,0,0,0,0,0,39
160,160,2,Gameboard Index:160,1,0,0,0,0,0,33
161,161,2,Gameboard Index:161,0,0,0,0,2,0,33
162,162,2,Gameboard Index:162,0,0,0,0,5,1,44
163,163,2,Gameboard Index:163,0,0,0,0,0,0,58
164,164,2,Gameboard Index:164,0,0,0,0,0,0,45
165,165,2,Gameboard Index:165,0,0,0,1,0,0,52
166,166,2,Gameboard Index:166,0,0,0,2,4,3,12
167,167,2,Gameboard Index:167,0,0,0,1,3,0,0
168,168,2,Gameboard Index:168,0,0,0,0,2,0,0
169,169,2,Gameboard Index:169,0,0,0,0,1,0,0
170,170,2,Gameboard Index:170,0,0,0,0,1,0,7
171,171,2,Gameboard Index:171,0,0,0,1,1,0,0
172,172,2,Gameboard Index:172,0,0,0,1,3,0,0
173,173,2,Gameboard Index:173,0,0,0,1,5,1,0
174,174,2,Gameboard Index:174,0,0,0,1,2,0,0
175,175,2,Gameboard Index:175,0,0,0,0,6,0,7
176,176,2,Gameboard Index:176,0,0,0,0,6,0,29
177,177,2,Gameboard Index:177,2,0,0,0,2,0,60
178,178,2,Gameboard Index:178,0,0,0,0,3,0,62
179,179,2,Gameboard Index:179,0,0,0,0,7,0,66
180,180,2,Gameboard Index:180,0,0,0,0,4,2,65
181,181,2,Gameboard Index:181,0,0,0,0,4,0,68
182,182,2,Gameboard Index:182,0,0,0,0,1,0,64
183,183,2,Gameboard Index:183,2,0,0,0,0,0,74
184,184,2,Gameboard Index:184,0,0,0,0,0,0,73
185,185,2,Gameboard Index:185,0,0,0,0,1,0,64
186,186,2,Gameboard Index:186,0,0,0,0,0,0,66
187,187,2,Gameboard Index:187,0,0,0,0,0,0,67
188,188,2,Gameboard Index:188,0,0,0,1,0,0,59
189,189,2,Gameboard Index:189,0,0,1,1,5,3,25
190,190,2,Gameboard Index:190,0,0,0,1,5,3,2
191,191,2,Gameboard Index:191,0,0,0,2,4,0,0
192,192,2,Gameboard Index:192,0,0,0,0,2,0,0
193,193,2,Gameboard Index:193,0,0,0,0,3,0,7
194,194,2,Gameboard Index:194,0,0,0,0,6,0,4
195,195,2,Gameboard Index:195,0,0,0,1,7,1,0
196,196,2,Gameboard Index:196,1,0,0,4,5,1,0
197,197,2,Gameboard Index:197,1,0,0,1,5,1,0
198,198,2,Gameboard Index:198,0,0,0,0,2,0,0
199,199,2,Gameboard Index:199,0,0,0,0,2,0,26
200,200,2,Gameboard Index:200,0,0,0,0,8,0,68
201,201,2,Gameboard Index:201,0,0,0,0,6,0,62
202,202,2,Gameboard Index:202,0,0,0,0,9,0,62
203,203,2,Gameboard Index:203,0,0,0,0,7,0,60
204,204,2,Gameboard Index:204,0,0,0,0,4,2,69
205,205,2,Gameboard Index:205,0,0,0,0,1,0,75
206,206,2,Gameboard Index:206,0,0,0,0,1,0,66
207,207,2,Gameboard Index:207,0,0,0,0,0,0,66
208,208,2,Gameboard Index:208,0,0,0,0,0,0,67
209,209,2,Gameboard Index:209,2,0,0,0,0,0,61
210,210,2,Gameboard Index:210,0,0,0,0,0,0,73
211,211,2,Gameboard Index:211,0,0,0,0,0,0,58
212,212,2,Gameboard Index:212,0,0,1,2,1,2,58
213,213,2,Gameboard Index:213,0,0,0,1,4,2,10
214,214,2,Gameboard Index:214,0,0,0,2,6,1,0
215,215,2,Gameboard Index:215,0,0,0,2,5,4,0
216,216,2,Gameboard Index:216,0,0,0,0,2,0,0
217,217,2,Gameboard Index:217,0,0,0,0,4,0,13
218,218,2,Gameboard Index:218,2,0,0,0,9,0,0
219,219,2,Gameboard Index:219,0,0,0,2,6,1,0
220,220,2,Gameboard Index:220,0,0,0,2,3,0,0
221,221,2,Gameboard Index:221,0,0,0,1,5,1,0
222,222,2,Gameboard Index:222,0,0,0,0,5,0,7
223,223,2,Gameboard Index:223,2,0,0,0,8,0,54
224,224,2,Gameboard Index:224,0,0,0,0,6,0,64
225,225,2,Gameboard Index:225,2,0,0,0,4,0,57
226,226,2,Gameboard Index:226,0,0,0,0,6,0,63
227,227,2,Gameboard Index:227,0,0,0,0,4,2,71
228,228,2,Gameboard Index:228,0,0,0,0,7,0,59
229,229,2,Gameboard Index:229,0,0,0,0,1,0,47
