lon, lat, column, row
-80.555, 0.397, 22, 6
-80.554, 1.296, 22, 7
-80.550, 2.195, 22, 8
-80.545, 3.095, 22, 9
-80.538, 3.994, 22, 10
-81.439, 3.994, 21, 10
-81.432, 4.893, 21, 11
-82.334, 4.893, 20, 11
-83.237, 4.893, 19, 11
-84.140, 4.893, 18, 11
-85.042, 4.893, 17, 11
-85.038, 5.793, 17, 12
-85.034, 6.692, 17, 13
-85.028, 7.591, 17, 14
-85.935, 7.591, 16, 14
-86.843, 7.591, 15, 14
-87.750, 7.591, 14, 14
-87.750, 8.491, 14, 15
-87.750, 9.390, 14, 16
-87.750, 10.289, 14, 17
-87.750, 11.188, 14, 18
-88.667, 11.188, 13, 18
-88.670, 12.088, 13, 19
-89.589, 12.088, 12, 19
-89.596, 12.987, 12, 20
-89.603, 13.886, 12, 21
